Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 359735 to 359735
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 359735 to run 359735  lasting from Sun Sep  2 20:18:19 2018 UTC to Mon Sep  3 03:23:04 2018 UTC
Event Veto ['MiniNoiseBurst'], Sun Sep  2 21:46:25 2018 UTC-Sun Sep  2 21:46:25 2018 UTC (0.001 )  Time stamp start 1535924785654684745 end 1535924785653684745  Run 359735, LB 95, lumi 20.29
Event Veto ['MiniNoiseBurst'], Sun Sep  2 21:46:25 2018 UTC-Sun Sep  2 21:46:25 2018 UTC (0.001 )  Time stamp start 1535924785704662225 end 1535924785703662225  Run 359735, LB 95, lumi 20.29
Event Veto ['NoiseBurst'], Sun Sep  2 21:46:41 2018 UTC-Sun Sep  2 21:46:41 2018 UTC (0.001 )  Time stamp start 1535924801642666290 end 1535924801641666040  Run 359735, LB 95, lumi 20.29
Event Veto ['NoiseBurst'], Sun Sep  2 21:46:55 2018 UTC-Sun Sep  2 21:46:55 2018 UTC (0.001 )  Time stamp start 1535924815596778430 end 1535924815595777805  Run 359735, LB 95, lumi 20.30
Event Veto ['NoiseBurst'], Sun Sep  2 21:47:07 2018 UTC-Sun Sep  2 21:47:07 2018 UTC (0.002 )  Time stamp start 1535924827036766970 end 1535924827034419255  Run 359735, LB 95, lumi 47.63
Event Veto ['NoiseBurst'], Sun Sep  2 21:47:07 2018 UTC-Sun Sep  2 21:47:07 2018 UTC (0.002 )  Time stamp start 1535924827041984170 end 1535924827040131180  Run 359735, LB 95, lumi 37.60
Event Veto ['MiniNoiseBurst'], Sun Sep  2 21:48:31 2018 UTC-Sun Sep  2 21:48:31 2018 UTC (0.001 )  Time stamp start 1535924911901876455 end 1535924911900876455  Run 359735, LB 97, lumi 20.10
Event Veto ['MiniNoiseBurst'], Sun Sep  2 21:50:00 2018 UTC-Sun Sep  2 21:50:00 2018 UTC (0.001 )  Time stamp start 1535925000549925165 end 1535925000548925165  Run 359735, LB 99, lumi 19.98
Event Veto ['MiniNoiseBurst'], Sun Sep  2 21:50:31 2018 UTC-Sun Sep  2 21:50:31 2018 UTC (0.001 )  Time stamp start 1535925031789903460 end 1535925031788903460  Run 359735, LB 99, lumi 19.98
Event Veto ['NoiseBurst'], Sun Sep  2 21:50:54 2018 UTC-Sun Sep  2 21:50:54 2018 UTC (0.001 )  Time stamp start 1535925054202730915 end 1535925054201730495  Run 359735, LB 100, lumi 19.96
Event Veto ['NoiseBurst'], Sun Sep  2 21:52:31 2018 UTC-Sun Sep  2 21:52:31 2018 UTC (0.001 )  Time stamp start 1535925151374545515 end 1535925151373472235  Run 359735, LB 101, lumi 21.36
Event Veto ['MiniNoiseBurst'], Sun Sep  2 21:52:36 2018 UTC-Sun Sep  2 21:52:36 2018 UTC (0.001 )  Time stamp start 1535925156539673910 end 1535925156538673910  Run 359735, LB 101, lumi 19.90
Event Veto ['NoiseBurst'], Sun Sep  2 21:56:27 2018 UTC-Sun Sep  2 21:56:27 2018 UTC (0.001 )  Time stamp start 1535925387059575790 end 1535925387058489660  Run 359735, LB 105, lumi 21.63
Event Veto ['MiniNoiseBurst'], Sun Sep  2 21:58:12 2018 UTC-Sun Sep  2 21:58:12 2018 UTC (0.001 )  Time stamp start 1535925492426734580 end 1535925492425734580  Run 359735, LB 107, lumi 20.02
Event Veto ['NoiseBurst'], Sun Sep  2 22:09:00 2018 UTC-Sun Sep  2 22:09:00 2018 UTC (0.004 )  Time stamp start 1535926140558978795 end 1535926140555238085  Run 359735, LB 152, lumi 73.60
Event Veto ['NoiseBurst'], Sun Sep  2 22:09:00 2018 UTC-Sun Sep  2 22:09:00 2018 UTC (0.001 )  Time stamp start 1535926140561847410 end 1535926140560460945  Run 359735, LB 152, lumi 27.28
Event Veto ['NoiseBurst'], Sun Sep  2 22:09:00 2018 UTC-Sun Sep  2 22:09:00 2018 UTC (0.002 )  Time stamp start 1535926140565255005 end 1535926140563189335  Run 359735, LB 152, lumi 40.64
Event Veto ['NoiseBurst'], Sun Sep  2 22:09:34 2018 UTC-Sun Sep  2 22:09:34 2018 UTC (0.001 )  Time stamp start 1535926174430681195 end 1535926174429680820  Run 359735, LB 152, lumi 19.68
Event Veto ['MiniNoiseBurst'], Sun Sep  2 22:09:40 2018 UTC-Sun Sep  2 22:09:40 2018 UTC (0.001 )  Time stamp start 1535926180676784395 end 1535926180675784395  Run 359735, LB 153, lumi 19.59
Event Veto ['NoiseBurst'], Sun Sep  2 22:10:09 2018 UTC-Sun Sep  2 22:10:09 2018 UTC (0.001 )  Time stamp start 1535926209157782675 end 1535926209156782280  Run 359735, LB 153, lumi 19.60
Event Veto ['NoiseBurst'], Sun Sep  2 22:10:41 2018 UTC-Sun Sep  2 22:10:41 2018 UTC (0.001 )  Time stamp start 1535926241332597410 end 1535926241331597040  Run 359735, LB 154, lumi 19.54
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Sep  2 22:11:21 2018 UTC-Sun Sep  2 22:11:21 2018 UTC (0.001 )  Time stamp start 1535926281288900315 end 1535926281287900315  Run 359735, LB 154, lumi 19.53
Event Veto ['MiniNoiseBurst'], Sun Sep  2 22:14:05 2018 UTC-Sun Sep  2 22:14:05 2018 UTC (0.001 )  Time stamp start 1535926445020584455 end 1535926445019584455  Run 359735, LB 157, lumi 19.43
Event Veto ['MiniNoiseBurst'], Sun Sep  2 22:19:07 2018 UTC-Sun Sep  2 22:19:07 2018 UTC (0.001 )  Time stamp start 1535926747457890670 end 1535926747456890670  Run 359735, LB 163, lumi 19.17
Event Veto ['MiniNoiseBurst'], Sun Sep  2 22:19:40 2018 UTC-Sun Sep  2 22:19:40 2018 UTC (0.001 )  Time stamp start 1535926780994972340 end 1535926780993972340  Run 359735, LB 164, lumi 19.17
Event Veto ['NoiseBurst'], Sun Sep  2 22:20:08 2018 UTC-Sun Sep  2 22:20:08 2018 UTC (0.002 )  Time stamp start 1535926808871906735 end 1535926808869993685  Run 359735, LB 164, lumi 36.67
