Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 357409 to 357409
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 357409 to run 357409  lasting from Thu Aug  2 21:25:56 2018 UTC to Fri Aug  3 20:38:29 2018 UTC
Event Veto ['NoiseBurst'], Fri Aug  3 07:49:11 2018 UTC-Fri Aug  3 07:49:11 2018 UTC (0.002 )  Time stamp start 1533282551995846515 end 1533282551993874155  Run 357409, LB 662, lumi 31.20
Event Veto ['NoiseBurst'], Fri Aug  3 07:49:11 2018 UTC-Fri Aug  3 07:49:11 2018 UTC (0.001 )  Time stamp start 1533282551998728520 end 1533282551997728150  Run 357409, LB 662, lumi 15.83
Event Veto ['NoiseBurst'], Fri Aug  3 07:49:11 2018 UTC-Fri Aug  3 07:49:12 2018 UTC (0.005 )  Time stamp start 1533282552004772915 end 1533282551999369930  Run 357409, LB 662, lumi 85.47
Event Veto ['NoiseBurst'], Fri Aug  3 07:49:12 2018 UTC-Fri Aug  3 07:49:12 2018 UTC (0.001 )  Time stamp start 1533282552005873590 end 1533282552004782970  Run 357409, LB 662, lumi 17.25
Event Veto ['NoiseBurst'], Fri Aug  3 07:49:12 2018 UTC-Fri Aug  3 07:49:12 2018 UTC (0.001 )  Time stamp start 1533282552736968615 end 1533282552735577260  Run 357409, LB 662, lumi 22.01
Event Veto ['NoiseBurst'], Fri Aug  3 07:49:13 2018 UTC-Fri Aug  3 07:49:13 2018 UTC (0.002 )  Time stamp start 1533282553577819470 end 1533282553575408080  Run 357409, LB 662, lumi 38.15
Event Veto ['NoiseBurst'], Fri Aug  3 07:49:13 2018 UTC-Fri Aug  3 07:49:13 2018 UTC (0.003 )  Time stamp start 1533282553581590725 end 1533282553578710435  Run 357409, LB 662, lumi 45.56
Event Veto ['NoiseBurst'], Fri Aug  3 07:50:19 2018 UTC-Fri Aug  3 07:50:19 2018 UTC (0.001 )  Time stamp start 1533282619324039360 end 1533282619323038485  Run 357409, LB 663, lumi 15.87
Event Veto ['NoiseBurst'], Fri Aug  3 07:50:30 2018 UTC-Fri Aug  3 07:50:30 2018 UTC (0.001 )  Time stamp start 1533282630642171940 end 1533282630641171190  Run 357409, LB 663, lumi 15.87
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Aug  3 07:55:08 2018 UTC-Fri Aug  3 07:55:08 2018 UTC (0.001 )  Time stamp start 1533282908624727015 end 1533282908623290955  Run 357409, LB 668, lumi 22.36
Event Veto ['NoiseBurst'], Fri Aug  3 08:00:16 2018 UTC-Fri Aug  3 08:00:16 2018 UTC (0.001 )  Time stamp start 1533283216052764205 end 1533283216051763205  Run 357409, LB 673, lumi 16.22
Event Veto ['NoiseBurst'], Fri Aug  3 08:00:16 2018 UTC-Fri Aug  3 08:00:16 2018 UTC (0.001 )  Time stamp start 1533283216873897140 end 1533283216872896640  Run 357409, LB 673, lumi 16.21
Event Veto ['MiniNoiseBurst'], Fri Aug  3 08:00:54 2018 UTC-Fri Aug  3 08:00:54 2018 UTC (0.001 )  Time stamp start 1533283254247245750 end 1533283254246245750  Run 357409, LB 673, lumi 16.21
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Aug  3 08:02:32 2018 UTC-Fri Aug  3 08:02:32 2018 UTC (0.001 )  Time stamp start 1533283352227810085 end 1533283352226810085  Run 357409, LB 675, lumi 16.16
Event Veto ['MiniNoiseBurst'], Fri Aug  3 08:03:13 2018 UTC-Fri Aug  3 08:03:13 2018 UTC (0.001 )  Time stamp start 1533283393081479265 end 1533283393080479265  Run 357409, LB 676, lumi 16.16
Event Veto ['MiniNoiseBurst'], Fri Aug  3 08:03:13 2018 UTC-Fri Aug  3 08:03:13 2018 UTC (0.001 )  Time stamp start 1533283393748678090 end 1533283393747678090  Run 357409, LB 676, lumi 16.16
Event Veto ['NoiseBurst'], Fri Aug  3 08:07:36 2018 UTC-Fri Aug  3 08:07:36 2018 UTC (0.001 )  Time stamp start 1533283656637375265 end 1533283656636374615  Run 357409, LB 681, lumi 16.00
Event Veto ['NoiseBurst'], Fri Aug  3 08:10:22 2018 UTC-Fri Aug  3 08:10:22 2018 UTC (0.001 )  Time stamp start 1533283822562011015 end 1533283822561010140  Run 357409, LB 684, lumi 15.96
Event Veto ['NoiseBurst'], Fri Aug  3 08:11:17 2018 UTC-Fri Aug  3 08:11:17 2018 UTC (0.001 )  Time stamp start 1533283877915088330 end 1533283877914087455  Run 357409, LB 685, lumi 15.93
Event Veto ['MiniNoiseBurst'], Fri Aug  3 08:12:14 2018 UTC-Fri Aug  3 08:12:14 2018 UTC (0.001 )  Time stamp start 1533283934999227105 end 1533283934998227105  Run 357409, LB 686, lumi 15.88
Event Veto ['MiniNoiseBurst'], Fri Aug  3 08:16:39 2018 UTC-Fri Aug  3 08:16:39 2018 UTC (0.001 )  Time stamp start 1533284199336009735 end 1533284199335009735  Run 357409, LB 690, lumi 15.73
Event Veto ['NoiseBurst'], Fri Aug  3 08:17:52 2018 UTC-Fri Aug  3 08:17:52 2018 UTC (0.001 )  Time stamp start 1533284272353940540 end 1533284272352852165  Run 357409, LB 691, lumi 17.07
Event Veto ['NoiseBurst'], Fri Aug  3 08:17:52 2018 UTC-Fri Aug  3 08:17:52 2018 UTC (0.004 )  Time stamp start 1533284272358352380 end 1533284272354022830  Run 357409, LB 691, lumi 67.91
Event Veto ['MiniNoiseBurst'], Fri Aug  3 08:19:57 2018 UTC-Fri Aug  3 08:19:57 2018 UTC (0.001 )  Time stamp start 1533284397799121620 end 1533284397798121620  Run 357409, LB 694, lumi 15.58
Event Veto ['MiniNoiseBurst'], Fri Aug  3 08:21:57 2018 UTC-Fri Aug  3 08:21:57 2018 UTC (0.001 )  Time stamp start 1533284517975941805 end 1533284517974941805  Run 357409, LB 696, lumi 15.49
Event Veto ['NoiseBurst'], Fri Aug  3 08:22:15 2018 UTC-Fri Aug  3 08:22:15 2018 UTC (0.001 )  Time stamp start 1533284535060110820 end 1533284535059109945  Run 357409, LB 696, lumi 15.51
Event Veto ['MiniNoiseBurst'], Fri Aug  3 08:22:27 2018 UTC-Fri Aug  3 08:22:27 2018 UTC (0.001 )  Time stamp start 1533284547460732180 end 1533284547459732180  Run 357409, LB 696, lumi 15.49
Event Veto ['MiniNoiseBurst'], Fri Aug  3 08:22:58 2018 UTC-Fri Aug  3 08:22:58 2018 UTC (0.001 )  Time stamp start 1533284578499993905 end 1533284578498993905  Run 357409, LB 697, lumi 15.51
