Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 302925 to 302925
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 302925 to run 302925  lasting from Tue Jun 28 12:47:31 2016 UTC to Tue Jun 28 18:36:01 2016 UTC
Event Veto ['NoiseBurst'], Tue Jun 28 13:01:05 2016 UTC-Tue Jun 28 13:01:05 2016 UTC (0.010 )  Time stamp start 1467118865429681585 end 1467118865419615170  Run 302925, LB 21, lumi 79.04
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:01:55 2016 UTC-Tue Jun 28 13:01:55 2016 UTC (0.001 )  Time stamp start 1467118915934914725 end 1467118915933914425  Run 302925, LB 22, lumi 7.85
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:02:54 2016 UTC-Tue Jun 28 13:02:54 2016 UTC (0.001 )  Time stamp start 1467118974223428085 end 1467118974222428085  Run 302925, LB 23, lumi 7.84
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:03:23 2016 UTC-Tue Jun 28 13:03:23 2016 UTC (0.001 )  Time stamp start 1467119003335900680 end 1467119003334900680  Run 302925, LB 23, lumi 7.84
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:03:31 2016 UTC-Tue Jun 28 13:03:31 2016 UTC (0.001 )  Time stamp start 1467119011426515705 end 1467119011425515460  Run 302925, LB 23, lumi 7.84
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:03:39 2016 UTC-Tue Jun 28 13:03:39 2016 UTC (0.001 )  Time stamp start 1467119019028556800 end 1467119019027556400  Run 302925, LB 23, lumi 7.84
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:04:01 2016 UTC-Tue Jun 28 13:04:01 2016 UTC (0.001 )  Time stamp start 1467119041054501525 end 1467119041053501525  Run 302925, LB 24, lumi 7.84
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:04:53 2016 UTC-Tue Jun 28 13:04:53 2016 UTC (0.001 )  Time stamp start 1467119093659840385 end 1467119093658840385  Run 302925, LB 24, lumi 7.84
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:05:55 2016 UTC-Tue Jun 28 13:05:55 2016 UTC (0.001 )  Time stamp start 1467119155359357310 end 1467119155358356810  Run 302925, LB 26, lumi 7.83
Event Veto ['MiniNoiseBurst'], Tue Jun 28 13:06:10 2016 UTC-Tue Jun 28 13:06:10 2016 UTC (0.001 )  Time stamp start 1467119170490823965 end 1467119170489823465  Run 302925, LB 26, lumi 7.83
