Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 327265 to 327265
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 327265 to run 327265  lasting from Mon Jun 19 16:45:53 2017 UTC to Tue Jun 20 10:09:16 2017 UTC
Event Veto ['NoiseBurst'], Mon Jun 19 17:57:15 2017 UTC-Mon Jun 19 17:57:15 2017 UTC (0.001 )  Time stamp start 1497895035740862215 end 1497895035739861045  Run 327265, LB 78, lumi 11.06
Event Veto ['MiniNoiseBurst'], Mon Jun 19 17:58:11 2017 UTC-Mon Jun 19 17:58:11 2017 UTC (0.001 )  Time stamp start 1497895091600982055 end 1497895091599982055  Run 327265, LB 79, lumi 11.02
Event Veto ['MiniNoiseBurst'], Mon Jun 19 17:58:12 2017 UTC-Mon Jun 19 17:58:12 2017 UTC (0.001 )  Time stamp start 1497895092532668405 end 1497895092531668405  Run 327265, LB 79, lumi 11.02
Event Veto ['NoiseBurst'], Mon Jun 19 17:58:25 2017 UTC-Mon Jun 19 17:58:25 2017 UTC (0.001 )  Time stamp start 1497895105283800875 end 1497895105282800330  Run 327265, LB 79, lumi 11.03
Event Veto ['MiniNoiseBurst'], Mon Jun 19 17:59:00 2017 UTC-Mon Jun 19 17:59:00 2017 UTC (0.001 )  Time stamp start 1497895140418871990 end 1497895140417871990  Run 327265, LB 80, lumi 11.00
Event Veto ['MiniNoiseBurst'], Mon Jun 19 17:59:29 2017 UTC-Mon Jun 19 17:59:29 2017 UTC (0.001 )  Time stamp start 1497895169666048300 end 1497895169665048300  Run 327265, LB 81, lumi 10.98
Event Veto ['MiniNoiseBurst'], Mon Jun 19 17:59:38 2017 UTC-Mon Jun 19 17:59:38 2017 UTC (0.001 )  Time stamp start 1497895178116871510 end 1497895178115871510  Run 327265, LB 81, lumi 10.98
Event Veto ['MiniNoiseBurst'], Mon Jun 19 17:59:50 2017 UTC-Mon Jun 19 17:59:50 2017 UTC (0.001 )  Time stamp start 1497895190701838020 end 1497895190700838020  Run 327265, LB 81, lumi 10.98
Event Veto ['MiniNoiseBurst'], Mon Jun 19 17:59:59 2017 UTC-Mon Jun 19 17:59:59 2017 UTC (0.001 )  Time stamp start 1497895199268689580 end 1497895199267689580  Run 327265, LB 81, lumi 10.98
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:00:02 2017 UTC-Mon Jun 19 18:00:02 2017 UTC (0.001 )  Time stamp start 1497895202641258170 end 1497895202640258170  Run 327265, LB 81, lumi 10.98
