Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 351698 to 351698
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 351698 to run 351698  lasting from Sat Jun  2 09:51:16 2018 UTC to Sat Jun  2 15:03:46 2018 UTC
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:49:02 2018 UTC-Sat Jun  2 10:49:02 2018 UTC (0.001 )  Time stamp start 1527936542082369385 end 1527936542081369385  Run 351698, LB 67, lumi 19.77
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:49:03 2018 UTC-Sat Jun  2 10:49:03 2018 UTC (0.001 )  Time stamp start 1527936543260379750 end 1527936543259379750  Run 351698, LB 67, lumi 19.77
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:50:37 2018 UTC-Sat Jun  2 10:50:37 2018 UTC (0.001 )  Time stamp start 1527936637606288330 end 1527936637605288330  Run 351698, LB 71, lumi 19.46
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:51:19 2018 UTC-Sat Jun  2 10:51:19 2018 UTC (0.001 )  Time stamp start 1527936679534402985 end 1527936679533402985  Run 351698, LB 72, lumi 19.40
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:51:23 2018 UTC-Sat Jun  2 10:51:23 2018 UTC (0.001 )  Time stamp start 1527936683297225005 end 1527936683296225005  Run 351698, LB 72, lumi 19.40
Event Veto ['NoiseBurst'], Sat Jun  2 10:51:39 2018 UTC-Sat Jun  2 10:51:39 2018 UTC (0.001 )  Time stamp start 1527936699549168040 end 1527936699547714810  Run 351698, LB 72, lumi 28.19
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:51:48 2018 UTC-Sat Jun  2 10:51:48 2018 UTC (0.001 )  Time stamp start 1527936708221344040 end 1527936708220344040  Run 351698, LB 72, lumi 19.40
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:52:48 2018 UTC-Sat Jun  2 10:52:48 2018 UTC (0.001 )  Time stamp start 1527936768931391570 end 1527936768930391570  Run 351698, LB 73, lumi 19.30
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:52:52 2018 UTC-Sat Jun  2 10:52:52 2018 UTC (0.001 )  Time stamp start 1527936772637429475 end 1527936772636429475  Run 351698, LB 73, lumi 19.30
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:52:55 2018 UTC-Sat Jun  2 10:52:55 2018 UTC (0.001 )  Time stamp start 1527936775100585815 end 1527936775099585815  Run 351698, LB 73, lumi 19.30
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:53:07 2018 UTC-Sat Jun  2 10:53:07 2018 UTC (0.001 )  Time stamp start 1527936787425621960 end 1527936787424621960  Run 351698, LB 74, lumi 19.31
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:53:09 2018 UTC-Sat Jun  2 10:53:09 2018 UTC (0.001 )  Time stamp start 1527936789287551155 end 1527936789286551155  Run 351698, LB 74, lumi 19.31
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:53:26 2018 UTC-Sat Jun  2 10:53:26 2018 UTC (0.001 )  Time stamp start 1527936806304884995 end 1527936806303884995  Run 351698, LB 74, lumi 19.31
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:54:08 2018 UTC-Sat Jun  2 10:54:08 2018 UTC (0.002 )  Time stamp start 1527936848194948555 end 1527936848192630805  Run 351698, LB 75, lumi 43.72
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:54:41 2018 UTC-Sat Jun  2 10:54:41 2018 UTC (0.001 )  Time stamp start 1527936881687803290 end 1527936881686803290  Run 351698, LB 75, lumi 18.86
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:54:41 2018 UTC-Sat Jun  2 10:54:41 2018 UTC (0.001 )  Time stamp start 1527936881700282400 end 1527936881699282400  Run 351698, LB 75, lumi 18.86
Event Veto ['NoiseBurst'], Sat Jun  2 10:54:52 2018 UTC-Sat Jun  2 10:54:52 2018 UTC (0.001 )  Time stamp start 1527936892674978935 end 1527936892673677185  Run 351698, LB 75, lumi 24.56
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:54:55 2018 UTC-Sat Jun  2 10:54:55 2018 UTC (0.001 )  Time stamp start 1527936895347839105 end 1527936895346839105  Run 351698, LB 75, lumi 18.86
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:54:59 2018 UTC-Sat Jun  2 10:54:59 2018 UTC (0.001 )  Time stamp start 1527936899878752320 end 1527936899877752320  Run 351698, LB 76, lumi 18.18
Event Veto ['MiniNoiseBurst'], Sat Jun  2 10:55:01 2018 UTC-Sat Jun  2 10:55:01 2018 UTC (0.001 )  Time stamp start 1527936901695157725 end 1527936901694157725  Run 351698, LB 76, lumi 18.18
