Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 350184 to 350184
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 350184 to run 350184  lasting from Mon May 14 02:36:42 2018 UTC to Mon May 14 19:55:29 2018 UTC
Event Veto ['MiniNoiseBurst'], Mon May 14 05:45:54 2018 UTC-Mon May 14 05:45:54 2018 UTC (0.001 )  Time stamp start 1526276754232799930 end 1526276754231799930  Run 350184, LB 199, lumi 15.63
Event Veto ['MiniNoiseBurst'], Mon May 14 05:46:01 2018 UTC-Mon May 14 05:46:01 2018 UTC (0.001 )  Time stamp start 1526276761262852460 end 1526276761261852460  Run 350184, LB 199, lumi 15.63
Event Veto ['MiniNoiseBurst'], Mon May 14 05:46:05 2018 UTC-Mon May 14 05:46:05 2018 UTC (0.001 )  Time stamp start 1526276765202229210 end 1526276765201229210  Run 350184, LB 199, lumi 15.63
Event Veto ['MiniNoiseBurst'], Mon May 14 05:46:13 2018 UTC-Mon May 14 05:46:13 2018 UTC (0.001 )  Time stamp start 1526276773250610405 end 1526276773249610405  Run 350184, LB 199, lumi 15.63
Event Veto ['MiniNoiseBurst'], Mon May 14 05:46:19 2018 UTC-Mon May 14 05:46:19 2018 UTC (0.001 )  Time stamp start 1526276779941517970 end 1526276779940517970  Run 350184, LB 199, lumi 15.63
Event Veto ['MiniNoiseBurst'], Mon May 14 05:46:26 2018 UTC-Mon May 14 05:46:26 2018 UTC (0.001 )  Time stamp start 1526276786866450340 end 1526276786865450340  Run 350184, LB 199, lumi 15.63
Event Veto ['MiniNoiseBurst'], Mon May 14 05:46:28 2018 UTC-Mon May 14 05:46:28 2018 UTC (0.001 )  Time stamp start 1526276788556885320 end 1526276788555885320  Run 350184, LB 199, lumi 15.63
Event Veto ['MiniNoiseBurst'], Mon May 14 05:46:42 2018 UTC-Mon May 14 05:46:42 2018 UTC (0.001 )  Time stamp start 1526276802661380110 end 1526276802660380110  Run 350184, LB 200, lumi 14.45
Event Veto ['MiniNoiseBurst'], Mon May 14 05:46:44 2018 UTC-Mon May 14 05:46:44 2018 UTC (0.001 )  Time stamp start 1526276804869545015 end 1526276804868545015  Run 350184, LB 200, lumi 14.45
Event Veto ['MiniNoiseBurst'], Mon May 14 05:46:57 2018 UTC-Mon May 14 05:46:57 2018 UTC (0.001 )  Time stamp start 1526276817714568225 end 1526276817713568225  Run 350184, LB 200, lumi 14.45
Event Veto ['MiniNoiseBurst'], Mon May 14 05:47:19 2018 UTC-Mon May 14 05:47:19 2018 UTC (0.001 )  Time stamp start 1526276839029193580 end 1526276839028193580  Run 350184, LB 200, lumi 14.45
Event Veto ['MiniNoiseBurst'], Mon May 14 05:47:23 2018 UTC-Mon May 14 05:47:23 2018 UTC (0.001 )  Time stamp start 1526276843556530945 end 1526276843555530945  Run 350184, LB 200, lumi 14.45
Event Veto ['MiniNoiseBurst'], Mon May 14 05:47:27 2018 UTC-Mon May 14 05:47:27 2018 UTC (0.001 )  Time stamp start 1526276847735205490 end 1526276847734205490  Run 350184, LB 200, lumi 14.45
Event Veto ['MiniNoiseBurst'], Mon May 14 05:47:29 2018 UTC-Mon May 14 05:47:29 2018 UTC (0.001 )  Time stamp start 1526276849664116790 end 1526276849663116790  Run 350184, LB 200, lumi 14.45
Event Veto ['MiniNoiseBurst'], Mon May 14 05:47:37 2018 UTC-Mon May 14 05:47:37 2018 UTC (0.001 )  Time stamp start 1526276857221510865 end 1526276857220510865  Run 350184, LB 201, lumi 15.36
Event Veto ['MiniNoiseBurst'], Mon May 14 05:47:42 2018 UTC-Mon May 14 05:47:42 2018 UTC (0.001 )  Time stamp start 1526276862155292570 end 1526276862154292570  Run 350184, LB 201, lumi 15.36
