Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 360026 to 360026
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 360026 to run 360026  lasting from Wed Sep  5 10:31:52 2018 UTC to Thu Sep  6 00:17:38 2018 UTC
Event Veto ['NoiseBurst'], Wed Sep  5 12:28:18 2018 UTC-Wed Sep  5 12:28:18 2018 UTC (0.001 )  Time stamp start 1536150498194784575 end 1536150498193783950  Run 360026, LB 126, lumi 17.80
Event Veto ['MiniNoiseBurst'], Wed Sep  5 12:30:20 2018 UTC-Wed Sep  5 12:30:20 2018 UTC (0.001 )  Time stamp start 1536150620014169840 end 1536150620013169840  Run 360026, LB 128, lumi 17.65
Event Veto ['NoiseBurst'], Wed Sep  5 12:34:32 2018 UTC-Wed Sep  5 12:34:32 2018 UTC (0.006 )  Time stamp start 1536150872032522045 end 1536150872027011820  Run 360026, LB 132, lumi 96.28
Event Veto ['NoiseBurst'], Wed Sep  5 12:34:32 2018 UTC-Wed Sep  5 12:34:32 2018 UTC (0.005 )  Time stamp start 1536150872078339310 end 1536150872073347790  Run 360026, LB 132, lumi 87.22
Event Veto ['MiniNoiseBurst'], Wed Sep  5 12:35:12 2018 UTC-Wed Sep  5 12:35:12 2018 UTC (0.001 )  Time stamp start 1536150912454480855 end 1536150912453480855  Run 360026, LB 133, lumi 17.41
Event Veto ['MiniNoiseBurst'], Wed Sep  5 12:35:33 2018 UTC-Wed Sep  5 12:35:33 2018 UTC (0.001 )  Time stamp start 1536150933365455875 end 1536150933364214455  Run 360026, LB 133, lumi 21.61
Event Veto ['MiniNoiseBurst'], Wed Sep  5 12:37:03 2018 UTC-Wed Sep  5 12:37:03 2018 UTC (0.001 )  Time stamp start 1536151023524737245 end 1536151023523737245  Run 360026, LB 134, lumi 17.42
Event Veto ['NoiseBurst'], Wed Sep  5 12:38:00 2018 UTC-Wed Sep  5 12:38:00 2018 UTC (0.002 )  Time stamp start 1536151080848119850 end 1536151080845755670  Run 360026, LB 136, lumi 41.02
Event Veto ['NoiseBurst'], Wed Sep  5 12:38:00 2018 UTC-Wed Sep  5 12:38:00 2018 UTC (0.002 )  Time stamp start 1536151080851452045 end 1536151080849068305  Run 360026, LB 136, lumi 41.35
Event Veto ['NoiseBurst'], Wed Sep  5 12:38:05 2018 UTC-Wed Sep  5 12:38:05 2018 UTC (0.002 )  Time stamp start 1536151085365246735 end 1536151085363272335  Run 360026, LB 136, lumi 34.25
Event Veto ['NoiseBurst'], Wed Sep  5 12:38:05 2018 UTC-Wed Sep  5 12:38:05 2018 UTC (0.001 )  Time stamp start 1536151085366634120 end 1536151085365302175  Run 360026, LB 136, lumi 23.11
Event Veto ['NoiseBurst'], Wed Sep  5 12:39:30 2018 UTC-Wed Sep  5 12:39:30 2018 UTC (0.002 )  Time stamp start 1536151170874071780 end 1536151170871892760  Run 360026, LB 138, lumi 37.56
Event Veto ['NoiseBurst'], Wed Sep  5 12:39:30 2018 UTC-Wed Sep  5 12:39:30 2018 UTC (0.002 )  Time stamp start 1536151170880363210 end 1536151170878765240  Run 360026, LB 138, lumi 27.55
Event Veto ['MiniNoiseBurst'], Wed Sep  5 12:42:32 2018 UTC-Wed Sep  5 12:42:32 2018 UTC (0.001 )  Time stamp start 1536151352399180620 end 1536151352398180620  Run 360026, LB 141, lumi 17.13
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Sep  5 12:49:07 2018 UTC-Wed Sep  5 12:49:07 2018 UTC (0.001 )  Time stamp start 1536151747011603525 end 1536151747010603525  Run 360026, LB 147, lumi 16.57
Event Veto ['MiniNoiseBurst'], Wed Sep  5 12:49:20 2018 UTC-Wed Sep  5 12:49:20 2018 UTC (0.001 )  Time stamp start 1536151760034699060 end 1536151760033699060  Run 360026, LB 148, lumi 16.82
Event Veto ['MiniNoiseBurst'], Wed Sep  5 12:50:06 2018 UTC-Wed Sep  5 12:50:06 2018 UTC (0.001 )  Time stamp start 1536151806299224940 end 1536151806298224940  Run 360026, LB 148, lumi 16.82
Event Veto ['MiniNoiseBurst'], Wed Sep  5 12:50:46 2018 UTC-Wed Sep  5 12:50:46 2018 UTC (0.001 )  Time stamp start 1536151846720869410 end 1536151846719869090  Run 360026, LB 149, lumi 17.03
Event Veto ['NoiseBurst'], Wed Sep  5 12:52:11 2018 UTC-Wed Sep  5 12:52:11 2018 UTC (0.001 )  Time stamp start 1536151931634857115 end 1536151931633632385  Run 360026, LB 151, lumi 21.87
Event Veto ['MiniNoiseBurst'], Wed Sep  5 12:52:30 2018 UTC-Wed Sep  5 12:52:30 2018 UTC (0.001 )  Time stamp start 1536151950423885845 end 1536151950422885670  Run 360026, LB 151, lumi 17.86
Event Veto ['NoiseBurst'], Wed Sep  5 12:52:40 2018 UTC-Wed Sep  5 12:52:40 2018 UTC (0.001 )  Time stamp start 1536151960903112015 end 1536151960902111890  Run 360026, LB 151, lumi 17.86
Event Veto ['MiniNoiseBurst'], Wed Sep  5 12:54:39 2018 UTC-Wed Sep  5 12:54:39 2018 UTC (0.001 )  Time stamp start 1536152079658937225 end 1536152079657937225  Run 360026, LB 153, lumi 17.76
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Sep  5 12:54:58 2018 UTC-Wed Sep  5 12:54:58 2018 UTC (0.001 )  Time stamp start 1536152098436807355 end 1536152098435807355  Run 360026, LB 153, lumi 17.76
Event Veto ['MiniNoiseBurst'], Wed Sep  5 12:59:49 2018 UTC-Wed Sep  5 12:59:49 2018 UTC (0.002 )  Time stamp start 1536152389371394725 end 1536152389369712425  Run 360026, LB 160, lumi 29.68
Event Veto ['MiniNoiseBurst'], Wed Sep  5 13:00:10 2018 UTC-Wed Sep  5 13:00:10 2018 UTC (0.001 )  Time stamp start 1536152410204326315 end 1536152410203326315  Run 360026, LB 160, lumi 17.64
Event Veto ['NoiseBurst'], Wed Sep  5 13:00:57 2018 UTC-Wed Sep  5 13:00:57 2018 UTC (0.001 )  Time stamp start 1536152457347432410 end 1536152457346431635  Run 360026, LB 161, lumi 17.63
Event Veto ['NoiseBurst'], Wed Sep  5 13:01:09 2018 UTC-Wed Sep  5 13:01:09 2018 UTC (0.001 )  Time stamp start 1536152469242496965 end 1536152469241496340  Run 360026, LB 162, lumi 17.61
Event Veto ['NoiseBurst'], Wed Sep  5 13:02:49 2018 UTC-Wed Sep  5 13:02:49 2018 UTC (0.001 )  Time stamp start 1536152569780566060 end 1536152569779565440  Run 360026, LB 163, lumi 17.57
Event Veto ['NoiseBurst'], Wed Sep  5 13:03:00 2018 UTC-Wed Sep  5 13:03:00 2018 UTC (0.001 )  Time stamp start 1536152580228746940 end 1536152580227746565  Run 360026, LB 163, lumi 17.57
Event Veto ['MiniNoiseBurst'], Wed Sep  5 13:04:40 2018 UTC-Wed Sep  5 13:04:40 2018 UTC (0.001 )  Time stamp start 1536152680569327115 end 1536152680568327115  Run 360026, LB 166, lumi 17.46
Event Veto ['MiniNoiseBurst'], Wed Sep  5 13:05:15 2018 UTC-Wed Sep  5 13:05:15 2018 UTC (0.001 )  Time stamp start 1536152715098278305 end 1536152715097278305  Run 360026, LB 166, lumi 17.46
Event Veto ['MiniNoiseBurst'], Wed Sep  5 13:05:23 2018 UTC-Wed Sep  5 13:05:23 2018 UTC (0.001 )  Time stamp start 1536152723125500830 end 1536152723124500830  Run 360026, LB 166, lumi 17.46
Event Veto ['NoiseBurst'], Wed Sep  5 13:06:49 2018 UTC-Wed Sep  5 13:06:49 2018 UTC (0.001 )  Time stamp start 1536152809928781630 end 1536152809927348535  Run 360026, LB 168, lumi 24.92
Event Veto ['MiniNoiseBurst'], Wed Sep  5 13:10:07 2018 UTC-Wed Sep  5 13:10:07 2018 UTC (0.001 )  Time stamp start 1536153007213594655 end 1536153007212594655  Run 360026, LB 171, lumi 17.28
Event Veto ['NoiseBurst'], Wed Sep  5 13:11:33 2018 UTC-Wed Sep  5 13:11:33 2018 UTC (0.001 )  Time stamp start 1536153093153808615 end 1536153093152808615  Run 360026, LB 173, lumi 17.22
Event Veto ['MiniNoiseBurst'], Wed Sep  5 13:11:59 2018 UTC-Wed Sep  5 13:11:59 2018 UTC (0.001 )  Time stamp start 1536153119939414340 end 1536153119938414340  Run 360026, LB 173, lumi 17.22
Event Veto ['MiniNoiseBurst'], Wed Sep  5 13:12:04 2018 UTC-Wed Sep  5 13:12:04 2018 UTC (0.001 )  Time stamp start 1536153124405139345 end 1536153124404139345  Run 360026, LB 173, lumi 17.22
