Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337335 to 337335
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337335 to run 337335  lasting from Fri Oct  6 11:09:41 2017 UTC to Fri Oct  6 17:51:05 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:32:10 2017 UTC-Fri Oct  6 12:32:10 2017 UTC (0.001 )  Time stamp start 1507293130595301150 end 1507293130594301150  Run 337335, LB 92, lumi 16.52
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:34:05 2017 UTC-Fri Oct  6 12:34:05 2017 UTC (0.001 )  Time stamp start 1507293245220644460 end 1507293245219644460  Run 337335, LB 96, lumi 15.92
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:35:08 2017 UTC-Fri Oct  6 12:35:08 2017 UTC (0.001 )  Time stamp start 1507293308267539375 end 1507293308266539375  Run 337335, LB 97, lumi 15.37
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:35:31 2017 UTC-Fri Oct  6 12:35:31 2017 UTC (0.001 )  Time stamp start 1507293331718110160 end 1507293331717110160  Run 337335, LB 98, lumi 14.99
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 12:36:33 2017 UTC-Fri Oct  6 12:36:33 2017 UTC (0.001 )  Time stamp start 1507293393231907875 end 1507293393230907875  Run 337335, LB 99, lumi 15.02
Event Veto ['NoiseBurst'], Fri Oct  6 12:36:34 2017 UTC-Fri Oct  6 12:36:34 2017 UTC (0.005 )  Time stamp start 1507293394393525810 end 1507293394388425505  Run 337335, LB 99, lumi 76.61
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:37:14 2017 UTC-Fri Oct  6 12:37:14 2017 UTC (0.001 )  Time stamp start 1507293434201146620 end 1507293434200146620  Run 337335, LB 99, lumi 15.02
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:38:09 2017 UTC-Fri Oct  6 12:38:09 2017 UTC (0.001 )  Time stamp start 1507293489045898845 end 1507293489044898845  Run 337335, LB 100, lumi 15.06
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:38:30 2017 UTC-Fri Oct  6 12:38:30 2017 UTC (0.001 )  Time stamp start 1507293510549307910 end 1507293510548307910  Run 337335, LB 101, lumi 15.07
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:39:20 2017 UTC-Fri Oct  6 12:39:20 2017 UTC (0.001 )  Time stamp start 1507293560716780585 end 1507293560715780585  Run 337335, LB 102, lumi 15.09
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:40:30 2017 UTC-Fri Oct  6 12:40:30 2017 UTC (0.001 )  Time stamp start 1507293630237461680 end 1507293630236461680  Run 337335, LB 103, lumi 15.09
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:41:13 2017 UTC-Fri Oct  6 12:41:13 2017 UTC (0.001 )  Time stamp start 1507293673508645855 end 1507293673507645855  Run 337335, LB 104, lumi 15.06
Event Veto ['NoiseBurst'], Fri Oct  6 12:41:15 2017 UTC-Fri Oct  6 12:41:15 2017 UTC (0.001 )  Time stamp start 1507293675829374655 end 1507293675828198430  Run 337335, LB 104, lumi 17.71
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:41:47 2017 UTC-Fri Oct  6 12:41:47 2017 UTC (0.001 )  Time stamp start 1507293707800546045 end 1507293707799546045  Run 337335, LB 104, lumi 15.06
Event Veto ['DataCorruption'], Fri Oct  6 12:41:52 2017 UTC-Fri Oct  6 12:41:53 2017 UTC (0.500 )  Time stamp start 1507293713025894605 end 1507293712525822895  Run 337335, LB 104, lumi 7529.22
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:42:10 2017 UTC-Fri Oct  6 12:42:10 2017 UTC (0.001 )  Time stamp start 1507293730313510495 end 1507293730312510495  Run 337335, LB 104, lumi 15.06
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:42:53 2017 UTC-Fri Oct  6 12:42:53 2017 UTC (0.001 )  Time stamp start 1507293773038090525 end 1507293773037090525  Run 337335, LB 105, lumi 15.09
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:43:10 2017 UTC-Fri Oct  6 12:43:10 2017 UTC (0.001 )  Time stamp start 1507293790601864780 end 1507293790600864780  Run 337335, LB 105, lumi 15.09
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:43:15 2017 UTC-Fri Oct  6 12:43:15 2017 UTC (0.001 )  Time stamp start 1507293795533277345 end 1507293795532277345  Run 337335, LB 106, lumi 15.08
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:43:22 2017 UTC-Fri Oct  6 12:43:22 2017 UTC (0.001 )  Time stamp start 1507293802383357000 end 1507293802382357000  Run 337335, LB 106, lumi 15.08
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:43:34 2017 UTC-Fri Oct  6 12:43:34 2017 UTC (0.001 )  Time stamp start 1507293814804336700 end 1507293814803336700  Run 337335, LB 106, lumi 15.08
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:44:51 2017 UTC-Fri Oct  6 12:44:51 2017 UTC (0.001 )  Time stamp start 1507293891272470560 end 1507293891271470560  Run 337335, LB 107, lumi 15.08
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:44:57 2017 UTC-Fri Oct  6 12:44:57 2017 UTC (0.001 )  Time stamp start 1507293897893608145 end 1507293897892608145  Run 337335, LB 107, lumi 15.08
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:45:24 2017 UTC-Fri Oct  6 12:45:24 2017 UTC (0.001 )  Time stamp start 1507293924838500385 end 1507293924837500385  Run 337335, LB 108, lumi 15.10
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:46:01 2017 UTC-Fri Oct  6 12:46:01 2017 UTC (0.001 )  Time stamp start 1507293961104536545 end 1507293961103536545  Run 337335, LB 108, lumi 15.10
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:46:26 2017 UTC-Fri Oct  6 12:46:26 2017 UTC (0.001 )  Time stamp start 1507293986765663155 end 1507293986764663155  Run 337335, LB 109, lumi 15.11
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:46:37 2017 UTC-Fri Oct  6 12:46:37 2017 UTC (0.001 )  Time stamp start 1507293997197328590 end 1507293997196328590  Run 337335, LB 109, lumi 15.11
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:48:20 2017 UTC-Fri Oct  6 12:48:20 2017 UTC (0.001 )  Time stamp start 1507294100435137125 end 1507294100434137125  Run 337335, LB 111, lumi 15.16
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:49:41 2017 UTC-Fri Oct  6 12:49:41 2017 UTC (0.001 )  Time stamp start 1507294181455670050 end 1507294181454670050  Run 337335, LB 113, lumi 15.09
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:50:41 2017 UTC-Fri Oct  6 12:50:41 2017 UTC (0.001 )  Time stamp start 1507294241414554115 end 1507294241413554115  Run 337335, LB 114, lumi 15.10
