Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 352123 to 352123
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 352123 to run 352123  lasting from Wed Jun  6 13:15:22 2018 UTC to Wed Jun  6 16:13:19 2018 UTC
Event Veto ['NoiseBurst'], Wed Jun  6 13:26:25 2018 UTC-Wed Jun  6 13:26:25 2018 UTC (0.002 )  Time stamp start 1528291585098631240 end 1528291585097084665  Run 352123, LB 15, lumi 21.21
Event Veto ['MiniNoiseBurst'], Wed Jun  6 13:26:26 2018 UTC-Wed Jun  6 13:26:26 2018 UTC (0.001 )  Time stamp start 1528291586580392790 end 1528291586579392790  Run 352123, LB 15, lumi 13.71
Event Veto ['MiniNoiseBurst'], Wed Jun  6 13:26:36 2018 UTC-Wed Jun  6 13:26:36 2018 UTC (0.001 )  Time stamp start 1528291596893984165 end 1528291596892984165  Run 352123, LB 16, lumi 13.69
Event Veto ['MiniNoiseBurst'], Wed Jun  6 13:26:39 2018 UTC-Wed Jun  6 13:26:39 2018 UTC (0.001 )  Time stamp start 1528291599671545650 end 1528291599670545650  Run 352123, LB 16, lumi 13.69
Event Veto ['MiniNoiseBurst'], Wed Jun  6 13:26:41 2018 UTC-Wed Jun  6 13:26:41 2018 UTC (0.001 )  Time stamp start 1528291601383765380 end 1528291601382765255  Run 352123, LB 16, lumi 13.69
Event Veto ['MiniNoiseBurst'], Wed Jun  6 13:26:52 2018 UTC-Wed Jun  6 13:26:52 2018 UTC (0.001 )  Time stamp start 1528291612680121835 end 1528291612679121710  Run 352123, LB 16, lumi 13.69
Event Veto ['MiniNoiseBurst'], Wed Jun  6 13:27:25 2018 UTC-Wed Jun  6 13:27:25 2018 UTC (0.001 )  Time stamp start 1528291645094413870 end 1528291645093413745  Run 352123, LB 16, lumi 13.69
Event Veto ['MiniNoiseBurst'], Wed Jun  6 13:27:46 2018 UTC-Wed Jun  6 13:27:46 2018 UTC (0.001 )  Time stamp start 1528291666657467985 end 1528291666656467860  Run 352123, LB 17, lumi 13.68
Event Veto ['MiniNoiseBurst'], Wed Jun  6 13:28:21 2018 UTC-Wed Jun  6 13:28:21 2018 UTC (0.001 )  Time stamp start 1528291701024136475 end 1528291701023136475  Run 352123, LB 17, lumi 13.68
Event Veto ['MiniNoiseBurst'], Wed Jun  6 13:28:32 2018 UTC-Wed Jun  6 13:28:32 2018 UTC (0.001 )  Time stamp start 1528291712408001940 end 1528291712407001815  Run 352123, LB 18, lumi 13.66
Event Veto ['MiniNoiseBurst'], Wed Jun  6 13:28:43 2018 UTC-Wed Jun  6 13:28:43 2018 UTC (0.001 )  Time stamp start 1528291723806168040 end 1528291723805167920  Run 352123, LB 18, lumi 13.66
Event Veto ['MiniNoiseBurst'], Wed Jun  6 13:29:18 2018 UTC-Wed Jun  6 13:29:18 2018 UTC (0.001 )  Time stamp start 1528291758162722535 end 1528291758161722410  Run 352123, LB 18, lumi 13.66
Event Veto ['MiniNoiseBurst'], Wed Jun  6 13:29:34 2018 UTC-Wed Jun  6 13:29:34 2018 UTC (0.001 )  Time stamp start 1528291774972456725 end 1528291774971456725  Run 352123, LB 19, lumi 13.63
Event Veto ['MiniNoiseBurst'], Wed Jun  6 13:29:48 2018 UTC-Wed Jun  6 13:29:48 2018 UTC (0.001 )  Time stamp start 1528291788738915415 end 1528291788737915415  Run 352123, LB 19, lumi 13.63
Event Veto ['MiniNoiseBurst'], Wed Jun  6 13:30:18 2018 UTC-Wed Jun  6 13:30:18 2018 UTC (0.001 )  Time stamp start 1528291818123138825 end 1528291818122138700  Run 352123, LB 19, lumi 13.63
Event Veto ['MiniNoiseBurst'], Wed Jun  6 13:30:37 2018 UTC-Wed Jun  6 13:30:37 2018 UTC (0.001 )  Time stamp start 1528291837578930605 end 1528291837577930480  Run 352123, LB 20, lumi 13.63
Event Veto ['MiniNoiseBurst'], Wed Jun  6 13:30:37 2018 UTC-Wed Jun  6 13:30:37 2018 UTC (0.001 )  Time stamp start 1528291837691213150 end 1528291837690213150  Run 352123, LB 20, lumi 13.63
Event Veto ['MiniNoiseBurst'], Wed Jun  6 13:31:09 2018 UTC-Wed Jun  6 13:31:09 2018 UTC (0.001 )  Time stamp start 1528291869448015135 end 1528291869447015010  Run 352123, LB 20, lumi 13.63
Event Veto ['MiniNoiseBurst'], Wed Jun  6 13:31:32 2018 UTC-Wed Jun  6 13:31:32 2018 UTC (0.001 )  Time stamp start 1528291892757157920 end 1528291892756157795  Run 352123, LB 21, lumi 13.62
Event Veto ['MiniNoiseBurst'], Wed Jun  6 13:31:44 2018 UTC-Wed Jun  6 13:31:44 2018 UTC (0.001 )  Time stamp start 1528291904291365810 end 1528291904290365685  Run 352123, LB 21, lumi 13.62
