Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 334264 to 334264
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 334264 to run 334264  lasting from Sat Aug 26 10:50:18 2017 UTC to Sat Aug 26 19:17:26 2017 UTC
Event Veto ['MiniNoiseBurst'], Sat Aug 26 11:56:05 2017 UTC-Sat Aug 26 11:56:05 2017 UTC (0.001 )  Time stamp start 1503748565026948760 end 1503748565025948015  Run 334264, LB 72, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Aug 26 13:51:08 2017 UTC-Sat Aug 26 13:51:08 2017 UTC (0.001 )  Time stamp start 1503755468514815150 end 1503755468513815150  Run 334264, LB 191, lumi 1.82
Event Veto ['MiniNoiseBurst'], Sat Aug 26 13:51:11 2017 UTC-Sat Aug 26 13:51:11 2017 UTC (0.001 )  Time stamp start 1503755471034492900 end 1503755471033492900  Run 334264, LB 191, lumi 1.82
Event Veto ['MiniNoiseBurst'], Sat Aug 26 13:51:16 2017 UTC-Sat Aug 26 13:51:16 2017 UTC (0.000 )  Time stamp start 1503755476510399315 end 1503755476510399015  Run 334264, LB 191, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Aug 26 13:51:16 2017 UTC-Sat Aug 26 13:51:16 2017 UTC (0.001 )  Time stamp start 1503755476511399685 end 1503755476510399315  Run 334264, LB 191, lumi 1.82
Event Veto ['MiniNoiseBurst'], Sat Aug 26 13:51:49 2017 UTC-Sat Aug 26 13:51:49 2017 UTC (0.001 )  Time stamp start 1503755509184928485 end 1503755509183928310  Run 334264, LB 192, lumi 5.43
Event Veto ['MiniNoiseBurst'], Sat Aug 26 13:52:23 2017 UTC-Sat Aug 26 13:52:23 2017 UTC (0.001 )  Time stamp start 1503755543495999630 end 1503755543494999085  Run 334264, LB 192, lumi 5.43
Event Veto ['MiniNoiseBurst'], Sat Aug 26 13:53:13 2017 UTC-Sat Aug 26 13:53:13 2017 UTC (0.001 )  Time stamp start 1503755593305824225 end 1503755593304824025  Run 334264, LB 193, lumi 5.56
Event Veto ['MiniNoiseBurst'], Sat Aug 26 13:53:29 2017 UTC-Sat Aug 26 13:53:29 2017 UTC (0.001 )  Time stamp start 1503755609173017960 end 1503755609172017960  Run 334264, LB 193, lumi 5.56
Event Veto ['MiniNoiseBurst'], Sat Aug 26 13:53:48 2017 UTC-Sat Aug 26 13:53:48 2017 UTC (0.001 )  Time stamp start 1503755628258840480 end 1503755628257839655  Run 334264, LB 194, lumi 5.72
Event Veto ['MiniNoiseBurst'], Sat Aug 26 13:54:21 2017 UTC-Sat Aug 26 13:54:21 2017 UTC (0.001 )  Time stamp start 1503755661337148570 end 1503755661336148570  Run 334264, LB 194, lumi 5.72
Event Veto ['MiniNoiseBurst'], Sat Aug 26 13:54:53 2017 UTC-Sat Aug 26 13:54:53 2017 UTC (0.001 )  Time stamp start 1503755693412924640 end 1503755693411923940  Run 334264, LB 195, lumi 5.95
Event Veto ['MiniNoiseBurst'], Sat Aug 26 13:55:00 2017 UTC-Sat Aug 26 13:55:00 2017 UTC (0.001 )  Time stamp start 1503755700504362105 end 1503755700503362105  Run 334264, LB 195, lumi 5.95
Event Veto ['MiniNoiseBurst'], Sat Aug 26 13:56:38 2017 UTC-Sat Aug 26 13:56:38 2017 UTC (0.001 )  Time stamp start 1503755798362650355 end 1503755798361650355  Run 334264, LB 196, lumi 5.93
Event Veto ['MiniNoiseBurst'], Sat Aug 26 13:56:47 2017 UTC-Sat Aug 26 13:56:47 2017 UTC (0.001 )  Time stamp start 1503755807926232640 end 1503755807925232640  Run 334264, LB 197, lumi 5.93
Event Veto ['MiniNoiseBurst'], Sat Aug 26 13:57:35 2017 UTC-Sat Aug 26 13:57:35 2017 UTC (0.001 )  Time stamp start 1503755855052291620 end 1503755855051291620  Run 334264, LB 197, lumi 5.93
Event Veto ['MiniNoiseBurst'], Sat Aug 26 13:57:54 2017 UTC-Sat Aug 26 13:57:54 2017 UTC (0.001 )  Time stamp start 1503755874641593615 end 1503755874640593615  Run 334264, LB 198, lumi 5.91
Event Veto ['MiniNoiseBurst'], Sat Aug 26 13:58:22 2017 UTC-Sat Aug 26 13:58:22 2017 UTC (0.001 )  Time stamp start 1503755902315569065 end 1503755902314569065  Run 334264, LB 198, lumi 5.91
Event Veto ['NoiseBurst'], Sat Aug 26 13:58:23 2017 UTC-Sat Aug 26 13:58:23 2017 UTC (0.001 )  Time stamp start 1503755903469497335 end 1503755903468362080  Run 334264, LB 198, lumi 6.71
Event Veto ['MiniNoiseBurst'], Sat Aug 26 13:58:37 2017 UTC-Sat Aug 26 13:58:37 2017 UTC (0.001 )  Time stamp start 1503755917518458985 end 1503755917517458385  Run 334264, LB 198, lumi 5.92
Event Veto ['MiniNoiseBurst'], Sat Aug 26 13:59:07 2017 UTC-Sat Aug 26 13:59:07 2017 UTC (0.000 )  Time stamp start 1503755947428568530 end 1503755947428568080  Run 334264, LB 200, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Aug 26 13:59:07 2017 UTC-Sat Aug 26 13:59:07 2017 UTC (0.001 )  Time stamp start 1503755947429568530 end 1503755947428568530  Run 334264, LB 200, lumi 5.91
Event Veto ['MiniNoiseBurst'], Sat Aug 26 13:59:25 2017 UTC-Sat Aug 26 13:59:25 2017 UTC (0.001 )  Time stamp start 1503755965965073615 end 1503755965964073615  Run 334264, LB 200, lumi 5.91
Event Veto ['MiniNoiseBurst'], Sat Aug 26 14:00:33 2017 UTC-Sat Aug 26 14:00:33 2017 UTC (0.001 )  Time stamp start 1503756033511917120 end 1503756033510917120  Run 334264, LB 202, lumi 5.89
Event Veto ['MiniNoiseBurst'], Sat Aug 26 14:00:49 2017 UTC-Sat Aug 26 14:00:49 2017 UTC (0.001 )  Time stamp start 1503756049959469605 end 1503756049958469605  Run 334264, LB 203, lumi 5.90
Event Veto ['MiniNoiseBurst'], Sat Aug 26 14:00:53 2017 UTC-Sat Aug 26 14:00:53 2017 UTC (0.001 )  Time stamp start 1503756053592827285 end 1503756053591826390  Run 334264, LB 203, lumi 5.91
Event Veto ['MiniNoiseBurst'], Sat Aug 26 14:01:39 2017 UTC-Sat Aug 26 14:01:39 2017 UTC (0.001 )  Time stamp start 1503756099853297550 end 1503756099852296750  Run 334264, LB 205, lumi 5.87
Event Veto ['MiniNoiseBurst'], Sat Aug 26 14:02:54 2017 UTC-Sat Aug 26 14:02:54 2017 UTC (0.001 )  Time stamp start 1503756174738485650 end 1503756174737485100  Run 334264, LB 207, lumi 5.85
Event Veto ['MiniNoiseBurst'], Sat Aug 26 14:03:11 2017 UTC-Sat Aug 26 14:03:11 2017 UTC (0.001 )  Time stamp start 1503756191201133175 end 1503756191200132500  Run 334264, LB 207, lumi 5.85
Event Veto ['MiniNoiseBurst'], Sat Aug 26 14:03:26 2017 UTC-Sat Aug 26 14:03:26 2017 UTC (0.001 )  Time stamp start 1503756206606044370 end 1503756206605043995  Run 334264, LB 208, lumi 5.84
Event Veto ['MiniNoiseBurst'], Sat Aug 26 14:03:42 2017 UTC-Sat Aug 26 14:03:42 2017 UTC (0.001 )  Time stamp start 1503756222128157445 end 1503756222127156770  Run 334264, LB 208, lumi 5.84
Event Veto ['MiniNoiseBurst'], Sat Aug 26 14:03:55 2017 UTC-Sat Aug 26 14:03:55 2017 UTC (0.001 )  Time stamp start 1503756235851761095 end 1503756235850761095  Run 334264, LB 208, lumi 5.84
Event Veto ['MiniNoiseBurst'], Sat Aug 26 14:04:28 2017 UTC-Sat Aug 26 14:04:28 2017 UTC (0.001 )  Time stamp start 1503756268937567950 end 1503756268936567325  Run 334264, LB 209, lumi 5.82
Event Veto ['MiniNoiseBurst'], Sat Aug 26 14:04:44 2017 UTC-Sat Aug 26 14:04:44 2017 UTC (0.001 )  Time stamp start 1503756284297023260 end 1503756284296022635  Run 334264, LB 209, lumi 5.82
Event Veto ['MiniNoiseBurst'], Sat Aug 26 14:04:58 2017 UTC-Sat Aug 26 14:04:58 2017 UTC (0.001 )  Time stamp start 1503756298199823370 end 1503756298198823370  Run 334264, LB 209, lumi 5.82
Event Veto ['MiniNoiseBurst'], Sat Aug 26 14:05:01 2017 UTC-Sat Aug 26 14:05:01 2017 UTC (0.001 )  Time stamp start 1503756301002947060 end 1503756301001946510  Run 334264, LB 209, lumi 5.82
Event Veto ['MiniNoiseBurst'], Sat Aug 26 14:05:32 2017 UTC-Sat Aug 26 14:05:32 2017 UTC (0.001 )  Time stamp start 1503756332159322170 end 1503756332158321370  Run 334264, LB 210, lumi 5.81
Event Veto ['NoiseBurst'], Sat Aug 26 14:05:46 2017 UTC-Sat Aug 26 14:05:46 2017 UTC (0.001 )  Time stamp start 1503756346057222705 end 1503756346056222205  Run 334264, LB 210, lumi 5.81
Event Veto ['MiniNoiseBurst'], Sat Aug 26 14:05:51 2017 UTC-Sat Aug 26 14:05:51 2017 UTC (0.001 )  Time stamp start 1503756351511934760 end 1503756351510934760  Run 334264, LB 210, lumi 5.80
Event Veto ['MiniNoiseBurst'], Sat Aug 26 14:06:48 2017 UTC-Sat Aug 26 14:06:48 2017 UTC (0.001 )  Time stamp start 1503756408673024565 end 1503756408672024565  Run 334264, LB 211, lumi 5.79
