Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 307710 to 307710
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 307710 to run 307710  lasting from Sat Sep  3 08:23:36 2016 UTC to Sat Sep  3 11:51:22 2016 UTC
Event Veto ['MiniNoiseBurst'], Sat Sep  3 09:13:38 2016 UTC-Sat Sep  3 09:13:38 2016 UTC (0.010 )  Time stamp start 1472894018859607545 end 1472894018849606845  Run 307710, LB 56, lumi 82.83
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sat Sep  3 09:13:42 2016 UTC-Sat Sep  3 09:13:42 2016 UTC (0.010 )  Time stamp start 1472894022631701520 end 1472894022621701520  Run 307710, LB 56, lumi 82.83
Event Veto ['NoiseBurst'], Sat Sep  3 09:13:43 2016 UTC-Sat Sep  3 09:13:43 2016 UTC (0.010 )  Time stamp start 1472894023774567360 end 1472894023764566435  Run 307710, LB 56, lumi 82.83
Event Veto ['MiniNoiseBurst'], Sat Sep  3 09:13:45 2016 UTC-Sat Sep  3 09:13:45 2016 UTC (0.010 )  Time stamp start 1472894025814113055 end 1472894025804112380  Run 307710, LB 56, lumi 82.83
Event Veto ['MiniNoiseBurst'], Sat Sep  3 09:13:49 2016 UTC-Sat Sep  3 09:13:49 2016 UTC (0.010 )  Time stamp start 1472894029936019970 end 1472894029926019295  Run 307710, LB 56, lumi 82.83
Event Veto ['MiniNoiseBurst'], Sat Sep  3 09:13:53 2016 UTC-Sat Sep  3 09:13:53 2016 UTC (0.010 )  Time stamp start 1472894033511131620 end 1472894033501131620  Run 307710, LB 56, lumi 82.83
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sat Sep  3 09:13:57 2016 UTC-Sat Sep  3 09:13:57 2016 UTC (0.010 )  Time stamp start 1472894037294387660 end 1472894037284387660  Run 307710, LB 56, lumi 82.83
Event Veto ['MiniNoiseBurst'], Sat Sep  3 09:14:01 2016 UTC-Sat Sep  3 09:14:01 2016 UTC (0.010 )  Time stamp start 1472894041011507020 end 1472894041001506745  Run 307710, LB 56, lumi 82.83
Event Veto ['NoiseBurst'], Sat Sep  3 09:14:01 2016 UTC-Sat Sep  3 09:14:01 2016 UTC (0.010 )  Time stamp start 1472894041059767390 end 1472894041049766390  Run 307710, LB 56, lumi 82.83
Event Veto ['MiniNoiseBurst'], Sat Sep  3 09:14:05 2016 UTC-Sat Sep  3 09:14:05 2016 UTC (0.010 )  Time stamp start 1472894045107381900 end 1472894045097381630  Run 307710, LB 56, lumi 82.83
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sat Sep  3 09:14:08 2016 UTC-Sat Sep  3 09:14:08 2016 UTC (0.010 )  Time stamp start 1472894048625618145 end 1472894048615618145  Run 307710, LB 57, lumi 82.75
Event Veto ['NoiseBurst'], Sat Sep  3 09:14:08 2016 UTC-Sat Sep  3 09:14:08 2016 UTC (0.010 )  Time stamp start 1472894048733219830 end 1472894048723219280  Run 307710, LB 57, lumi 82.75
