Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 306278 to 306278
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 306278 to run 306278  lasting from Sat Aug 13 13:41:29 2016 UTC to Sun Aug 14 07:04:50 2016 UTC
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:34:55 2016 UTC-Sat Aug 13 14:34:55 2016 UTC (0.001 )  Time stamp start 1471098895798063845 end 1471098895797063845  Run 306278, LB 58, lumi 10.37
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:35:01 2016 UTC-Sat Aug 13 14:35:01 2016 UTC (0.001 )  Time stamp start 1471098901248271055 end 1471098901247271055  Run 306278, LB 58, lumi 10.37
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:35:06 2016 UTC-Sat Aug 13 14:35:06 2016 UTC (0.001 )  Time stamp start 1471098906595782610 end 1471098906594782610  Run 306278, LB 58, lumi 10.37
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:35:12 2016 UTC-Sat Aug 13 14:35:12 2016 UTC (0.001 )  Time stamp start 1471098912140758815 end 1471098912139758815  Run 306278, LB 59, lumi 9.62
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:35:17 2016 UTC-Sat Aug 13 14:35:17 2016 UTC (0.001 )  Time stamp start 1471098917753712685 end 1471098917752712310  Run 306278, LB 59, lumi 9.62
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:35:23 2016 UTC-Sat Aug 13 14:35:23 2016 UTC (0.001 )  Time stamp start 1471098923413550195 end 1471098923412550195  Run 306278, LB 59, lumi 9.62
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:35:29 2016 UTC-Sat Aug 13 14:35:29 2016 UTC (0.001 )  Time stamp start 1471098929088064305 end 1471098929087064305  Run 306278, LB 59, lumi 9.62
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:35:34 2016 UTC-Sat Aug 13 14:35:34 2016 UTC (0.001 )  Time stamp start 1471098934724643705 end 1471098934723643705  Run 306278, LB 59, lumi 9.62
Event Veto ['NoiseBurst'], Sat Aug 13 14:35:35 2016 UTC-Sat Aug 13 14:35:35 2016 UTC (0.010 )  Time stamp start 1471098935952071235 end 1471098935941788895  Run 306278, LB 59, lumi 98.88
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:35:40 2016 UTC-Sat Aug 13 14:35:40 2016 UTC (0.001 )  Time stamp start 1471098940397921805 end 1471098940396921805  Run 306278, LB 59, lumi 9.62
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:35:46 2016 UTC-Sat Aug 13 14:35:46 2016 UTC (0.001 )  Time stamp start 1471098946163099765 end 1471098946162098270  Run 306278, LB 59, lumi 9.63
Event Veto ['NoiseBurst'], Sat Aug 13 14:35:48 2016 UTC-Sat Aug 13 14:35:48 2016 UTC (0.010 )  Time stamp start 1471098948820251175 end 1471098948810250425  Run 306278, LB 59, lumi 96.18
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:35:52 2016 UTC-Sat Aug 13 14:35:52 2016 UTC (0.001 )  Time stamp start 1471098952226905175 end 1471098952225903550  Run 306278, LB 59, lumi 9.63
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:35:57 2016 UTC-Sat Aug 13 14:35:57 2016 UTC (0.001 )  Time stamp start 1471098957994422465 end 1471098957993422465  Run 306278, LB 59, lumi 9.62
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:36:04 2016 UTC-Sat Aug 13 14:36:04 2016 UTC (0.001 )  Time stamp start 1471098964040898135 end 1471098964039897685  Run 306278, LB 59, lumi 9.62
Event Veto ['NoiseBurst'], Sat Aug 13 14:36:06 2016 UTC-Sat Aug 13 14:36:06 2016 UTC (0.010 )  Time stamp start 1471098966185542035 end 1471098966175541660  Run 306278, LB 59, lumi 96.17
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:36:10 2016 UTC-Sat Aug 13 14:36:10 2016 UTC (0.001 )  Time stamp start 1471098970094076800 end 1471098970093076800  Run 306278, LB 59, lumi 9.62
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:36:22 2016 UTC-Sat Aug 13 14:36:22 2016 UTC (0.001 )  Time stamp start 1471098982125407400 end 1471098982124407400  Run 306278, LB 60, lumi 8.94
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:36:28 2016 UTC-Sat Aug 13 14:36:28 2016 UTC (0.001 )  Time stamp start 1471098988138437225 end 1471098988137437225  Run 306278, LB 60, lumi 8.94
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:36:34 2016 UTC-Sat Aug 13 14:36:34 2016 UTC (0.001 )  Time stamp start 1471098994210530745 end 1471098994209530745  Run 306278, LB 60, lumi 8.94
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:36:46 2016 UTC-Sat Aug 13 14:36:46 2016 UTC (0.001 )  Time stamp start 1471099006450928785 end 1471099006449928410  Run 306278, LB 60, lumi 8.94
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:36:49 2016 UTC-Sat Aug 13 14:36:49 2016 UTC (0.001 )  Time stamp start 1471099009269711725 end 1471099009268711725  Run 306278, LB 60, lumi 8.94
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:36:52 2016 UTC-Sat Aug 13 14:36:52 2016 UTC (0.001 )  Time stamp start 1471099012600143070 end 1471099012599141795  Run 306278, LB 60, lumi 8.95
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:36:59 2016 UTC-Sat Aug 13 14:36:59 2016 UTC (0.001 )  Time stamp start 1471099019050192765 end 1471099019049192565  Run 306278, LB 60, lumi 8.94
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:37:05 2016 UTC-Sat Aug 13 14:37:05 2016 UTC (0.001 )  Time stamp start 1471099025223817360 end 1471099025222817360  Run 306278, LB 60, lumi 8.94
