Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 357500 to 357500
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 357500 to run 357500  lasting from Sat Aug  4 15:33:56 2018 UTC to Sat Aug  4 23:51:02 2018 UTC
Event Veto ['NoiseBurst'], Sat Aug  4 17:32:18 2018 UTC-Sat Aug  4 17:32:18 2018 UTC (0.001 )  Time stamp start 1533403938981817125 end 1533403938980816250  Run 357500, LB 124, lumi 17.97
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sat Aug  4 17:33:18 2018 UTC-Sat Aug  4 17:33:18 2018 UTC (0.001 )  Time stamp start 1533403998129816530 end 1533403998128816530  Run 357500, LB 125, lumi 17.92
Event Veto ['NoiseBurst'], Sat Aug  4 17:33:31 2018 UTC-Sat Aug  4 17:33:31 2018 UTC (0.001 )  Time stamp start 1533404011640572170 end 1533404011639571670  Run 357500, LB 125, lumi 17.93
Event Veto ['NoiseBurst'], Sat Aug  4 17:33:39 2018 UTC-Sat Aug  4 17:33:39 2018 UTC (0.001 )  Time stamp start 1533404019402401590 end 1533404019401401190  Run 357500, LB 125, lumi 17.92
Event Veto ['NoiseBurst'], Sat Aug  4 17:33:46 2018 UTC-Sat Aug  4 17:33:46 2018 UTC (0.001 )  Time stamp start 1533404026875790480 end 1533404026874790105  Run 357500, LB 125, lumi 17.92
Event Veto ['NoiseBurst'], Sat Aug  4 17:34:30 2018 UTC-Sat Aug  4 17:34:30 2018 UTC (0.001 )  Time stamp start 1533404070615582805 end 1533404070614582180  Run 357500, LB 126, lumi 17.89
Event Veto ['NoiseBurst'], Sat Aug  4 17:34:35 2018 UTC-Sat Aug  4 17:34:35 2018 UTC (0.001 )  Time stamp start 1533404075129168160 end 1533404075128167360  Run 357500, LB 126, lumi 17.90
Event Veto ['NoiseBurst'], Sat Aug  4 17:35:04 2018 UTC-Sat Aug  4 17:35:04 2018 UTC (0.001 )  Time stamp start 1533404104146169695 end 1533404104145169170  Run 357500, LB 126, lumi 17.89
Event Veto ['NoiseBurst'], Sat Aug  4 17:35:09 2018 UTC-Sat Aug  4 17:35:09 2018 UTC (0.001 )  Time stamp start 1533404109733216135 end 1533404109732215740  Run 357500, LB 127, lumi 17.83
Event Veto ['MiniNoiseBurst'], Sat Aug  4 17:36:38 2018 UTC-Sat Aug  4 17:36:38 2018 UTC (0.001 )  Time stamp start 1533404198239982980 end 1533404198238982980  Run 357500, LB 129, lumi 17.75
Event Veto ['NoiseBurst'], Sat Aug  4 17:37:13 2018 UTC-Sat Aug  4 17:37:13 2018 UTC (0.001 )  Time stamp start 1533404233483787830 end 1533404233482715895  Run 357500, LB 129, lumi 19.03
Event Veto ['NoiseBurst'], Sat Aug  4 17:46:13 2018 UTC-Sat Aug  4 17:46:13 2018 UTC (0.001 )  Time stamp start 1533404773160100200 end 1533404773158976045  Run 357500, LB 170, lumi 19.45
Event Veto ['NoiseBurst'], Sat Aug  4 17:48:30 2018 UTC-Sat Aug  4 17:48:30 2018 UTC (0.045 )  Time stamp start 1533404910874850140 end 1533404910829988785  Run 357500, LB 172, lumi 784.76
Event Veto ['MiniNoiseBurst'], Sat Aug  4 17:48:40 2018 UTC-Sat Aug  4 17:48:40 2018 UTC (0.001 )  Time stamp start 1533404920743418090 end 1533404920742418090  Run 357500, LB 172, lumi 17.49
Event Veto ['NoiseBurst'], Sat Aug  4 17:49:20 2018 UTC-Sat Aug  4 17:49:20 2018 UTC (0.001 )  Time stamp start 1533404960048629920 end 1533404960047629545  Run 357500, LB 173, lumi 17.29
Event Veto ['NoiseBurst'], Sat Aug  4 17:49:25 2018 UTC-Sat Aug  4 17:49:25 2018 UTC (0.001 )  Time stamp start 1533404965018179130 end 1533404965017178635  Run 357500, LB 173, lumi 17.30
Event Veto ['MiniNoiseBurst'], Sat Aug  4 17:50:08 2018 UTC-Sat Aug  4 17:50:08 2018 UTC (0.001 )  Time stamp start 1533405008095815305 end 1533405008094815305  Run 357500, LB 174, lumi 17.36
Event Veto ['MiniNoiseBurst'], Sat Aug  4 17:52:51 2018 UTC-Sat Aug  4 17:52:51 2018 UTC (0.001 )  Time stamp start 1533405171728279560 end 1533405171727279560  Run 357500, LB 177, lumi 17.17
Event Veto ['MiniNoiseBurst'], Sat Aug  4 17:53:03 2018 UTC-Sat Aug  4 17:53:03 2018 UTC (0.001 )  Time stamp start 1533405183856986765 end 1533405183855986765  Run 357500, LB 177, lumi 17.17
Event Veto ['NoiseBurst'], Sat Aug  4 17:54:30 2018 UTC-Sat Aug  4 17:54:30 2018 UTC (0.002 )  Time stamp start 1533405270699710200 end 1533405270697419845  Run 357500, LB 179, lumi 39.09
