Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 339957 to 339957
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 339957 to run 339957  lasting from Fri Nov  3 10:55:13 2017 UTC to Sat Nov  4 13:33:45 2017 UTC
Event Veto ['NoiseBurst'], Fri Nov  3 13:52:56 2017 UTC-Fri Nov  3 13:52:56 2017 UTC (0.001 )  Time stamp start 1509717176276429920 end 1509717176275429295  Run 339957, LB 209, lumi 15.19
Event Veto ['MiniNoiseBurst'], Fri Nov  3 13:53:06 2017 UTC-Fri Nov  3 13:53:06 2017 UTC (0.001 )  Time stamp start 1509717186819730745 end 1509717186818730745  Run 339957, LB 209, lumi 15.18
Event Veto ['NoiseBurst'], Fri Nov  3 13:53:27 2017 UTC-Fri Nov  3 13:53:27 2017 UTC (0.002 )  Time stamp start 1509717207583950830 end 1509717207582267500  Run 339957, LB 209, lumi 25.56
Event Veto ['NoiseBurst'], Fri Nov  3 13:53:27 2017 UTC-Fri Nov  3 13:53:27 2017 UTC (0.001 )  Time stamp start 1509717207588768715 end 1509717207587691665  Run 339957, LB 209, lumi 16.35
Event Veto ['MiniNoiseBurst'], Fri Nov  3 13:54:07 2017 UTC-Fri Nov  3 13:54:07 2017 UTC (0.001 )  Time stamp start 1509717247921643090 end 1509717247920643090  Run 339957, LB 211, lumi 15.20
Event Veto ['MiniNoiseBurst'], Fri Nov  3 13:54:17 2017 UTC-Fri Nov  3 13:54:17 2017 UTC (0.001 )  Time stamp start 1509717257768403230 end 1509717257767403230  Run 339957, LB 211, lumi 15.20
Event Veto ['DataCorruption'], Fri Nov  3 13:54:35 2017 UTC-Fri Nov  3 13:54:35 2017 UTC (0.500 )  Time stamp start 1509717275987776160 end 1509717275487762485  Run 339957, LB 211, lumi 7599.13
Event Veto ['MiniNoiseBurst'], Fri Nov  3 13:55:52 2017 UTC-Fri Nov  3 13:55:52 2017 UTC (0.001 )  Time stamp start 1509717352695261950 end 1509717352694261950  Run 339957, LB 213, lumi 15.10
Event Veto ['MiniNoiseBurst'], Fri Nov  3 13:56:18 2017 UTC-Fri Nov  3 13:56:18 2017 UTC (0.001 )  Time stamp start 1509717378614997375 end 1509717378613997375  Run 339957, LB 214, lumi 15.09
Event Veto ['MiniNoiseBurst'], Fri Nov  3 13:56:39 2017 UTC-Fri Nov  3 13:56:39 2017 UTC (0.001 )  Time stamp start 1509717399410181020 end 1509717399409181020  Run 339957, LB 214, lumi 15.09
Event Veto ['MiniNoiseBurst'], Fri Nov  3 13:57:42 2017 UTC-Fri Nov  3 13:57:42 2017 UTC (0.001 )  Time stamp start 1509717462752846415 end 1509717462751846415  Run 339957, LB 216, lumi 15.07
Event Veto ['MiniNoiseBurst'], Fri Nov  3 13:58:05 2017 UTC-Fri Nov  3 13:58:05 2017 UTC (0.001 )  Time stamp start 1509717485418467360 end 1509717485417467360  Run 339957, LB 216, lumi 15.07
