Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 305727 to 305727
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 305727 to run 305727  lasting from Sun Aug  7 01:31:39 2016 UTC to Sun Aug  7 05:36:22 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:47:19 2016 UTC-Sun Aug  7 01:47:19 2016 UTC (0.001 )  Time stamp start 1470534439901369220 end 1470534439900369220  Run 305727, LB 24, lumi 5.35
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:47:42 2016 UTC-Sun Aug  7 01:47:42 2016 UTC (0.001 )  Time stamp start 1470534462368210945 end 1470534462367210945  Run 305727, LB 24, lumi 5.35
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:48:03 2016 UTC-Sun Aug  7 01:48:03 2016 UTC (0.001 )  Time stamp start 1470534483846443720 end 1470534483845443720  Run 305727, LB 25, lumi 5.34
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:48:26 2016 UTC-Sun Aug  7 01:48:26 2016 UTC (0.001 )  Time stamp start 1470534506977972805 end 1470534506976972805  Run 305727, LB 25, lumi 5.34
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:48:38 2016 UTC-Sun Aug  7 01:48:38 2016 UTC (0.001 )  Time stamp start 1470534518554819110 end 1470534518553818735  Run 305727, LB 25, lumi 5.35
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:49:22 2016 UTC-Sun Aug  7 01:49:22 2016 UTC (0.001 )  Time stamp start 1470534562504648245 end 1470534562503648245  Run 305727, LB 26, lumi 5.34
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:49:56 2016 UTC-Sun Aug  7 01:49:56 2016 UTC (0.001 )  Time stamp start 1470534596127138490 end 1470534596126138490  Run 305727, LB 26, lumi 5.34
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:51:25 2016 UTC-Sun Aug  7 01:51:25 2016 UTC (0.001 )  Time stamp start 1470534685699351855 end 1470534685698351555  Run 305727, LB 29, lumi 5.33
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:51:48 2016 UTC-Sun Aug  7 01:51:48 2016 UTC (0.001 )  Time stamp start 1470534708895368570 end 1470534708894368570  Run 305727, LB 29, lumi 5.33
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:52:44 2016 UTC-Sun Aug  7 01:52:44 2016 UTC (0.001 )  Time stamp start 1470534764283240170 end 1470534764282240045  Run 305727, LB 30, lumi 5.33
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:53:06 2016 UTC-Sun Aug  7 01:53:06 2016 UTC (0.001 )  Time stamp start 1470534786559580700 end 1470534786558580700  Run 305727, LB 30, lumi 5.33
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:53:18 2016 UTC-Sun Aug  7 01:53:18 2016 UTC (0.001 )  Time stamp start 1470534798014418330 end 1470534798013418330  Run 305727, LB 31, lumi 5.33
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:53:39 2016 UTC-Sun Aug  7 01:53:39 2016 UTC (0.001 )  Time stamp start 1470534819426486435 end 1470534819425486435  Run 305727, LB 31, lumi 5.33
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:53:56 2016 UTC-Sun Aug  7 01:53:56 2016 UTC (0.001 )  Time stamp start 1470534836289237040 end 1470534836288236795  Run 305727, LB 31, lumi 5.33
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:54:18 2016 UTC-Sun Aug  7 01:54:18 2016 UTC (0.001 )  Time stamp start 1470534858442328925 end 1470534858441328925  Run 305727, LB 32, lumi 5.32
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:55:15 2016 UTC-Sun Aug  7 01:55:15 2016 UTC (0.001 )  Time stamp start 1470534915024852405 end 1470534915023852405  Run 305727, LB 33, lumi 5.32
Event Veto ['NoiseBurst'], Sun Aug  7 01:56:00 2016 UTC-Sun Aug  7 01:56:00 2016 UTC (0.010 )  Time stamp start 1470534960105206390 end 1470534960095205640  Run 305727, LB 33, lumi 53.23
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:56:10 2016 UTC-Sun Aug  7 01:56:10 2016 UTC (0.001 )  Time stamp start 1470534970681765665 end 1470534970680765665  Run 305727, LB 33, lumi 5.32
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:56:30 2016 UTC-Sun Aug  7 01:56:30 2016 UTC (0.001 )  Time stamp start 1470534990851866125 end 1470534990850866125  Run 305727, LB 34, lumi 5.32
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:57:03 2016 UTC-Sun Aug  7 01:57:03 2016 UTC (0.001 )  Time stamp start 1470535023472303290 end 1470535023471303290  Run 305727, LB 34, lumi 5.32
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:57:24 2016 UTC-Sun Aug  7 01:57:24 2016 UTC (0.001 )  Time stamp start 1470535044678023040 end 1470535044677023040  Run 305727, LB 35, lumi 5.32
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:57:35 2016 UTC-Sun Aug  7 01:57:35 2016 UTC (0.001 )  Time stamp start 1470535055600829485 end 1470535055599829485  Run 305727, LB 35, lumi 5.32
Event Veto ['NoiseBurst'], Sun Aug  7 01:59:04 2016 UTC-Sun Aug  7 01:59:04 2016 UTC (0.010 )  Time stamp start 1470535144134366740 end 1470535144124095500  Run 305727, LB 36, lumi 54.58
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:00:16 2016 UTC-Sun Aug  7 02:00:16 2016 UTC (0.001 )  Time stamp start 1470535216466904040 end 1470535216465903790  Run 305727, LB 38, lumi 5.31
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:00:50 2016 UTC-Sun Aug  7 02:00:50 2016 UTC (0.001 )  Time stamp start 1470535250603226625 end 1470535250602226330  Run 305727, LB 38, lumi 5.31
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:01:12 2016 UTC-Sun Aug  7 02:01:12 2016 UTC (0.001 )  Time stamp start 1470535272372515945 end 1470535272371515945  Run 305727, LB 38, lumi 5.31
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:01:23 2016 UTC-Sun Aug  7 02:01:23 2016 UTC (0.001 )  Time stamp start 1470535283884303720 end 1470535283883303345  Run 305727, LB 39, lumi 5.30
