Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 363129 to 363129
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 363129 to run 363129  lasting from Mon Oct  8 00:08:17 2018 UTC to Mon Oct  8 12:20:22 2018 UTC
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:33:06 2018 UTC-Mon Oct  8 01:33:06 2018 UTC (0.001 )  Time stamp start 1538962386924942400 end 1538962386923942400  Run 363129, LB 91, lumi 17.82
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:33:12 2018 UTC-Mon Oct  8 01:33:12 2018 UTC (0.001 )  Time stamp start 1538962392461747200 end 1538962392460747200  Run 363129, LB 91, lumi 17.82
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:33:55 2018 UTC-Mon Oct  8 01:33:55 2018 UTC (0.001 )  Time stamp start 1538962435116746650 end 1538962435115746650  Run 363129, LB 92, lumi 17.71
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:34:03 2018 UTC-Mon Oct  8 01:34:03 2018 UTC (0.001 )  Time stamp start 1538962443907221670 end 1538962443906221670  Run 363129, LB 92, lumi 17.71
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:34:37 2018 UTC-Mon Oct  8 01:34:37 2018 UTC (0.001 )  Time stamp start 1538962477182452285 end 1538962477181452285  Run 363129, LB 93, lumi 17.66
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:34:42 2018 UTC-Mon Oct  8 01:34:42 2018 UTC (0.001 )  Time stamp start 1538962482671031595 end 1538962482670031595  Run 363129, LB 93, lumi 17.66
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:34:42 2018 UTC-Mon Oct  8 01:34:42 2018 UTC (0.001 )  Time stamp start 1538962482706227060 end 1538962482705227060  Run 363129, LB 93, lumi 17.66
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:35:07 2018 UTC-Mon Oct  8 01:35:07 2018 UTC (0.001 )  Time stamp start 1538962507906752775 end 1538962507905752775  Run 363129, LB 93, lumi 17.66
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:35:13 2018 UTC-Mon Oct  8 01:35:13 2018 UTC (0.001 )  Time stamp start 1538962513850995225 end 1538962513849995225  Run 363129, LB 93, lumi 17.66
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:35:18 2018 UTC-Mon Oct  8 01:35:18 2018 UTC (0.001 )  Time stamp start 1538962518829160035 end 1538962518828160035  Run 363129, LB 93, lumi 17.66
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:35:25 2018 UTC-Mon Oct  8 01:35:25 2018 UTC (0.001 )  Time stamp start 1538962525205434935 end 1538962525204434935  Run 363129, LB 93, lumi 17.66
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:35:58 2018 UTC-Mon Oct  8 01:35:58 2018 UTC (0.001 )  Time stamp start 1538962558759788385 end 1538962558758788385  Run 363129, LB 94, lumi 17.59
