Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 311321 to 311321
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 311321 to run 311321  lasting from Sun Oct 23 20:48:42 2016 UTC to Mon Oct 24 13:46:58 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:52 2016 UTC-Sun Oct 23 22:23:52 2016 UTC (0.001 )  Time stamp start 1477261432201585155 end 1477261432200585155  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:52 2016 UTC-Sun Oct 23 22:23:52 2016 UTC (0.001 )  Time stamp start 1477261432321759495 end 1477261432320759495  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:52 2016 UTC-Sun Oct 23 22:23:52 2016 UTC (0.001 )  Time stamp start 1477261432435018760 end 1477261432434018760  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:52 2016 UTC-Sun Oct 23 22:23:52 2016 UTC (0.001 )  Time stamp start 1477261432613065120 end 1477261432612065120  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:52 2016 UTC-Sun Oct 23 22:23:52 2016 UTC (0.001 )  Time stamp start 1477261432780928205 end 1477261432779928205  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:53 2016 UTC-Sun Oct 23 22:23:53 2016 UTC (0.001 )  Time stamp start 1477261433046184985 end 1477261433045184985  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:53 2016 UTC-Sun Oct 23 22:23:53 2016 UTC (0.001 )  Time stamp start 1477261433160431955 end 1477261433159426540  Run 311321, LB 99, lumi 2.78
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:53 2016 UTC-Sun Oct 23 22:23:53 2016 UTC (0.001 )  Time stamp start 1477261433431736890 end 1477261433430736890  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:53 2016 UTC-Sun Oct 23 22:23:53 2016 UTC (0.001 )  Time stamp start 1477261433790636915 end 1477261433789636915  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:54 2016 UTC-Sun Oct 23 22:23:54 2016 UTC (0.001 )  Time stamp start 1477261434028255985 end 1477261434027255985  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:54 2016 UTC-Sun Oct 23 22:23:54 2016 UTC (0.001 )  Time stamp start 1477261434154998560 end 1477261434153998560  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:54 2016 UTC-Sun Oct 23 22:23:54 2016 UTC (0.001 )  Time stamp start 1477261434400999280 end 1477261434399999280  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:55 2016 UTC-Sun Oct 23 22:23:55 2016 UTC (0.001 )  Time stamp start 1477261435896183165 end 1477261435895183165  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:56 2016 UTC-Sun Oct 23 22:23:56 2016 UTC (0.001 )  Time stamp start 1477261436189575945 end 1477261436188575945  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:56 2016 UTC-Sun Oct 23 22:23:56 2016 UTC (0.001 )  Time stamp start 1477261436497238430 end 1477261436496238430  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:57 2016 UTC-Sun Oct 23 22:23:57 2016 UTC (0.002 )  Time stamp start 1477261437067084455 end 1477261437065136530  Run 311321, LB 99, lumi 5.39
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:57 2016 UTC-Sun Oct 23 22:23:57 2016 UTC (0.001 )  Time stamp start 1477261437555399680 end 1477261437554399680  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:57 2016 UTC-Sun Oct 23 22:23:57 2016 UTC (0.001 )  Time stamp start 1477261437641313980 end 1477261437640313980  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:57 2016 UTC-Sun Oct 23 22:23:57 2016 UTC (0.001 )  Time stamp start 1477261437754749825 end 1477261437753749825  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:57 2016 UTC-Sun Oct 23 22:23:57 2016 UTC (0.001 )  Time stamp start 1477261437985481740 end 1477261437984481740  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:58 2016 UTC-Sun Oct 23 22:23:58 2016 UTC (0.001 )  Time stamp start 1477261438895865350 end 1477261438894865350  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:59 2016 UTC-Sun Oct 23 22:23:59 2016 UTC (0.001 )  Time stamp start 1477261439009361425 end 1477261439008361425  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:59 2016 UTC-Sun Oct 23 22:23:59 2016 UTC (0.001 )  Time stamp start 1477261439099426060 end 1477261439098426060  Run 311321, LB 99, lumi 2.76
