Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 357283 to 357283
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 357283 to run 357283  lasting from Wed Aug  1 15:21:38 2018 UTC to Wed Aug  1 19:21:43 2018 UTC
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:23:16 2018 UTC-Wed Aug  1 15:23:16 2018 UTC (0.001 )  Time stamp start 1533136996589299375 end 1533136996587827035  Run 357283, LB 3, lumi 20.83
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:23:49 2018 UTC-Wed Aug  1 15:23:49 2018 UTC (0.001 )  Time stamp start 1533137029458569435 end 1533137029457569435  Run 357283, LB 4, lumi 14.13
Event Veto ['NoiseBurst'], Wed Aug  1 15:26:59 2018 UTC-Wed Aug  1 15:26:59 2018 UTC (0.003 )  Time stamp start 1533137219547185320 end 1533137219544594635  Run 357283, LB 11, lumi 36.32
Event Veto ['NoiseBurst'], Wed Aug  1 15:27:00 2018 UTC-Wed Aug  1 15:27:00 2018 UTC (0.001 )  Time stamp start 1533137220040714975 end 1533137220039460600  Run 357283, LB 11, lumi 17.59
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:27:17 2018 UTC-Wed Aug  1 15:27:17 2018 UTC (0.001 )  Time stamp start 1533137237020150880 end 1533137237019150880  Run 357283, LB 11, lumi 14.02
Event Veto ['NoiseBurst'], Wed Aug  1 15:27:59 2018 UTC-Wed Aug  1 15:27:59 2018 UTC (0.001 )  Time stamp start 1533137279067958550 end 1533137279066957800  Run 357283, LB 12, lumi 14.03
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:34:15 2018 UTC-Wed Aug  1 15:34:15 2018 UTC (0.001 )  Time stamp start 1533137655109468855 end 1533137655108468855  Run 357283, LB 19, lumi 13.68
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  1 15:35:39 2018 UTC-Wed Aug  1 15:35:39 2018 UTC (0.001 )  Time stamp start 1533137739730665680 end 1533137739729665680  Run 357283, LB 22, lumi 13.63
Event Veto ['NoiseBurst'], Wed Aug  1 15:36:31 2018 UTC-Wed Aug  1 15:36:31 2018 UTC (0.002 )  Time stamp start 1533137791925082125 end 1533137791922721335  Run 357283, LB 22, lumi 32.17
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  1 15:38:58 2018 UTC-Wed Aug  1 15:38:58 2018 UTC (0.001 )  Time stamp start 1533137938184699050 end 1533137938183699050  Run 357283, LB 26, lumi 13.47
Event Veto ['NoiseBurst'], Wed Aug  1 15:39:45 2018 UTC-Wed Aug  1 15:39:45 2018 UTC (0.001 )  Time stamp start 1533137985846554745 end 1533137985845553995  Run 357283, LB 26, lumi 13.48
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:39:53 2018 UTC-Wed Aug  1 15:39:53 2018 UTC (0.001 )  Time stamp start 1533137993441294405 end 1533137993440294405  Run 357283, LB 26, lumi 13.47
Event Veto ['NoiseBurst'], Wed Aug  1 15:39:54 2018 UTC-Wed Aug  1 15:39:54 2018 UTC (0.001 )  Time stamp start 1533137994685676730 end 1533137994684675855  Run 357283, LB 26, lumi 13.49
Event Veto ['NoiseBurst'], Wed Aug  1 15:40:38 2018 UTC-Wed Aug  1 15:40:38 2018 UTC (0.001 )  Time stamp start 1533138038748891270 end 1533138038747890645  Run 357283, LB 27, lumi 13.17
Event Veto ['NoiseBurst'], Wed Aug  1 15:40:44 2018 UTC-Wed Aug  1 15:40:44 2018 UTC (0.001 )  Time stamp start 1533138044381938585 end 1533138044380937710  Run 357283, LB 27, lumi 13.18
Event Veto ['NoiseBurst'], Wed Aug  1 15:42:17 2018 UTC-Wed Aug  1 15:42:17 2018 UTC (0.001 )  Time stamp start 1533138137871079435 end 1533138137870078935  Run 357283, LB 29, lumi 13.60
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:43:04 2018 UTC-Wed Aug  1 15:43:04 2018 UTC (0.001 )  Time stamp start 1533138184897014635 end 1533138184896014635  Run 357283, LB 30, lumi 13.58
Event Veto ['NoiseBurst'], Wed Aug  1 15:44:08 2018 UTC-Wed Aug  1 15:44:08 2018 UTC (0.001 )  Time stamp start 1533138248215195165 end 1533138248214033310  Run 357283, LB 31, lumi 15.76
Event Veto ['NoiseBurst'], Wed Aug  1 15:44:27 2018 UTC-Wed Aug  1 15:44:27 2018 UTC (0.001 )  Time stamp start 1533138267953317680 end 1533138267952145045  Run 357283, LB 31, lumi 15.91
Event Veto ['NoiseBurst'], Wed Aug  1 15:46:13 2018 UTC-Wed Aug  1 15:46:13 2018 UTC (0.001 )  Time stamp start 1533138373120368640 end 1533138373119367940  Run 357283, LB 33, lumi 13.76
Event Veto ['NoiseBurst'], Wed Aug  1 15:46:29 2018 UTC-Wed Aug  1 15:46:29 2018 UTC (0.080 )  Time stamp start 1533138389697139905 end 1533138389617030020  Run 357283, LB 33, lumi 1101.53
Event Veto ['NoiseBurst'], Wed Aug  1 15:46:45 2018 UTC-Wed Aug  1 15:46:45 2018 UTC (0.001 )  Time stamp start 1533138405284131340 end 1533138405283130715  Run 357283, LB 33, lumi 13.76
Event Veto ['NoiseBurst'], Wed Aug  1 15:47:37 2018 UTC-Wed Aug  1 15:47:37 2018 UTC (0.001 )  Time stamp start 1533138457071982580 end 1533138457070981960  Run 357283, LB 34, lumi 13.81
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:48:03 2018 UTC-Wed Aug  1 15:48:03 2018 UTC (0.001 )  Time stamp start 1533138483147733830 end 1533138483146733830  Run 357283, LB 35, lumi 13.88
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:51:56 2018 UTC-Wed Aug  1 15:51:56 2018 UTC (0.001 )  Time stamp start 1533138716043414775 end 1533138716042414775  Run 357283, LB 38, lumi 13.86
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  1 15:52:03 2018 UTC-Wed Aug  1 15:52:03 2018 UTC (0.001 )  Time stamp start 1533138723524149010 end 1533138723523149010  Run 357283, LB 39, lumi 13.83
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:52:15 2018 UTC-Wed Aug  1 15:52:15 2018 UTC (0.001 )  Time stamp start 1533138735850427395 end 1533138735849427395  Run 357283, LB 39, lumi 13.83
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:52:27 2018 UTC-Wed Aug  1 15:52:27 2018 UTC (0.001 )  Time stamp start 1533138747294117590 end 1533138747293117465  Run 357283, LB 39, lumi 13.83
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:52:35 2018 UTC-Wed Aug  1 15:52:35 2018 UTC (0.001 )  Time stamp start 1533138755612700135 end 1533138755611700135  Run 357283, LB 39, lumi 13.83
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:52:40 2018 UTC-Wed Aug  1 15:52:40 2018 UTC (0.001 )  Time stamp start 1533138760302603415 end 1533138760301603415  Run 357283, LB 39, lumi 13.83
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:52:59 2018 UTC-Wed Aug  1 15:52:59 2018 UTC (0.001 )  Time stamp start 1533138779005556040 end 1533138779004555915  Run 357283, LB 40, lumi 13.83
Event Veto ['NoiseBurst'], Wed Aug  1 15:52:59 2018 UTC-Wed Aug  1 15:52:59 2018 UTC (0.001 )  Time stamp start 1533138779703670180 end 1533138779702669310  Run 357283, LB 40, lumi 13.84
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:53:07 2018 UTC-Wed Aug  1 15:53:07 2018 UTC (0.001 )  Time stamp start 1533138787200655905 end 1533138787199655905  Run 357283, LB 40, lumi 13.83
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:53:15 2018 UTC-Wed Aug  1 15:53:15 2018 UTC (0.001 )  Time stamp start 1533138795478559565 end 1533138795477559440  Run 357283, LB 40, lumi 13.83
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:53:23 2018 UTC-Wed Aug  1 15:53:23 2018 UTC (0.001 )  Time stamp start 1533138803383761520 end 1533138803382761520  Run 357283, LB 40, lumi 13.83
Event Veto ['NoiseBurst'], Wed Aug  1 15:53:30 2018 UTC-Wed Aug  1 15:53:30 2018 UTC (0.001 )  Time stamp start 1533138810759377440 end 1533138810758376565  Run 357283, LB 40, lumi 13.84
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:53:31 2018 UTC-Wed Aug  1 15:53:31 2018 UTC (0.001 )  Time stamp start 1533138811969594065 end 1533138811968593940  Run 357283, LB 40, lumi 13.83
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:53:40 2018 UTC-Wed Aug  1 15:53:40 2018 UTC (0.001 )  Time stamp start 1533138820248206550 end 1533138820247206430  Run 357283, LB 40, lumi 13.83
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:53:50 2018 UTC-Wed Aug  1 15:53:50 2018 UTC (0.001 )  Time stamp start 1533138830089142130 end 1533138830088142005  Run 357283, LB 40, lumi 13.83
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:54:04 2018 UTC-Wed Aug  1 15:54:04 2018 UTC (0.001 )  Time stamp start 1533138844908415205 end 1533138844907415205  Run 357283, LB 41, lumi 13.80
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:54:10 2018 UTC-Wed Aug  1 15:54:10 2018 UTC (0.001 )  Time stamp start 1533138850630273025 end 1533138850629273025  Run 357283, LB 42, lumi 13.78
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:54:20 2018 UTC-Wed Aug  1 15:54:20 2018 UTC (0.001 )  Time stamp start 1533138860211958560 end 1533138860210958435  Run 357283, LB 42, lumi 13.78
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:54:30 2018 UTC-Wed Aug  1 15:54:30 2018 UTC (0.001 )  Time stamp start 1533138870277246375 end 1533138870276246250  Run 357283, LB 42, lumi 13.78
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:54:39 2018 UTC-Wed Aug  1 15:54:39 2018 UTC (0.001 )  Time stamp start 1533138879663174970 end 1533138879662174845  Run 357283, LB 43, lumi 13.73
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:54:50 2018 UTC-Wed Aug  1 15:54:50 2018 UTC (0.001 )  Time stamp start 1533138890961905655 end 1533138890960905530  Run 357283, LB 43, lumi 13.73
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:54:57 2018 UTC-Wed Aug  1 15:54:57 2018 UTC (0.001 )  Time stamp start 1533138897016246180 end 1533138897015246180  Run 357283, LB 43, lumi 13.73
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:55:15 2018 UTC-Wed Aug  1 15:55:16 2018 UTC (0.001 )  Time stamp start 1533138916000229170 end 1533138915999229045  Run 357283, LB 43, lumi 13.73
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:55:30 2018 UTC-Wed Aug  1 15:55:30 2018 UTC (0.001 )  Time stamp start 1533138930308573840 end 1533138930307573715  Run 357283, LB 43, lumi 13.73
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:55:36 2018 UTC-Wed Aug  1 15:55:36 2018 UTC (0.001 )  Time stamp start 1533138936487668095 end 1533138936486668095  Run 357283, LB 44, lumi 13.72
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:56:14 2018 UTC-Wed Aug  1 15:56:14 2018 UTC (0.001 )  Time stamp start 1533138974100524460 end 1533138974099524460  Run 357283, LB 44, lumi 13.72
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:56:19 2018 UTC-Wed Aug  1 15:56:19 2018 UTC (0.001 )  Time stamp start 1533138979869555595 end 1533138979868555475  Run 357283, LB 44, lumi 13.72
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:56:31 2018 UTC-Wed Aug  1 15:56:31 2018 UTC (0.001 )  Time stamp start 1533138991491237430 end 1533138991490237430  Run 357283, LB 44, lumi 13.72
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:56:37 2018 UTC-Wed Aug  1 15:56:37 2018 UTC (0.001 )  Time stamp start 1533138997220408415 end 1533138997219408415  Run 357283, LB 45, lumi 13.68
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:56:57 2018 UTC-Wed Aug  1 15:56:57 2018 UTC (0.001 )  Time stamp start 1533139017394644020 end 1533139017393643895  Run 357283, LB 45, lumi 13.68
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:57:07 2018 UTC-Wed Aug  1 15:57:07 2018 UTC (0.001 )  Time stamp start 1533139027433612595 end 1533139027432612595  Run 357283, LB 45, lumi 13.68
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:57:16 2018 UTC-Wed Aug  1 15:57:16 2018 UTC (0.001 )  Time stamp start 1533139036018417040 end 1533139036017416915  Run 357283, LB 45, lumi 13.68
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:57:27 2018 UTC-Wed Aug  1 15:57:27 2018 UTC (0.001 )  Time stamp start 1533139047724547225 end 1533139047723547100  Run 357283, LB 45, lumi 13.68
Event Veto ['NoiseBurst'], Wed Aug  1 15:57:52 2018 UTC-Wed Aug  1 15:57:52 2018 UTC (0.002 )  Time stamp start 1533139072575397740 end 1533139072573333020  Run 357283, LB 46, lumi 28.20
Event Veto ['NoiseBurst'], Wed Aug  1 15:57:52 2018 UTC-Wed Aug  1 15:57:52 2018 UTC (0.004 )  Time stamp start 1533139072580405605 end 1533139072576680110  Run 357283, LB 46, lumi 50.88
Event Veto ['NoiseBurst'], Wed Aug  1 15:57:52 2018 UTC-Wed Aug  1 15:57:52 2018 UTC (0.002 )  Time stamp start 1533139072583119470 end 1533139072581192150  Run 357283, LB 46, lumi 26.32
Event Veto ['NoiseBurst'], Wed Aug  1 15:59:18 2018 UTC-Wed Aug  1 15:59:18 2018 UTC (0.001 )  Time stamp start 1533139158978564840 end 1533139158977564590  Run 357283, LB 47, lumi 13.60
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:59:42 2018 UTC-Wed Aug  1 15:59:42 2018 UTC (0.001 )  Time stamp start 1533139182568250710 end 1533139182567250585  Run 357283, LB 48, lumi 13.62
Event Veto ['NoiseBurst'], Wed Aug  1 15:59:50 2018 UTC-Wed Aug  1 15:59:50 2018 UTC (0.001 )  Time stamp start 1533139190677648420 end 1533139190676648050  Run 357283, LB 49, lumi 13.62
Event Veto ['MiniNoiseBurst'], Wed Aug  1 15:59:50 2018 UTC-Wed Aug  1 15:59:50 2018 UTC (0.001 )  Time stamp start 1533139190924796205 end 1533139190923796080  Run 357283, LB 49, lumi 13.62
Event Veto ['MiniNoiseBurst'], Wed Aug  1 16:00:18 2018 UTC-Wed Aug  1 16:00:18 2018 UTC (0.001 )  Time stamp start 1533139218396968405 end 1533139218395968405  Run 357283, LB 49, lumi 13.62
Event Veto ['MiniNoiseBurst'], Wed Aug  1 16:00:23 2018 UTC-Wed Aug  1 16:00:23 2018 UTC (0.001 )  Time stamp start 1533139223524353515 end 1533139223523353515  Run 357283, LB 49, lumi 13.62
Event Veto ['MiniNoiseBurst'], Wed Aug  1 16:00:48 2018 UTC-Wed Aug  1 16:00:48 2018 UTC (0.001 )  Time stamp start 1533139248025251555 end 1533139248024251430  Run 357283, LB 50, lumi 13.55
Event Veto ['MiniNoiseBurst'], Wed Aug  1 16:01:43 2018 UTC-Wed Aug  1 16:01:43 2018 UTC (0.001 )  Time stamp start 1533139303695715880 end 1533139303694715880  Run 357283, LB 50, lumi 13.55
Event Veto ['MiniNoiseBurst'], Wed Aug  1 16:01:50 2018 UTC-Wed Aug  1 16:01:50 2018 UTC (0.001 )  Time stamp start 1533139310383590550 end 1533139310382590550  Run 357283, LB 51, lumi 13.54
Event Veto ['MiniNoiseBurst'], Wed Aug  1 16:02:31 2018 UTC-Wed Aug  1 16:02:31 2018 UTC (0.001 )  Time stamp start 1533139351479088595 end 1533139351478088470  Run 357283, LB 51, lumi 13.54
Event Veto ['MiniNoiseBurst'], Wed Aug  1 16:02:41 2018 UTC-Wed Aug  1 16:02:41 2018 UTC (0.001 )  Time stamp start 1533139361688540060 end 1533139361687539935  Run 357283, LB 51, lumi 13.54
Event Veto ['MiniNoiseBurst'], Wed Aug  1 16:02:54 2018 UTC-Wed Aug  1 16:02:54 2018 UTC (0.001 )  Time stamp start 1533139374779053435 end 1533139374778053310  Run 357283, LB 52, lumi 13.54
Event Veto ['MiniNoiseBurst'], Wed Aug  1 16:03:31 2018 UTC-Wed Aug  1 16:03:31 2018 UTC (0.001 )  Time stamp start 1533139411647115525 end 1533139411646115400  Run 357283, LB 52, lumi 13.54
