Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 338498 to 338498
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 338498 to run 338498  lasting from Wed Oct 18 09:58:38 2017 UTC to Wed Oct 18 19:17:53 2017 UTC
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086200952320 end 1508321086199951520  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086207028260 end 1508321086206027240  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086212956045 end 1508321086211955645  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086218883730 end 1508321086217883180  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086224842905 end 1508321086223842105  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086230889830 end 1508321086229889005  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086236944910 end 1508321086235944140  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086242867255 end 1508321086241866485  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086248838855 end 1508321086247838030  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086254870135 end 1508321086253869310  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086260983205 end 1508321086259982405  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086266894050 end 1508321086265893225  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086272858760 end 1508321086271857935  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086278917360 end 1508321086277834825  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086284825835 end 1508321086283825035  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086290902100 end 1508321086289901300  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086296817935 end 1508321086295817010  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086302851210 end 1508321086301850460  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086308888055 end 1508321086307887805  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086314821830 end 1508321086313821030  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086320841455 end 1508321086319840535  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086326855820 end 1508321086325855020  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086332803165 end 1508321086331802615  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086339005535 end 1508321086338004735  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086344963785 end 1508321086343963135  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086356816860 end 1508321086355816035  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086362947145 end 1508321086361946220  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086368872510 end 1508321086367787900  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086374816210 end 1508321086373815340  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086386892470 end 1508321086385891670  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086392891240 end 1508321086391890465  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086404775375 end 1508321086403774605  Run 338498, LB 10, lumi 0.00
