Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 311287 to 311287
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 311287 to run 311287  lasting from Sun Oct 23 02:42:08 2016 UTC to Sun Oct 23 19:40:54 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:33:39 2016 UTC-Sun Oct 23 03:33:39 2016 UTC (0.001 )  Time stamp start 1477193619229994630 end 1477193619228994630  Run 311287, LB 62, lumi 6.09
Event Veto ['NoiseBurst'], Sun Oct 23 03:33:42 2016 UTC-Sun Oct 23 03:33:42 2016 UTC (0.010 )  Time stamp start 1477193622488790790 end 1477193622478769260  Run 311287, LB 62, lumi 61.05
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:33:44 2016 UTC-Sun Oct 23 03:33:44 2016 UTC (0.001 )  Time stamp start 1477193624548231330 end 1477193624547231330  Run 311287, LB 62, lumi 6.09
Event Veto ['NoiseBurst'], Sun Oct 23 03:33:44 2016 UTC-Sun Oct 23 03:33:44 2016 UTC (0.000 )  Time stamp start 1477193624788204445 end 1477193624788203820  Run 311287, LB 62, lumi 0.00
Event Veto ['NoiseBurst'], Sun Oct 23 03:33:44 2016 UTC-Sun Oct 23 03:33:44 2016 UTC (0.010 )  Time stamp start 1477193624798219840 end 1477193624788204445  Run 311287, LB 62, lumi 61.01
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:33:47 2016 UTC-Sun Oct 23 03:33:47 2016 UTC (0.001 )  Time stamp start 1477193627226869925 end 1477193627225869925  Run 311287, LB 62, lumi 6.09
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:33:47 2016 UTC-Sun Oct 23 03:33:47 2016 UTC (0.001 )  Time stamp start 1477193627991735310 end 1477193627990735310  Run 311287, LB 62, lumi 6.09
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:33:53 2016 UTC-Sun Oct 23 03:33:53 2016 UTC (0.001 )  Time stamp start 1477193633290805825 end 1477193633289805825  Run 311287, LB 63, lumi 12.07
Event Veto ['NoiseBurst'], Sun Oct 23 03:33:53 2016 UTC-Sun Oct 23 03:33:53 2016 UTC (0.000 )  Time stamp start 1477193633494845155 end 1477193633494762445  Run 311287, LB 63, lumi 1.00
Event Veto ['NoiseBurst'], Sun Oct 23 03:33:53 2016 UTC-Sun Oct 23 03:33:53 2016 UTC (0.010 )  Time stamp start 1477193633504845355 end 1477193633494845155  Run 311287, LB 63, lumi 120.70
Event Veto ['NoiseBurst'], Sun Oct 23 03:33:53 2016 UTC-Sun Oct 23 03:33:53 2016 UTC (0.000 )  Time stamp start 1477193633504873400 end 1477193633504845355  Run 311287, LB 63, lumi 0.34
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:33:54 2016 UTC-Sun Oct 23 03:33:54 2016 UTC (0.001 )  Time stamp start 1477193634465744330 end 1477193634464744330  Run 311287, LB 63, lumi 12.07
Event Veto ['NoiseBurst'], Sun Oct 23 03:33:57 2016 UTC-Sun Oct 23 03:33:57 2016 UTC (0.010 )  Time stamp start 1477193637279936190 end 1477193637269935770  Run 311287, LB 63, lumi 120.70
Event Veto ['NoiseBurst'], Sun Oct 23 03:33:57 2016 UTC-Sun Oct 23 03:33:57 2016 UTC (0.003 )  Time stamp start 1477193637282859420 end 1477193637279936190  Run 311287, LB 63, lumi 35.28
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:33:57 2016 UTC-Sun Oct 23 03:33:57 2016 UTC (0.001 )  Time stamp start 1477193637963352895 end 1477193637962352895  Run 311287, LB 63, lumi 12.07
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:33:58 2016 UTC-Sun Oct 23 03:33:58 2016 UTC (0.001 )  Time stamp start 1477193638211581795 end 1477193638210581795  Run 311287, LB 63, lumi 12.07
Event Veto ['NoiseBurst'], Sun Oct 23 03:33:58 2016 UTC-Sun Oct 23 03:33:58 2016 UTC (0.010 )  Time stamp start 1477193638621563160 end 1477193638611562185  Run 311287, LB 63, lumi 120.71
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:01 2016 UTC-Sun Oct 23 03:34:01 2016 UTC (0.001 )  Time stamp start 1477193641531630015 end 1477193641530630015  Run 311287, LB 63, lumi 12.07
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:02 2016 UTC-Sun Oct 23 03:34:02 2016 UTC (0.001 )  Time stamp start 1477193642407794065 end 1477193642406793895  Run 311287, LB 63, lumi 12.07
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:04 2016 UTC-Sun Oct 23 03:34:04 2016 UTC (0.000 )  Time stamp start 1477193644692808665 end 1477193644692807470  Run 311287, LB 63, lumi 0.01
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:04 2016 UTC-Sun Oct 23 03:34:04 2016 UTC (0.001 )  Time stamp start 1477193644693808665 end 1477193644692808665  Run 311287, LB 63, lumi 12.07
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:11 2016 UTC-Sun Oct 23 03:34:11 2016 UTC (0.001 )  Time stamp start 1477193651120565825 end 1477193651119565625  Run 311287, LB 63, lumi 12.07
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:12 2016 UTC-Sun Oct 23 03:34:12 2016 UTC (0.001 )  Time stamp start 1477193652036560440 end 1477193652035560440  Run 311287, LB 63, lumi 12.07
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:12 2016 UTC-Sun Oct 23 03:34:12 2016 UTC (0.001 )  Time stamp start 1477193652315657245 end 1477193652314657245  Run 311287, LB 63, lumi 12.07
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:12 2016 UTC-Sun Oct 23 03:34:12 2016 UTC (0.001 )  Time stamp start 1477193652936390615 end 1477193652935390615  Run 311287, LB 63, lumi 12.07
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:14 2016 UTC-Sun Oct 23 03:34:14 2016 UTC (0.001 )  Time stamp start 1477193654439888005 end 1477193654438888005  Run 311287, LB 63, lumi 12.07
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:18 2016 UTC-Sun Oct 23 03:34:18 2016 UTC (0.001 )  Time stamp start 1477193658887370470 end 1477193658886370470  Run 311287, LB 63, lumi 12.07
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:19 2016 UTC-Sun Oct 23 03:34:19 2016 UTC (0.000 )  Time stamp start 1477193659130999405 end 1477193659130998080  Run 311287, LB 63, lumi 0.02
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:19 2016 UTC-Sun Oct 23 03:34:19 2016 UTC (0.001 )  Time stamp start 1477193659131999405 end 1477193659130999405  Run 311287, LB 63, lumi 12.07
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:20 2016 UTC-Sun Oct 23 03:34:20 2016 UTC (0.001 )  Time stamp start 1477193660040581350 end 1477193660039581050  Run 311287, LB 63, lumi 12.07
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:23 2016 UTC-Sun Oct 23 03:34:23 2016 UTC (0.001 )  Time stamp start 1477193663567214465 end 1477193663566214465  Run 311287, LB 63, lumi 12.07
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:26 2016 UTC-Sun Oct 23 03:34:26 2016 UTC (0.001 )  Time stamp start 1477193666153296195 end 1477193666152296195  Run 311287, LB 63, lumi 12.07
Event Veto ['NoiseBurst'], Sun Oct 23 03:34:27 2016 UTC-Sun Oct 23 03:34:27 2016 UTC (0.010 )  Time stamp start 1477193667320749090 end 1477193667310625760  Run 311287, LB 63, lumi 122.19
Event Veto ['NoiseBurst'], Sun Oct 23 03:34:27 2016 UTC-Sun Oct 23 03:34:28 2016 UTC (0.010 )  Time stamp start 1477193668008577870 end 1477193667998560780  Run 311287, LB 63, lumi 120.90
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:28 2016 UTC-Sun Oct 23 03:34:28 2016 UTC (0.001 )  Time stamp start 1477193668677911330 end 1477193668676911330  Run 311287, LB 63, lumi 12.07
