Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 336998 to 336998
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 336998 to run 336998  lasting from Sun Oct  1 22:36:38 2017 UTC to Mon Oct  2 03:36:50 2017 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:48:10 2017 UTC-Sun Oct  1 23:48:10 2017 UTC (0.001 )  Time stamp start 1506901690458875090 end 1506901690457875090  Run 336998, LB 82, lumi 14.02
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:49:50 2017 UTC-Sun Oct  1 23:49:50 2017 UTC (0.001 )  Time stamp start 1506901790463874110 end 1506901790462874110  Run 336998, LB 84, lumi 15.22
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:50:17 2017 UTC-Sun Oct  1 23:50:17 2017 UTC (0.001 )  Time stamp start 1506901817238551270 end 1506901817237551270  Run 336998, LB 84, lumi 15.22
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:50:27 2017 UTC-Sun Oct  1 23:50:27 2017 UTC (0.001 )  Time stamp start 1506901827923869405 end 1506901827922751610  Run 336998, LB 84, lumi 17.02
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:51:05 2017 UTC-Sun Oct  1 23:51:05 2017 UTC (0.001 )  Time stamp start 1506901865126612075 end 1506901865125612075  Run 336998, LB 86, lumi 15.18
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:51:22 2017 UTC-Sun Oct  1 23:51:22 2017 UTC (0.001 )  Time stamp start 1506901882668342630 end 1506901882667342630  Run 336998, LB 86, lumi 15.18
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:51:38 2017 UTC-Sun Oct  1 23:51:38 2017 UTC (0.002 )  Time stamp start 1506901898459607340 end 1506901898458079955  Run 336998, LB 86, lumi 23.18
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:51:57 2017 UTC-Sun Oct  1 23:51:57 2017 UTC (0.001 )  Time stamp start 1506901917119311670 end 1506901917118311670  Run 336998, LB 87, lumi 15.15
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:52:01 2017 UTC-Sun Oct  1 23:52:01 2017 UTC (0.001 )  Time stamp start 1506901921776201945 end 1506901921775201945  Run 336998, LB 87, lumi 15.15
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:52:27 2017 UTC-Sun Oct  1 23:52:27 2017 UTC (0.001 )  Time stamp start 1506901947093919020 end 1506901947092919020  Run 336998, LB 87, lumi 15.15
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:52:44 2017 UTC-Sun Oct  1 23:52:44 2017 UTC (0.001 )  Time stamp start 1506901964762479420 end 1506901964761479420  Run 336998, LB 87, lumi 15.15
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:53:14 2017 UTC-Sun Oct  1 23:53:14 2017 UTC (0.001 )  Time stamp start 1506901994170467450 end 1506901994169467450  Run 336998, LB 88, lumi 15.13
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:53:28 2017 UTC-Sun Oct  1 23:53:28 2017 UTC (0.001 )  Time stamp start 1506902008273940480 end 1506902008272940480  Run 336998, LB 88, lumi 15.13
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:54:26 2017 UTC-Sun Oct  1 23:54:26 2017 UTC (0.001 )  Time stamp start 1506902066982204470 end 1506902066981204470  Run 336998, LB 89, lumi 15.07
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:54:39 2017 UTC-Sun Oct  1 23:54:39 2017 UTC (0.001 )  Time stamp start 1506902079985607420 end 1506902079984607420  Run 336998, LB 89, lumi 15.07
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:55:07 2017 UTC-Sun Oct  1 23:55:07 2017 UTC (0.001 )  Time stamp start 1506902107631916515 end 1506902107630916515  Run 336998, LB 90, lumi 15.09
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:55:13 2017 UTC-Sun Oct  1 23:55:13 2017 UTC (0.001 )  Time stamp start 1506902113667369735 end 1506902113666369735  Run 336998, LB 90, lumi 15.09
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:55:30 2017 UTC-Sun Oct  1 23:55:30 2017 UTC (0.001 )  Time stamp start 1506902130063698435 end 1506902130062698435  Run 336998, LB 91, lumi 15.06
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:55:58 2017 UTC-Sun Oct  1 23:55:58 2017 UTC (0.001 )  Time stamp start 1506902158402184265 end 1506902158401184265  Run 336998, LB 92, lumi 14.64
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:56:37 2017 UTC-Sun Oct  1 23:56:37 2017 UTC (0.001 )  Time stamp start 1506902197422083530 end 1506902197421083530  Run 336998, LB 92, lumi 14.64
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:56:39 2017 UTC-Sun Oct  1 23:56:39 2017 UTC (0.001 )  Time stamp start 1506902199620042685 end 1506902199619042685  Run 336998, LB 92, lumi 14.64
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:56:58 2017 UTC-Sun Oct  1 23:56:58 2017 UTC (0.001 )  Time stamp start 1506902218872977615 end 1506902218871977615  Run 336998, LB 93, lumi 14.30
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:58:03 2017 UTC-Sun Oct  1 23:58:03 2017 UTC (0.001 )  Time stamp start 1506902283882833850 end 1506902283881833850  Run 336998, LB 94, lumi 14.99
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:58:49 2017 UTC-Sun Oct  1 23:58:49 2017 UTC (0.001 )  Time stamp start 1506902329952896770 end 1506902329951896770  Run 336998, LB 94, lumi 14.99
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:59:15 2017 UTC-Sun Oct  1 23:59:15 2017 UTC (0.001 )  Time stamp start 1506902355763104725 end 1506902355762104725  Run 336998, LB 95, lumi 14.96
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:59:34 2017 UTC-Sun Oct  1 23:59:34 2017 UTC (0.001 )  Time stamp start 1506902374002575065 end 1506902374001575065  Run 336998, LB 95, lumi 14.96
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:59:49 2017 UTC-Sun Oct  1 23:59:49 2017 UTC (0.001 )  Time stamp start 1506902389128727255 end 1506902389127727255  Run 336998, LB 95, lumi 14.96
Event Veto ['NoiseBurst'], Mon Oct  2 00:03:40 2017 UTC-Mon Oct  2 00:03:40 2017 UTC (0.001 )  Time stamp start 1506902620206820485 end 1506902620205819735  Run 336998, LB 99, lumi 14.85
Event Veto ['MiniNoiseBurst'], Mon Oct  2 00:04:24 2017 UTC-Mon Oct  2 00:04:24 2017 UTC (0.001 )  Time stamp start 1506902664912020360 end 1506902664911020360  Run 336998, LB 100, lumi 14.81
Event Veto ['NoiseBurst'], Mon Oct  2 00:05:45 2017 UTC-Mon Oct  2 00:05:45 2017 UTC (0.001 )  Time stamp start 1506902745675857400 end 1506902745674856655  Run 336998, LB 101, lumi 14.78
Event Veto ['MiniNoiseBurst'], Mon Oct  2 00:06:00 2017 UTC-Mon Oct  2 00:06:00 2017 UTC (0.001 )  Time stamp start 1506902760448604010 end 1506902760447604010  Run 336998, LB 102, lumi 14.74
Event Veto ['DataCorruption'], Mon Oct  2 00:06:26 2017 UTC-Mon Oct  2 00:06:27 2017 UTC (0.500 )  Time stamp start 1506902787314285365 end 1506902786813848900  Run 336998, LB 102, lumi 7378.56
Event Veto ['MiniNoiseBurst'], Mon Oct  2 00:06:27 2017 UTC-Mon Oct  2 00:06:27 2017 UTC (0.001 )  Time stamp start 1506902787629497600 end 1506902787628497600  Run 336998, LB 102, lumi 14.74
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Oct  2 00:06:59 2017 UTC-Mon Oct  2 00:06:59 2017 UTC (0.002 )  Time stamp start 1506902819192353375 end 1506902819190657870  Run 336998, LB 103, lumi 24.96
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Oct  2 00:07:01 2017 UTC-Mon Oct  2 00:07:01 2017 UTC (0.001 )  Time stamp start 1506902821828917210 end 1506902821827917210  Run 336998, LB 103, lumi 14.72
Event Veto ['MiniNoiseBurst'], Mon Oct  2 00:07:07 2017 UTC-Mon Oct  2 00:07:07 2017 UTC (0.001 )  Time stamp start 1506902827856146705 end 1506902827855146330  Run 336998, LB 104, lumi 14.71
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Oct  2 00:07:12 2017 UTC-Mon Oct  2 00:07:12 2017 UTC (0.001 )  Time stamp start 1506902832024044895 end 1506902832023044770  Run 336998, LB 104, lumi 14.70
Event Veto ['MiniNoiseBurst'], Mon Oct  2 00:07:15 2017 UTC-Mon Oct  2 00:07:15 2017 UTC (0.001 )  Time stamp start 1506902835688467895 end 1506902835687467595  Run 336998, LB 104, lumi 14.70
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Oct  2 00:07:18 2017 UTC-Mon Oct  2 00:07:18 2017 UTC (0.001 )  Time stamp start 1506902838290307765 end 1506902838289307640  Run 336998, LB 104, lumi 14.70
Event Veto ['MiniNoiseBurst'], Mon Oct  2 00:07:22 2017 UTC-Mon Oct  2 00:07:22 2017 UTC (0.001 )  Time stamp start 1506902842259586415 end 1506902842258586415  Run 336998, LB 104, lumi 14.70
Event Veto ['MiniNoiseBurst'], Mon Oct  2 00:07:25 2017 UTC-Mon Oct  2 00:07:25 2017 UTC (0.001 )  Time stamp start 1506902845622181815 end 1506902845621180765  Run 336998, LB 104, lumi 14.72
