Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 329869 to 329869
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 329869 to run 329869  lasting from Sun Jul 16 06:50:33 2017 UTC to Sun Jul 16 18:19:06 2017 UTC
Event Veto ['MiniNoiseBurst'], Sun Jul 16 12:00:28 2017 UTC-Sun Jul 16 12:00:28 2017 UTC (0.001 )  Time stamp start 1500206428247383130 end 1500206428246383130  Run 329869, LB 318, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Jul 16 12:06:52 2017 UTC-Sun Jul 16 12:06:52 2017 UTC (0.001 )  Time stamp start 1500206812181387715 end 1500206812180387715  Run 329869, LB 326, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Jul 16 12:10:53 2017 UTC-Sun Jul 16 12:10:53 2017 UTC (0.001 )  Time stamp start 1500207053073511140 end 1500207053072511140  Run 329869, LB 330, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Jul 16 12:13:06 2017 UTC-Sun Jul 16 12:13:06 2017 UTC (0.001 )  Time stamp start 1500207186013411330 end 1500207186012411330  Run 329869, LB 332, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Jul 16 12:14:23 2017 UTC-Sun Jul 16 12:14:23 2017 UTC (0.001 )  Time stamp start 1500207263178396280 end 1500207263177396280  Run 329869, LB 333, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Jul 16 12:17:07 2017 UTC-Sun Jul 16 12:17:07 2017 UTC (0.001 )  Time stamp start 1500207427969408570 end 1500207427968408570  Run 329869, LB 337, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Jul 16 12:18:06 2017 UTC-Sun Jul 16 12:18:06 2017 UTC (0.001 )  Time stamp start 1500207486433489765 end 1500207486432489765  Run 329869, LB 338, lumi 0.00
Event Veto ['NoiseBurst'], Sun Jul 16 12:19:10 2017 UTC-Sun Jul 16 12:19:10 2017 UTC (0.000 )  Time stamp start 1500207550370333190 end 1500207550370332440  Run 329869, LB 339, lumi 0.01
Event Veto ['MiniNoiseBurst'], Sun Jul 16 12:19:10 2017 UTC-Sun Jul 16 12:19:10 2017 UTC (0.001 )  Time stamp start 1500207550371333460 end 1500207550370333190  Run 329869, LB 339, lumi 7.05
Event Veto ['MiniNoiseBurst'], Sun Jul 16 12:19:46 2017 UTC-Sun Jul 16 12:19:46 2017 UTC (0.001 )  Time stamp start 1500207586157989940 end 1500207586156989940  Run 329869, LB 339, lumi 7.05
Event Veto ['MiniNoiseBurst'], Sun Jul 16 12:19:47 2017 UTC-Sun Jul 16 12:19:47 2017 UTC (0.001 )  Time stamp start 1500207587413247945 end 1500207587412247945  Run 329869, LB 339, lumi 7.05
Event Veto ['NoiseBurst'], Sun Jul 16 12:19:48 2017 UTC-Sun Jul 16 12:19:48 2017 UTC (0.001 )  Time stamp start 1500207588780774715 end 1500207588779774090  Run 329869, LB 339, lumi 7.05
