Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 338897 to 338897
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 338897 to run 338897  lasting from Sat Oct 21 23:29:34 2017 UTC to Sun Oct 22 11:06:38 2017 UTC
Event Veto ['NoiseBurst'], Sun Oct 22 00:04:51 2017 UTC-Sun Oct 22 00:04:51 2017 UTC (0.001 )  Time stamp start 1508630691130336055 end 1508630691129335805  Run 338897, LB 42, lumi 15.76
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:05:14 2017 UTC-Sun Oct 22 00:05:14 2017 UTC (0.001 )  Time stamp start 1508630714742880535 end 1508630714741581725  Run 338897, LB 42, lumi 20.46
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:05:33 2017 UTC-Sun Oct 22 00:05:33 2017 UTC (0.001 )  Time stamp start 1508630733468977605 end 1508630733467977605  Run 338897, LB 42, lumi 15.75
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:05:40 2017 UTC-Sun Oct 22 00:05:40 2017 UTC (0.001 )  Time stamp start 1508630740905650815 end 1508630740904650815  Run 338897, LB 43, lumi 19.45
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:05:41 2017 UTC-Sun Oct 22 00:05:41 2017 UTC (0.001 )  Time stamp start 1508630741691054655 end 1508630741689600700  Run 338897, LB 43, lumi 28.29
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:05:42 2017 UTC-Sun Oct 22 00:05:42 2017 UTC (0.002 )  Time stamp start 1508630742788369940 end 1508630742786641375  Run 338897, LB 43, lumi 33.63
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:05:43 2017 UTC-Sun Oct 22 00:05:43 2017 UTC (0.001 )  Time stamp start 1508630743192870215 end 1508630743191870215  Run 338897, LB 43, lumi 19.45
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:06:20 2017 UTC-Sun Oct 22 00:06:20 2017 UTC (0.001 )  Time stamp start 1508630780912110530 end 1508630780911110530  Run 338897, LB 46, lumi 21.20
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:06:21 2017 UTC-Sun Oct 22 00:06:21 2017 UTC (0.001 )  Time stamp start 1508630781372191295 end 1508630781371191295  Run 338897, LB 46, lumi 21.20
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:06:32 2017 UTC-Sun Oct 22 00:06:32 2017 UTC (0.001 )  Time stamp start 1508630792201588455 end 1508630792200588455  Run 338897, LB 47, lumi 20.53
