Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 309440 to 309440
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 309440 to run 309440  lasting from Tue Sep 27 08:38:32 2016 UTC to Wed Sep 28 04:51:15 2016 UTC
Event Veto ['MiniNoiseBurst'], Tue Sep 27 09:41:21 2016 UTC-Tue Sep 27 09:41:21 2016 UTC (0.010 )  Time stamp start 1474969281837060250 end 1474969281827060250  Run 309440, LB 69, lumi 83.62
Event Veto ['MiniNoiseBurst'], Tue Sep 27 09:41:21 2016 UTC-Tue Sep 27 09:41:21 2016 UTC (0.000 )  Time stamp start 1474969281837060550 end 1474969281837060250  Run 309440, LB 69, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Sep 27 09:41:26 2016 UTC-Tue Sep 27 09:41:26 2016 UTC (0.010 )  Time stamp start 1474969286437797810 end 1474969286427797635  Run 309440, LB 69, lumi 83.63
Event Veto ['MiniNoiseBurst'], Tue Sep 27 09:41:30 2016 UTC-Tue Sep 27 09:41:30 2016 UTC (0.010 )  Time stamp start 1474969290943677925 end 1474969290933677925  Run 309440, LB 69, lumi 83.62
Event Veto ['MiniNoiseBurst'], Tue Sep 27 09:41:40 2016 UTC-Tue Sep 27 09:41:40 2016 UTC (0.010 )  Time stamp start 1474969300039324310 end 1474969300029324310  Run 309440, LB 69, lumi 83.62
Event Veto ['MiniNoiseBurst'], Tue Sep 27 09:41:48 2016 UTC-Tue Sep 27 09:41:48 2016 UTC (0.010 )  Time stamp start 1474969308645634510 end 1474969308635634510  Run 309440, LB 70, lumi 99.13
Event Veto ['MiniNoiseBurst'], Tue Sep 27 09:41:56 2016 UTC-Tue Sep 27 09:41:56 2016 UTC (0.010 )  Time stamp start 1474969316945625470 end 1474969316935625470  Run 309440, LB 70, lumi 99.13
Event Veto ['MiniNoiseBurst'], Tue Sep 27 09:42:00 2016 UTC-Tue Sep 27 09:42:00 2016 UTC (0.015 )  Time stamp start 1474969320922146440 end 1474969320907498440  Run 309440, LB 70, lumi 145.21
Event Veto ['NoiseBurst'], Tue Sep 27 09:42:01 2016 UTC-Tue Sep 27 09:42:01 2016 UTC (0.010 )  Time stamp start 1474969321389763030 end 1474969321379760810  Run 309440, LB 70, lumi 99.15
Event Veto ['NoiseBurst'], Tue Sep 27 09:42:01 2016 UTC-Tue Sep 27 09:42:01 2016 UTC (0.000 )  Time stamp start 1474969321389778350 end 1474969321389763030  Run 309440, LB 70, lumi 0.15
Event Veto ['MiniNoiseBurst'], Tue Sep 27 09:42:04 2016 UTC-Tue Sep 27 09:42:04 2016 UTC (0.010 )  Time stamp start 1474969324827060855 end 1474969324817060855  Run 309440, LB 70, lumi 99.13
Event Veto ['MiniNoiseBurst'], Tue Sep 27 09:42:08 2016 UTC-Tue Sep 27 09:42:08 2016 UTC (0.000 )  Time stamp start 1474969328603565765 end 1474969328603564620  Run 309440, LB 70, lumi 0.01
Event Veto ['MiniNoiseBurst'], Tue Sep 27 09:42:08 2016 UTC-Tue Sep 27 09:42:08 2016 UTC (0.010 )  Time stamp start 1474969328613565765 end 1474969328603565765  Run 309440, LB 70, lumi 99.13
Event Veto ['MiniNoiseBurst'], Tue Sep 27 09:42:12 2016 UTC-Tue Sep 27 09:42:12 2016 UTC (0.000 )  Time stamp start 1474969332456490275 end 1474969332456489175  Run 309440, LB 70, lumi 0.01
Event Veto ['MiniNoiseBurst'], Tue Sep 27 09:42:12 2016 UTC-Tue Sep 27 09:42:12 2016 UTC (0.010 )  Time stamp start 1474969332466490275 end 1474969332456490275  Run 309440, LB 70, lumi 99.13
Event Veto ['MiniNoiseBurst'], Tue Sep 27 09:42:16 2016 UTC-Tue Sep 27 09:42:16 2016 UTC (0.010 )  Time stamp start 1474969336234901360 end 1474969336224901235  Run 309440, LB 70, lumi 99.13
Event Veto ['MiniNoiseBurst'], Tue Sep 27 09:42:23 2016 UTC-Tue Sep 27 09:42:23 2016 UTC (0.010 )  Time stamp start 1474969343524264860 end 1474969343514264860  Run 309440, LB 70, lumi 99.13
Event Veto ['MiniNoiseBurst'], Tue Sep 27 09:42:27 2016 UTC-Tue Sep 27 09:42:27 2016 UTC (0.010 )  Time stamp start 1474969347160687205 end 1474969347150687055  Run 309440, LB 70, lumi 99.13
Event Veto ['MiniNoiseBurst'], Tue Sep 27 09:42:30 2016 UTC-Tue Sep 27 09:42:30 2016 UTC (0.003 )  Time stamp start 1474969350853940655 end 1474969350851174395  Run 309440, LB 70, lumi 27.42
