Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337156 to 337156
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337156 to run 337156  lasting from Tue Oct  3 23:54:09 2017 UTC to Wed Oct  4 05:21:39 2017 UTC
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:10:48 2017 UTC-Wed Oct  4 03:10:48 2017 UTC (0.001 )  Time stamp start 1507086648062578400 end 1507086648061578400  Run 337156, LB 206, lumi 17.33
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:11:20 2017 UTC-Wed Oct  4 03:11:20 2017 UTC (0.001 )  Time stamp start 1507086680974222540 end 1507086680973222540  Run 337156, LB 206, lumi 17.33
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:11:23 2017 UTC-Wed Oct  4 03:11:23 2017 UTC (0.001 )  Time stamp start 1507086683536043715 end 1507086683535043715  Run 337156, LB 206, lumi 17.33
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:11:23 2017 UTC-Wed Oct  4 03:11:23 2017 UTC (0.001 )  Time stamp start 1507086683539505655 end 1507086683538505655  Run 337156, LB 206, lumi 17.33
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:11:33 2017 UTC-Wed Oct  4 03:11:33 2017 UTC (0.001 )  Time stamp start 1507086693471707725 end 1507086693470707725  Run 337156, LB 206, lumi 17.33
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:11:40 2017 UTC-Wed Oct  4 03:11:40 2017 UTC (0.001 )  Time stamp start 1507086700074777115 end 1507086700073776165  Run 337156, LB 207, lumi 17.38
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:11:42 2017 UTC-Wed Oct  4 03:11:42 2017 UTC (0.001 )  Time stamp start 1507086702051602905 end 1507086702050601960  Run 337156, LB 207, lumi 17.38
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:11:43 2017 UTC-Wed Oct  4 03:11:43 2017 UTC (0.001 )  Time stamp start 1507086703753645505 end 1507086703752645135  Run 337156, LB 207, lumi 17.37
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:11:45 2017 UTC-Wed Oct  4 03:11:45 2017 UTC (0.001 )  Time stamp start 1507086705655479055 end 1507086705654478710  Run 337156, LB 207, lumi 17.37
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:11:47 2017 UTC-Wed Oct  4 03:11:47 2017 UTC (0.001 )  Time stamp start 1507086707463696810 end 1507086707462539270  Run 337156, LB 207, lumi 20.10
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 03:11:49 2017 UTC-Wed Oct  4 03:11:49 2017 UTC (0.001 )  Time stamp start 1507086709492721620 end 1507086709491721620  Run 337156, LB 207, lumi 17.37
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:11:51 2017 UTC-Wed Oct  4 03:11:51 2017 UTC (0.001 )  Time stamp start 1507086711357442840 end 1507086711356441915  Run 337156, LB 207, lumi 17.38
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 03:11:53 2017 UTC-Wed Oct  4 03:11:53 2017 UTC (0.001 )  Time stamp start 1507086713344781125 end 1507086713343781125  Run 337156, LB 207, lumi 17.37
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 03:11:55 2017 UTC-Wed Oct  4 03:11:55 2017 UTC (0.001 )  Time stamp start 1507086715270417135 end 1507086715269417135  Run 337156, LB 207, lumi 17.37
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:11:57 2017 UTC-Wed Oct  4 03:11:57 2017 UTC (0.001 )  Time stamp start 1507086717451827110 end 1507086717450826810  Run 337156, LB 207, lumi 17.37
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:11:59 2017 UTC-Wed Oct  4 03:11:59 2017 UTC (0.001 )  Time stamp start 1507086719215220860 end 1507086719214219785  Run 337156, LB 207, lumi 17.39
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 03:12:01 2017 UTC-Wed Oct  4 03:12:01 2017 UTC (0.001 )  Time stamp start 1507086721160175925 end 1507086721159175800  Run 337156, LB 207, lumi 17.37
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 03:12:03 2017 UTC-Wed Oct  4 03:12:03 2017 UTC (0.001 )  Time stamp start 1507086723115665065 end 1507086723114665065  Run 337156, LB 207, lumi 17.37
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 03:12:04 2017 UTC-Wed Oct  4 03:12:04 2017 UTC (0.001 )  Time stamp start 1507086724985295345 end 1507086724984295345  Run 337156, LB 207, lumi 17.37
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:12:08 2017 UTC-Wed Oct  4 03:12:08 2017 UTC (0.001 )  Time stamp start 1507086728932036550 end 1507086728931035475  Run 337156, LB 207, lumi 17.39
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 03:12:10 2017 UTC-Wed Oct  4 03:12:10 2017 UTC (0.001 )  Time stamp start 1507086730764148575 end 1507086730763148575  Run 337156, LB 207, lumi 17.37
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 03:12:12 2017 UTC-Wed Oct  4 03:12:12 2017 UTC (0.001 )  Time stamp start 1507086732715119415 end 1507086732714119415  Run 337156, LB 207, lumi 17.37
