Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 331875 to 331875
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 331875 to run 331875  lasting from Mon Aug  7 14:31:27 2017 UTC to Tue Aug  8 08:21:29 2017 UTC
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:29:33 2017 UTC-Mon Aug  7 15:29:33 2017 UTC (0.001 )  Time stamp start 1502119773048676790 end 1502119773047676490  Run 331875, LB 62, lumi 9.85
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:29:37 2017 UTC-Mon Aug  7 15:29:37 2017 UTC (0.001 )  Time stamp start 1502119777121376705 end 1502119777120376130  Run 331875, LB 62, lumi 9.86
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:29:39 2017 UTC-Mon Aug  7 15:29:39 2017 UTC (0.001 )  Time stamp start 1502119779747961020 end 1502119779746960720  Run 331875, LB 63, lumi 11.52
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Aug  7 15:29:43 2017 UTC-Mon Aug  7 15:29:43 2017 UTC (0.001 )  Time stamp start 1502119783607102115 end 1502119783606101940  Run 331875, LB 63, lumi 11.51
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Aug  7 15:29:46 2017 UTC-Mon Aug  7 15:29:46 2017 UTC (0.001 )  Time stamp start 1502119786216905660 end 1502119786215905660  Run 331875, LB 63, lumi 11.51
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:29:48 2017 UTC-Mon Aug  7 15:29:48 2017 UTC (0.001 )  Time stamp start 1502119788947773140 end 1502119788946772765  Run 331875, LB 63, lumi 11.52
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:29:51 2017 UTC-Mon Aug  7 15:29:51 2017 UTC (0.001 )  Time stamp start 1502119791496142375 end 1502119791495141000  Run 331875, LB 63, lumi 11.53
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Aug  7 15:29:54 2017 UTC-Mon Aug  7 15:29:54 2017 UTC (0.001 )  Time stamp start 1502119794158880485 end 1502119794157880485  Run 331875, LB 63, lumi 11.51
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Aug  7 15:29:56 2017 UTC-Mon Aug  7 15:29:56 2017 UTC (0.001 )  Time stamp start 1502119796595328665 end 1502119796594328665  Run 331875, LB 63, lumi 11.51
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:29:59 2017 UTC-Mon Aug  7 15:29:59 2017 UTC (0.001 )  Time stamp start 1502119799287760450 end 1502119799286760175  Run 331875, LB 63, lumi 11.52
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Aug  7 15:30:02 2017 UTC-Mon Aug  7 15:30:02 2017 UTC (0.001 )  Time stamp start 1502119802200206710 end 1502119802199206710  Run 331875, LB 63, lumi 11.51
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:30:06 2017 UTC-Mon Aug  7 15:30:06 2017 UTC (0.001 )  Time stamp start 1502119806396563740 end 1502119806395562715  Run 331875, LB 63, lumi 11.52
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:30:09 2017 UTC-Mon Aug  7 15:30:09 2017 UTC (0.001 )  Time stamp start 1502119809223000560 end 1502119809222000310  Run 331875, LB 63, lumi 11.52
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:30:11 2017 UTC-Mon Aug  7 15:30:11 2017 UTC (0.001 )  Time stamp start 1502119811578206930 end 1502119811577206435  Run 331875, LB 63, lumi 11.52
