Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 305380 to 305380
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 305380 to run 305380  lasting from Mon Aug  1 22:23:36 2016 UTC to Tue Aug  2 10:42:25 2016 UTC
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:23:45 2016 UTC-Mon Aug  1 23:23:45 2016 UTC (0.001 )  Time stamp start 1470093825035556580 end 1470093825034556580  Run 305380, LB 66, lumi 10.72
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:23:55 2016 UTC-Mon Aug  1 23:23:55 2016 UTC (0.001 )  Time stamp start 1470093835031734230 end 1470093835030732755  Run 305380, LB 66, lumi 10.73
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:24:08 2016 UTC-Mon Aug  1 23:24:08 2016 UTC (0.001 )  Time stamp start 1470093848605581355 end 1470093848604580180  Run 305380, LB 67, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:24:13 2016 UTC-Mon Aug  1 23:24:13 2016 UTC (0.001 )  Time stamp start 1470093853168816540 end 1470093853167816540  Run 305380, LB 67, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:24:28 2016 UTC-Mon Aug  1 23:24:28 2016 UTC (0.001 )  Time stamp start 1470093868066913310 end 1470093868065912860  Run 305380, LB 67, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:25:25 2016 UTC-Mon Aug  1 23:25:25 2016 UTC (0.001 )  Time stamp start 1470093925809955360 end 1470093925808954190  Run 305380, LB 69, lumi 11.48
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:25:39 2016 UTC-Mon Aug  1 23:25:39 2016 UTC (0.001 )  Time stamp start 1470093939362976230 end 1470093939361976105  Run 305380, LB 69, lumi 11.47
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:26:04 2016 UTC-Mon Aug  1 23:26:04 2016 UTC (0.001 )  Time stamp start 1470093964687755695 end 1470093964686755695  Run 305380, LB 70, lumi 11.55
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:27:43 2016 UTC-Mon Aug  1 23:27:43 2016 UTC (0.001 )  Time stamp start 1470094063003882405 end 1470094063002882405  Run 305380, LB 71, lumi 11.54
Event Veto ['NoiseBurst'], Mon Aug  1 23:28:06 2016 UTC-Mon Aug  1 23:28:06 2016 UTC (0.010 )  Time stamp start 1470094086597657845 end 1470094086587368565  Run 305380, LB 72, lumi 118.51
