Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 339535 to 339535
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 339535 to run 339535  lasting from Mon Oct 30 18:22:30 2017 UTC to Tue Oct 31 01:03:09 2017 UTC
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:20:08 2017 UTC-Mon Oct 30 20:20:08 2017 UTC (0.001 )  Time stamp start 1509394808589866435 end 1509394808588866435  Run 339535, LB 124, lumi 18.21
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:20:24 2017 UTC-Mon Oct 30 20:20:24 2017 UTC (0.001 )  Time stamp start 1509394824050728135 end 1509394824049728135  Run 339535, LB 125, lumi 14.25
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:20:32 2017 UTC-Mon Oct 30 20:20:32 2017 UTC (0.001 )  Time stamp start 1509394832117630790 end 1509394832116630790  Run 339535, LB 125, lumi 14.25
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:21:16 2017 UTC-Mon Oct 30 20:21:16 2017 UTC (0.001 )  Time stamp start 1509394876662753775 end 1509394876661753775  Run 339535, LB 125, lumi 14.25
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:21:26 2017 UTC-Mon Oct 30 20:21:26 2017 UTC (0.001 )  Time stamp start 1509394886753063690 end 1509394886752063690  Run 339535, LB 126, lumi 14.00
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:22:17 2017 UTC-Mon Oct 30 20:22:17 2017 UTC (0.001 )  Time stamp start 1509394937246378030 end 1509394937245378030  Run 339535, LB 126, lumi 14.00
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:23:41 2017 UTC-Mon Oct 30 20:23:41 2017 UTC (0.001 )  Time stamp start 1509395021429930895 end 1509395021428930895  Run 339535, LB 128, lumi 14.77
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:25:49 2017 UTC-Mon Oct 30 20:25:49 2017 UTC (0.001 )  Time stamp start 1509395149743902670 end 1509395149742902670  Run 339535, LB 131, lumi 14.99
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:25:52 2017 UTC-Mon Oct 30 20:25:52 2017 UTC (0.001 )  Time stamp start 1509395152728346450 end 1509395152727346450  Run 339535, LB 131, lumi 14.99
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:26:12 2017 UTC-Mon Oct 30 20:26:12 2017 UTC (0.001 )  Time stamp start 1509395172686913505 end 1509395172685913505  Run 339535, LB 131, lumi 14.99
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:26:17 2017 UTC-Mon Oct 30 20:26:17 2017 UTC (0.001 )  Time stamp start 1509395177511231445 end 1509395177510231445  Run 339535, LB 131, lumi 14.99
Event Veto ['NoiseBurst'], Mon Oct 30 20:26:23 2017 UTC-Mon Oct 30 20:26:23 2017 UTC (0.001 )  Time stamp start 1509395183699108790 end 1509395183697657555  Run 339535, LB 131, lumi 21.75
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:26:48 2017 UTC-Mon Oct 30 20:26:48 2017 UTC (0.001 )  Time stamp start 1509395208234428555 end 1509395208233428555  Run 339535, LB 132, lumi 15.06
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:27:47 2017 UTC-Mon Oct 30 20:27:47 2017 UTC (0.001 )  Time stamp start 1509395267744293880 end 1509395267743293880  Run 339535, LB 133, lumi 15.14
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:28:01 2017 UTC-Mon Oct 30 20:28:01 2017 UTC (0.001 )  Time stamp start 1509395281971039000 end 1509395281970039000  Run 339535, LB 133, lumi 15.14
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:29:10 2017 UTC-Mon Oct 30 20:29:10 2017 UTC (0.001 )  Time stamp start 1509395350632146520 end 1509395350631146520  Run 339535, LB 134, lumi 15.29
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:29:18 2017 UTC-Mon Oct 30 20:29:18 2017 UTC (0.001 )  Time stamp start 1509395358210062880 end 1509395358209062880  Run 339535, LB 134, lumi 15.29
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:30:18 2017 UTC-Mon Oct 30 20:30:18 2017 UTC (0.001 )  Time stamp start 1509395418281932020 end 1509395418280932020  Run 339535, LB 135, lumi 15.36
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:31:27 2017 UTC-Mon Oct 30 20:31:27 2017 UTC (0.001 )  Time stamp start 1509395487721370750 end 1509395487720370750  Run 339535, LB 137, lumi 15.41
