Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349309 to 349309
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349309 to run 349309  lasting from Tue May  1 08:22:11 2018 UTC to Tue May  1 20:49:27 2018 UTC
Event Veto ['MiniNoiseBurst'], Tue May  1 10:10:30 2018 UTC-Tue May  1 10:10:30 2018 UTC (0.001 )  Time stamp start 1525169430974389380 end 1525169430973389380  Run 349309, LB 115, lumi 16.45
Event Veto ['MiniNoiseBurst'], Tue May  1 10:10:32 2018 UTC-Tue May  1 10:10:32 2018 UTC (0.001 )  Time stamp start 1525169432415188450 end 1525169432414188450  Run 349309, LB 115, lumi 16.45
Event Veto ['MiniNoiseBurst'], Tue May  1 10:11:06 2018 UTC-Tue May  1 10:11:06 2018 UTC (0.001 )  Time stamp start 1525169466394242325 end 1525169466393242325  Run 349309, LB 116, lumi 16.40
Event Veto ['MiniNoiseBurst'], Tue May  1 10:11:25 2018 UTC-Tue May  1 10:11:25 2018 UTC (0.001 )  Time stamp start 1525169485263881790 end 1525169485262881790  Run 349309, LB 116, lumi 16.40
Event Veto ['MiniNoiseBurst'], Tue May  1 10:11:34 2018 UTC-Tue May  1 10:11:34 2018 UTC (0.001 )  Time stamp start 1525169494202349540 end 1525169494201349540  Run 349309, LB 116, lumi 16.40
Event Veto ['MiniNoiseBurst'], Tue May  1 10:11:43 2018 UTC-Tue May  1 10:11:43 2018 UTC (0.001 )  Time stamp start 1525169503547216815 end 1525169503546216815  Run 349309, LB 117, lumi 16.36
Event Veto ['MiniNoiseBurst'], Tue May  1 10:11:46 2018 UTC-Tue May  1 10:11:46 2018 UTC (0.001 )  Time stamp start 1525169506498625400 end 1525169506497625400  Run 349309, LB 117, lumi 16.36
Event Veto ['MiniNoiseBurst'], Tue May  1 10:12:58 2018 UTC-Tue May  1 10:12:58 2018 UTC (0.001 )  Time stamp start 1525169578549501000 end 1525169578548501000  Run 349309, LB 119, lumi 16.30
Event Veto ['MiniNoiseBurst'], Tue May  1 10:13:59 2018 UTC-Tue May  1 10:13:59 2018 UTC (0.001 )  Time stamp start 1525169639260092355 end 1525169639258703545  Run 349309, LB 120, lumi 22.53
Event Veto ['MiniNoiseBurst'], Tue May  1 10:14:22 2018 UTC-Tue May  1 10:14:22 2018 UTC (0.001 )  Time stamp start 1525169662389221275 end 1525169662388221275  Run 349309, LB 121, lumi 16.21
Event Veto ['MiniNoiseBurst'], Tue May  1 10:14:27 2018 UTC-Tue May  1 10:14:27 2018 UTC (0.001 )  Time stamp start 1525169667634673630 end 1525169667633673630  Run 349309, LB 121, lumi 16.21
Event Veto ['MiniNoiseBurst'], Tue May  1 10:14:49 2018 UTC-Tue May  1 10:14:49 2018 UTC (0.001 )  Time stamp start 1525169689828941560 end 1525169689827941560  Run 349309, LB 122, lumi 16.18
Event Veto ['NoiseBurst'], Tue May  1 10:15:27 2018 UTC-Tue May  1 10:15:27 2018 UTC (0.001 )  Time stamp start 1525169727845744885 end 1525169727844744385  Run 349309, LB 122, lumi 16.19
Event Veto ['MiniNoiseBurst'], Tue May  1 10:15:33 2018 UTC-Tue May  1 10:15:33 2018 UTC (0.001 )  Time stamp start 1525169733519496800 end 1525169733518496800  Run 349309, LB 122, lumi 16.18
