Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 308084 to 308084
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 308084 to run 308084  lasting from Fri Sep  9 08:02:10 2016 UTC to Fri Sep  9 22:28:58 2016 UTC
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:33:42 2016 UTC-Fri Sep  9 08:33:42 2016 UTC (0.016 )  Time stamp start 1473410022221328820 end 1473410022205397230  Run 308084, LB 38, lumi 164.49
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:33:51 2016 UTC-Fri Sep  9 08:33:51 2016 UTC (0.013 )  Time stamp start 1473410031412850610 end 1473410031399886115  Run 308084, LB 38, lumi 133.86
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:33:56 2016 UTC-Fri Sep  9 08:33:56 2016 UTC (0.010 )  Time stamp start 1473410036037223520 end 1473410036027223395  Run 308084, LB 38, lumi 103.25
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:34:05 2016 UTC-Fri Sep  9 08:34:05 2016 UTC (0.010 )  Time stamp start 1473410045259312435 end 1473410045249312435  Run 308084, LB 38, lumi 103.25
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:34:09 2016 UTC-Fri Sep  9 08:34:09 2016 UTC (0.010 )  Time stamp start 1473410049959988800 end 1473410049949988800  Run 308084, LB 38, lumi 103.25
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:34:14 2016 UTC-Fri Sep  9 08:34:14 2016 UTC (0.010 )  Time stamp start 1473410054685159850 end 1473410054675159850  Run 308084, LB 38, lumi 103.25
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:34:23 2016 UTC-Fri Sep  9 08:34:23 2016 UTC (0.010 )  Time stamp start 1473410063938128930 end 1473410063928127830  Run 308084, LB 38, lumi 103.26
Event Veto ['NoiseBurst'], Fri Sep  9 08:34:25 2016 UTC-Fri Sep  9 08:34:25 2016 UTC (0.010 )  Time stamp start 1473410065772955670 end 1473410065762937955  Run 308084, LB 38, lumi 103.43
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:34:28 2016 UTC-Fri Sep  9 08:34:28 2016 UTC (0.022 )  Time stamp start 1473410068515952665 end 1473410068493795365  Run 308084, LB 38, lumi 228.77
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:34:33 2016 UTC-Fri Sep  9 08:34:33 2016 UTC (0.010 )  Time stamp start 1473410073056210240 end 1473410073046210240  Run 308084, LB 38, lumi 103.25
Event Veto ['NoiseBurst'], Fri Sep  9 08:34:33 2016 UTC-Fri Sep  9 08:34:33 2016 UTC (0.014 )  Time stamp start 1473410073208773460 end 1473410073194722285  Run 308084, LB 38, lumi 145.08
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:34:37 2016 UTC-Fri Sep  9 08:34:37 2016 UTC (0.010 )  Time stamp start 1473410077547672030 end 1473410077537672030  Run 308084, LB 39, lumi 106.62
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:34:39 2016 UTC-Fri Sep  9 08:34:39 2016 UTC (0.010 )  Time stamp start 1473410079792498135 end 1473410079782498135  Run 308084, LB 39, lumi 106.62
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:34:40 2016 UTC-Fri Sep  9 08:34:40 2016 UTC (0.013 )  Time stamp start 1473410080247674360 end 1473410080235073345  Run 308084, LB 39, lumi 134.35
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:34:42 2016 UTC-Fri Sep  9 08:34:42 2016 UTC (0.013 )  Time stamp start 1473410082035825275 end 1473410082023266150  Run 308084, LB 39, lumi 133.90
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:34:42 2016 UTC-Fri Sep  9 08:34:42 2016 UTC (0.010 )  Time stamp start 1473410082423686745 end 1473410082413686745  Run 308084, LB 39, lumi 106.62
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:34:46 2016 UTC-Fri Sep  9 08:34:46 2016 UTC (0.010 )  Time stamp start 1473410086397491840 end 1473410086387491840  Run 308084, LB 39, lumi 106.62
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:34:50 2016 UTC-Fri Sep  9 08:34:50 2016 UTC (0.010 )  Time stamp start 1473410090820435530 end 1473410090810434430  Run 308084, LB 39, lumi 106.63
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:34:55 2016 UTC-Fri Sep  9 08:34:55 2016 UTC (0.010 )  Time stamp start 1473410095252956885 end 1473410095242956885  Run 308084, LB 39, lumi 106.62
Event Veto ['NoiseBurst'], Fri Sep  9 08:34:58 2016 UTC-Fri Sep  9 08:34:58 2016 UTC (0.010 )  Time stamp start 1473410098998233210 end 1473410098988199230  Run 308084, LB 39, lumi 106.98
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:35:04 2016 UTC-Fri Sep  9 08:35:04 2016 UTC (0.010 )  Time stamp start 1473410104187519815 end 1473410104177519690  Run 308084, LB 39, lumi 106.62
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:35:08 2016 UTC-Fri Sep  9 08:35:08 2016 UTC (0.010 )  Time stamp start 1473410108658940815 end 1473410108648940570  Run 308084, LB 39, lumi 106.62
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:35:17 2016 UTC-Fri Sep  9 08:35:17 2016 UTC (0.010 )  Time stamp start 1473410117370323345 end 1473410117360323345  Run 308084, LB 39, lumi 106.62
Event Veto ['NoiseBurst'], Fri Sep  9 08:35:18 2016 UTC-Fri Sep  9 08:35:19 2016 UTC (0.010 )  Time stamp start 1473410119003995100 end 1473410118993882370  Run 308084, LB 39, lumi 107.82
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:35:21 2016 UTC-Fri Sep  9 08:35:21 2016 UTC (0.010 )  Time stamp start 1473410121741774520 end 1473410121731773295  Run 308084, LB 39, lumi 106.63
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:35:26 2016 UTC-Fri Sep  9 08:35:26 2016 UTC (0.010 )  Time stamp start 1473410126128298510 end 1473410126118298510  Run 308084, LB 39, lumi 106.62
Event Veto ['NoiseBurst'], Fri Sep  9 08:35:29 2016 UTC-Fri Sep  9 08:35:29 2016 UTC (0.010 )  Time stamp start 1473410129741824550 end 1473410129731808710  Run 308084, LB 39, lumi 106.79
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:35:30 2016 UTC-Fri Sep  9 08:35:30 2016 UTC (0.010 )  Time stamp start 1473410130494602200 end 1473410130484600650  Run 308084, LB 39, lumi 106.63
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:35:34 2016 UTC-Fri Sep  9 08:35:34 2016 UTC (0.020 )  Time stamp start 1473410134937758930 end 1473410134917831180  Run 308084, LB 39, lumi 212.46
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:35:43 2016 UTC-Fri Sep  9 08:35:43 2016 UTC (0.010 )  Time stamp start 1473410143782638145 end 1473410143772638145  Run 308084, LB 40, lumi 107.25
Event Veto ['NoiseBurst'], Fri Sep  9 08:35:44 2016 UTC-Fri Sep  9 08:35:44 2016 UTC (0.010 )  Time stamp start 1473410144220994330 end 1473410144210922545  Run 308084, LB 40, lumi 108.02
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:35:52 2016 UTC-Fri Sep  9 08:35:52 2016 UTC (0.010 )  Time stamp start 1473410152638136125 end 1473410152628134950  Run 308084, LB 40, lumi 107.26
Event Veto ['NoiseBurst'], Fri Sep  9 08:35:54 2016 UTC-Fri Sep  9 08:35:54 2016 UTC (0.010 )  Time stamp start 1473410154299792950 end 1473410154289792280  Run 308084, LB 40, lumi 107.26
Event Veto ['NoiseBurst'], Fri Sep  9 08:35:55 2016 UTC-Fri Sep  9 08:35:55 2016 UTC (0.010 )  Time stamp start 1473410155564552120 end 1473410155554551420  Run 308084, LB 40, lumi 107.26
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:35:56 2016 UTC-Fri Sep  9 08:35:56 2016 UTC (0.010 )  Time stamp start 1473410156965893360 end 1473410156955893360  Run 308084, LB 40, lumi 107.25
Event Veto ['NoiseBurst'], Fri Sep  9 08:35:57 2016 UTC-Fri Sep  9 08:35:57 2016 UTC (0.010 )  Time stamp start 1473410157429384570 end 1473410157419370400  Run 308084, LB 40, lumi 107.40
Event Veto ['NoiseBurst'], Fri Sep  9 08:35:58 2016 UTC-Fri Sep  9 08:35:58 2016 UTC (0.010 )  Time stamp start 1473410158209517460 end 1473410158199514215  Run 308084, LB 40, lumi 107.28
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:36:01 2016 UTC-Fri Sep  9 08:36:01 2016 UTC (0.010 )  Time stamp start 1473410161418193540 end 1473410161408193540  Run 308084, LB 40, lumi 107.25
Event Veto ['NoiseBurst'], Fri Sep  9 08:36:02 2016 UTC-Fri Sep  9 08:36:02 2016 UTC (0.010 )  Time stamp start 1473410162712908270 end 1473410162702807595  Run 308084, LB 40, lumi 108.33
Event Veto ['NoiseBurst'], Fri Sep  9 08:36:04 2016 UTC-Fri Sep  9 08:36:04 2016 UTC (0.010 )  Time stamp start 1473410164483069480 end 1473410164473068530  Run 308084, LB 40, lumi 107.26
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:36:05 2016 UTC-Fri Sep  9 08:36:05 2016 UTC (0.010 )  Time stamp start 1473410165821795465 end 1473410165811795095  Run 308084, LB 40, lumi 107.25
Event Veto ['NoiseBurst'], Fri Sep  9 08:36:10 2016 UTC-Fri Sep  9 08:36:10 2016 UTC (0.010 )  Time stamp start 1473410170134258850 end 1473410170124240435  Run 308084, LB 40, lumi 107.45
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:36:10 2016 UTC-Fri Sep  9 08:36:10 2016 UTC (0.010 )  Time stamp start 1473410170164450965 end 1473410170154450965  Run 308084, LB 40, lumi 107.25
Event Veto ['NoiseBurst'], Fri Sep  9 08:36:11 2016 UTC-Fri Sep  9 08:36:11 2016 UTC (0.010 )  Time stamp start 1473410171723572205 end 1473410171713571405  Run 308084, LB 40, lumi 107.26
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:36:14 2016 UTC-Fri Sep  9 08:36:14 2016 UTC (0.010 )  Time stamp start 1473410174597755825 end 1473410174587755825  Run 308084, LB 40, lumi 107.25
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:36:14 2016 UTC-Fri Sep  9 08:36:14 2016 UTC (0.015 )  Time stamp start 1473410174764374720 end 1473410174749094570  Run 308084, LB 40, lumi 163.88
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:36:18 2016 UTC-Fri Sep  9 08:36:18 2016 UTC (0.010 )  Time stamp start 1473410178887328300 end 1473410178877328300  Run 308084, LB 40, lumi 107.25
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:36:27 2016 UTC-Fri Sep  9 08:36:27 2016 UTC (0.010 )  Time stamp start 1473410187570188990 end 1473410187560187890  Run 308084, LB 40, lumi 107.26
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:36:36 2016 UTC-Fri Sep  9 08:36:36 2016 UTC (0.017 )  Time stamp start 1473410196333566740 end 1473410196316842715  Run 308084, LB 41, lumi 176.96
Event Veto ['MiniNoiseBurst'], Fri Sep  9 08:36:40 2016 UTC-Fri Sep  9 08:36:40 2016 UTC (0.010 )  Time stamp start 1473410200618436750 end 1473410200608436750  Run 308084, LB 41, lumi 105.81
