Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349637 to 349637
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349637 to run 349637  lasting from Sun May  6 09:48:54 2018 UTC to Mon May  7 00:18:06 2018 UTC
Event Veto ['MiniNoiseBurst'], Sun May  6 11:04:39 2018 UTC-Sun May  6 11:04:39 2018 UTC (0.001 )  Time stamp start 1525604679517200815 end 1525604679516200815  Run 349637, LB 81, lumi 17.61
Event Veto ['MiniNoiseBurst'], Sun May  6 11:04:41 2018 UTC-Sun May  6 11:04:41 2018 UTC (0.001 )  Time stamp start 1525604681537539435 end 1525604681536539435  Run 349637, LB 81, lumi 17.61
Event Veto ['MiniNoiseBurst'], Sun May  6 11:04:56 2018 UTC-Sun May  6 11:04:56 2018 UTC (0.001 )  Time stamp start 1525604696405039765 end 1525604696404039765  Run 349637, LB 81, lumi 17.61
Event Veto ['MiniNoiseBurst'], Sun May  6 11:04:57 2018 UTC-Sun May  6 11:04:57 2018 UTC (0.001 )  Time stamp start 1525604697853885360 end 1525604697852885360  Run 349637, LB 81, lumi 17.61
Event Veto ['NoiseBurst'], Sun May  6 11:04:59 2018 UTC-Sun May  6 11:04:59 2018 UTC (0.001 )  Time stamp start 1525604699856584760 end 1525604699855583860  Run 349637, LB 81, lumi 17.62
Event Veto ['MiniNoiseBurst'], Sun May  6 11:04:59 2018 UTC-Sun May  6 11:04:59 2018 UTC (0.001 )  Time stamp start 1525604699903862145 end 1525604699902862145  Run 349637, LB 81, lumi 17.61
Event Veto ['MiniNoiseBurst'], Sun May  6 11:05:02 2018 UTC-Sun May  6 11:05:02 2018 UTC (0.001 )  Time stamp start 1525604702497738080 end 1525604702496738080  Run 349637, LB 81, lumi 17.61
Event Veto ['MiniNoiseBurst'], Sun May  6 11:05:06 2018 UTC-Sun May  6 11:05:06 2018 UTC (0.001 )  Time stamp start 1525604706288208070 end 1525604706287208070  Run 349637, LB 81, lumi 17.61
Event Veto ['MiniNoiseBurst'], Sun May  6 11:05:08 2018 UTC-Sun May  6 11:05:08 2018 UTC (0.001 )  Time stamp start 1525604708895332225 end 1525604708894332225  Run 349637, LB 81, lumi 17.61
Event Veto ['NoiseBurst'], Sun May  6 11:05:16 2018 UTC-Sun May  6 11:05:16 2018 UTC (0.001 )  Time stamp start 1525604716106679665 end 1525604716105678915  Run 349637, LB 81, lumi 17.62
