Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 333426 to 333426
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 333426 to run 333426  lasting from Thu Aug 17 10:02:29 2017 UTC to Thu Aug 17 13:07:44 2017 UTC
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:08:54 2017 UTC-Thu Aug 17 11:08:54 2017 UTC (0.001 )  Time stamp start 1502968134747185855 end 1502968134746185460  Run 333426, LB 71, lumi 10.19
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:09:13 2017 UTC-Thu Aug 17 11:09:13 2017 UTC (0.001 )  Time stamp start 1502968153905918110 end 1502968153904917610  Run 333426, LB 72, lumi 10.17
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:09:23 2017 UTC-Thu Aug 17 11:09:23 2017 UTC (0.001 )  Time stamp start 1502968163400504420 end 1502968163399504420  Run 333426, LB 72, lumi 10.16
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:09:24 2017 UTC-Thu Aug 17 11:09:24 2017 UTC (0.001 )  Time stamp start 1502968164380067990 end 1502968164379067990  Run 333426, LB 72, lumi 10.16
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:10:43 2017 UTC-Thu Aug 17 11:10:43 2017 UTC (0.001 )  Time stamp start 1502968243132150705 end 1502968243131150705  Run 333426, LB 74, lumi 10.17
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:10:52 2017 UTC-Thu Aug 17 11:10:52 2017 UTC (0.001 )  Time stamp start 1502968252400373250 end 1502968252399373000  Run 333426, LB 74, lumi 10.17
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:11:01 2017 UTC-Thu Aug 17 11:11:01 2017 UTC (0.001 )  Time stamp start 1502968261451121575 end 1502968261450121575  Run 333426, LB 74, lumi 10.17
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:11:10 2017 UTC-Thu Aug 17 11:11:10 2017 UTC (0.001 )  Time stamp start 1502968270588119445 end 1502968270587118670  Run 333426, LB 74, lumi 10.17
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:11:19 2017 UTC-Thu Aug 17 11:11:19 2017 UTC (0.001 )  Time stamp start 1502968279695538090 end 1502968279694537290  Run 333426, LB 75, lumi 10.15
Event Veto ['NoiseBurst'], Thu Aug 17 11:11:21 2017 UTC-Thu Aug 17 11:11:21 2017 UTC (0.002 )  Time stamp start 1502968281879107140 end 1502968281877495800  Run 333426, LB 75, lumi 16.34
