Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 359918 to 359918
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 359918 to run 359918  lasting from Tue Sep  4 19:26:40 2018 UTC to Wed Sep  5 06:33:46 2018 UTC
Event Veto ['MiniNoiseBurst'], Tue Sep  4 20:31:33 2018 UTC-Tue Sep  4 20:31:33 2018 UTC (0.001 )  Time stamp start 1536093093262500695 end 1536093093261500695  Run 359918, LB 70, lumi 19.14
Event Veto ['MiniNoiseBurst'], Tue Sep  4 20:31:43 2018 UTC-Tue Sep  4 20:31:43 2018 UTC (0.001 )  Time stamp start 1536093103230517440 end 1536093103229517440  Run 359918, LB 70, lumi 19.14
Event Veto ['MiniNoiseBurst'], Tue Sep  4 20:31:48 2018 UTC-Tue Sep  4 20:31:48 2018 UTC (0.001 )  Time stamp start 1536093108437106845 end 1536093108436106845  Run 359918, LB 70, lumi 19.14
Event Veto ['MiniNoiseBurst'], Tue Sep  4 20:31:48 2018 UTC-Tue Sep  4 20:31:48 2018 UTC (0.001 )  Time stamp start 1536093108570434290 end 1536093108569434290  Run 359918, LB 70, lumi 19.14
Event Veto ['MiniNoiseBurst'], Tue Sep  4 20:32:22 2018 UTC-Tue Sep  4 20:32:22 2018 UTC (0.001 )  Time stamp start 1536093142269439165 end 1536093142268439165  Run 359918, LB 70, lumi 19.14
Event Veto ['MiniNoiseBurst'], Tue Sep  4 20:32:32 2018 UTC-Tue Sep  4 20:32:32 2018 UTC (0.001 )  Time stamp start 1536093152370299810 end 1536093152369299810  Run 359918, LB 71, lumi 19.03
Event Veto ['MiniNoiseBurst'], Tue Sep  4 20:32:47 2018 UTC-Tue Sep  4 20:32:47 2018 UTC (0.001 )  Time stamp start 1536093167364590555 end 1536093167363590555  Run 359918, LB 71, lumi 19.03
Event Veto ['MiniNoiseBurst'], Tue Sep  4 20:32:56 2018 UTC-Tue Sep  4 20:32:56 2018 UTC (0.001 )  Time stamp start 1536093176718752380 end 1536093176717752380  Run 359918, LB 71, lumi 19.03
Event Veto ['MiniNoiseBurst'], Tue Sep  4 20:33:24 2018 UTC-Tue Sep  4 20:33:24 2018 UTC (0.001 )  Time stamp start 1536093204047869935 end 1536093204046869935  Run 359918, LB 71, lumi 19.03
Event Veto ['MiniNoiseBurst'], Tue Sep  4 20:33:48 2018 UTC-Tue Sep  4 20:33:48 2018 UTC (0.001 )  Time stamp start 1536093228682482295 end 1536093228681482295  Run 359918, LB 72, lumi 18.96
Event Veto ['MiniNoiseBurst'], Tue Sep  4 20:35:31 2018 UTC-Tue Sep  4 20:35:31 2018 UTC (0.000 )  Time stamp start 1536093331081787130 end 1536093331081787005  Run 359918, LB 74, lumi 0.00
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Sep  4 20:35:31 2018 UTC-Tue Sep  4 20:35:31 2018 UTC (0.001 )  Time stamp start 1536093331082787380 end 1536093331081787130  Run 359918, LB 74, lumi 18.86
Event Veto ['MiniNoiseBurst'], Tue Sep  4 20:35:31 2018 UTC-Tue Sep  4 20:35:31 2018 UTC (0.000 )  Time stamp start 1536093331082787875 end 1536093331082787380  Run 359918, LB 74, lumi 0.01
Event Veto ['MiniNoiseBurst'], Tue Sep  4 20:40:44 2018 UTC-Tue Sep  4 20:40:44 2018 UTC (0.001 )  Time stamp start 1536093644867981495 end 1536093644866981495  Run 359918, LB 80, lumi 18.52
Event Veto ['NoiseBurst'], Tue Sep  4 20:41:47 2018 UTC-Tue Sep  4 20:41:47 2018 UTC (0.001 )  Time stamp start 1536093707949098115 end 1536093707948097740  Run 359918, LB 81, lumi 18.48
Event Veto ['NoiseBurst'], Tue Sep  4 20:41:57 2018 UTC-Tue Sep  4 20:41:57 2018 UTC (0.001 )  Time stamp start 1536093717355423400 end 1536093717354422525  Run 359918, LB 82, lumi 18.47
Event Veto ['MiniNoiseBurst'], Tue Sep  4 20:41:58 2018 UTC-Tue Sep  4 20:41:58 2018 UTC (0.001 )  Time stamp start 1536093718530948740 end 1536093718529948740  Run 359918, LB 82, lumi 18.46
Event Veto ['NoiseBurst'], Tue Sep  4 20:42:23 2018 UTC-Tue Sep  4 20:42:23 2018 UTC (0.001 )  Time stamp start 1536093743012582440 end 1536093743011582165  Run 359918, LB 82, lumi 18.46
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Sep  4 20:43:39 2018 UTC-Tue Sep  4 20:43:39 2018 UTC (0.001 )  Time stamp start 1536093819915107995 end 1536093819914107995  Run 359918, LB 84, lumi 18.37
Event Veto ['NoiseBurst'], Tue Sep  4 20:49:52 2018 UTC-Tue Sep  4 20:49:52 2018 UTC (0.001 )  Time stamp start 1536094192052654815 end 1536094192051426865  Run 359918, LB 122, lumi 22.36
Event Veto ['MiniNoiseBurst'], Tue Sep  4 20:55:00 2018 UTC-Tue Sep  4 20:55:00 2018 UTC (0.001 )  Time stamp start 1536094500883773225 end 1536094500882773225  Run 359918, LB 128, lumi 18.25
Event Veto ['MiniNoiseBurst'], Tue Sep  4 20:56:25 2018 UTC-Tue Sep  4 20:56:25 2018 UTC (0.001 )  Time stamp start 1536094585763346145 end 1536094585762346145  Run 359918, LB 130, lumi 18.23
Event Veto ['MiniNoiseBurst'], Tue Sep  4 20:56:51 2018 UTC-Tue Sep  4 20:56:51 2018 UTC (0.001 )  Time stamp start 1536094611666082240 end 1536094611665082240  Run 359918, LB 130, lumi 18.23
Event Veto ['NoiseBurst'], Tue Sep  4 20:57:27 2018 UTC-Tue Sep  4 20:57:27 2018 UTC (0.001 )  Time stamp start 1536094647221553955 end 1536094647220553705  Run 359918, LB 131, lumi 18.41
Event Veto ['MiniNoiseBurst'], Tue Sep  4 20:58:09 2018 UTC-Tue Sep  4 20:58:09 2018 UTC (0.001 )  Time stamp start 1536094689497635885 end 1536094689496635885  Run 359918, LB 132, lumi 18.35
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Sep  4 20:58:25 2018 UTC-Tue Sep  4 20:58:25 2018 UTC (0.001 )  Time stamp start 1536094705389999015 end 1536094705388999015  Run 359918, LB 132, lumi 18.35
Event Veto ['MiniNoiseBurst'], Tue Sep  4 21:00:06 2018 UTC-Tue Sep  4 21:00:06 2018 UTC (0.001 )  Time stamp start 1536094806730911580 end 1536094806729911580  Run 359918, LB 134, lumi 18.26
Event Veto ['NoiseBurst'], Tue Sep  4 21:00:14 2018 UTC-Tue Sep  4 21:00:14 2018 UTC (0.001 )  Time stamp start 1536094814381304990 end 1536094814380304365  Run 359918, LB 135, lumi 18.23
Event Veto ['NoiseBurst'], Tue Sep  4 21:00:32 2018 UTC-Tue Sep  4 21:00:32 2018 UTC (0.001 )  Time stamp start 1536094832043181600 end 1536094832042181100  Run 359918, LB 135, lumi 18.23
Event Veto ['MiniNoiseBurst'], Tue Sep  4 21:03:54 2018 UTC-Tue Sep  4 21:03:54 2018 UTC (0.001 )  Time stamp start 1536095034934716500 end 1536095034933716500  Run 359918, LB 138, lumi 18.12
Event Veto ['NoiseBurst'], Tue Sep  4 21:06:54 2018 UTC-Tue Sep  4 21:06:54 2018 UTC (0.001 )  Time stamp start 1536095214957708500 end 1536095214956707625  Run 359918, LB 141, lumi 18.05
Event Veto ['NoiseBurst'], Tue Sep  4 21:07:28 2018 UTC-Tue Sep  4 21:07:28 2018 UTC (0.001 )  Time stamp start 1536095248235831370 end 1536095248234810035  Run 359918, LB 142, lumi 18.37
Event Veto ['MiniNoiseBurst'], Tue Sep  4 21:08:50 2018 UTC-Tue Sep  4 21:08:50 2018 UTC (0.001 )  Time stamp start 1536095330537028300 end 1536095330536028300  Run 359918, LB 143, lumi 17.91
Event Veto ['NoiseBurst'], Tue Sep  4 21:09:07 2018 UTC-Tue Sep  4 21:09:07 2018 UTC (0.001 )  Time stamp start 1536095347032299980 end 1536095347031112600  Run 359918, LB 144, lumi 21.30
Event Veto ['MiniNoiseBurst'], Tue Sep  4 21:09:47 2018 UTC-Tue Sep  4 21:09:47 2018 UTC (0.001 )  Time stamp start 1536095387172730555 end 1536095387171730555  Run 359918, LB 144, lumi 17.94
Event Veto ['MiniNoiseBurst'], Tue Sep  4 21:10:07 2018 UTC-Tue Sep  4 21:10:07 2018 UTC (0.001 )  Time stamp start 1536095407219636135 end 1536095407218636135  Run 359918, LB 145, lumi 17.90
Event Veto ['MiniNoiseBurst'], Tue Sep  4 21:10:41 2018 UTC-Tue Sep  4 21:10:41 2018 UTC (0.001 )  Time stamp start 1536095441805237185 end 1536095441804237185  Run 359918, LB 145, lumi 17.90
Event Veto ['NoiseBurst'], Tue Sep  4 21:10:51 2018 UTC-Tue Sep  4 21:10:51 2018 UTC (0.002 )  Time stamp start 1536095451196303615 end 1536095451194177615  Run 359918, LB 145, lumi 38.05
Event Veto ['NoiseBurst'], Tue Sep  4 21:15:56 2018 UTC-Tue Sep  4 21:15:56 2018 UTC (0.001 )  Time stamp start 1536095756422258785 end 1536095756421255195  Run 359918, LB 150, lumi 17.81
Event Veto ['MiniNoiseBurst'], Tue Sep  4 21:16:20 2018 UTC-Tue Sep  4 21:16:20 2018 UTC (0.001 )  Time stamp start 1536095780668367475 end 1536095780667367475  Run 359918, LB 151, lumi 17.70
Event Veto ['NoiseBurst'], Tue Sep  4 21:16:49 2018 UTC-Tue Sep  4 21:16:49 2018 UTC (0.001 )  Time stamp start 1536095809515631520 end 1536095809514630895  Run 359918, LB 151, lumi 17.71
Event Veto ['MiniNoiseBurst'], Tue Sep  4 21:18:32 2018 UTC-Tue Sep  4 21:18:32 2018 UTC (0.001 )  Time stamp start 1536095912318094865 end 1536095912317094865  Run 359918, LB 153, lumi 17.57
Event Veto ['NoiseBurst'], Tue Sep  4 21:19:05 2018 UTC-Tue Sep  4 21:19:05 2018 UTC (0.001 )  Time stamp start 1536095945546676240 end 1536095945545676240  Run 359918, LB 154, lumi 17.54
Event Veto ['MiniNoiseBurst'], Tue Sep  4 21:22:38 2018 UTC-Tue Sep  4 21:22:38 2018 UTC (0.001 )  Time stamp start 1536096158835137570 end 1536096158834137570  Run 359918, LB 157, lumi 17.50
Event Veto ['MiniNoiseBurst'], Tue Sep  4 21:22:49 2018 UTC-Tue Sep  4 21:22:49 2018 UTC (0.001 )  Time stamp start 1536096169163012560 end 1536096169162012560  Run 359918, LB 157, lumi 17.50
Event Veto ['MiniNoiseBurst'], Tue Sep  4 21:24:04 2018 UTC-Tue Sep  4 21:24:04 2018 UTC (0.001 )  Time stamp start 1536096244114508005 end 1536096244113172290  Run 359918, LB 159, lumi 23.34
Event Veto ['MiniNoiseBurst'], Tue Sep  4 21:25:27 2018 UTC-Tue Sep  4 21:25:27 2018 UTC (0.001 )  Time stamp start 1536096327872671845 end 1536096327871671720  Run 359918, LB 161, lumi 17.42
Event Veto ['MiniNoiseBurst'], Tue Sep  4 21:25:51 2018 UTC-Tue Sep  4 21:25:51 2018 UTC (0.001 )  Time stamp start 1536096351936257735 end 1536096351935257735  Run 359918, LB 161, lumi 17.42
Event Veto ['MiniNoiseBurst'], Tue Sep  4 21:26:37 2018 UTC-Tue Sep  4 21:26:37 2018 UTC (0.001 )  Time stamp start 1536096397590558560 end 1536096397589558560  Run 359918, LB 162, lumi 17.38
Event Veto ['NoiseBurst'], Tue Sep  4 21:27:08 2018 UTC-Tue Sep  4 21:27:08 2018 UTC (0.001 )  Time stamp start 1536096428081887005 end 1536096428080702245  Run 359918, LB 163, lumi 20.54
Event Veto ['NoiseBurst'], Tue Sep  4 21:29:51 2018 UTC-Tue Sep  4 21:29:51 2018 UTC (0.001 )  Time stamp start 1536096591744734730 end 1536096591743733985  Run 359918, LB 165, lumi 17.22
Event Veto ['MiniNoiseBurst'], Tue Sep  4 21:30:11 2018 UTC-Tue Sep  4 21:30:11 2018 UTC (0.001 )  Time stamp start 1536096611425778450 end 1536096611424778450  Run 359918, LB 166, lumi 17.21
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Sep  4 21:32:59 2018 UTC-Tue Sep  4 21:32:59 2018 UTC (0.001 )  Time stamp start 1536096779500340045 end 1536096779499340045  Run 359918, LB 168, lumi 17.11
Event Veto ['NoiseBurst'], Tue Sep  4 21:35:58 2018 UTC-Tue Sep  4 21:35:58 2018 UTC (0.001 )  Time stamp start 1536096958273957630 end 1536096958272781780  Run 359918, LB 171, lumi 20.15
Event Veto ['MiniNoiseBurst'], Tue Sep  4 21:38:40 2018 UTC-Tue Sep  4 21:38:40 2018 UTC (0.001 )  Time stamp start 1536097120017394565 end 1536097120016394565  Run 359918, LB 174, lumi 16.99
Event Veto ['MiniNoiseBurst'], Tue Sep  4 21:39:10 2018 UTC-Tue Sep  4 21:39:10 2018 UTC (0.001 )  Time stamp start 1536097150002725770 end 1536097150001725770  Run 359918, LB 175, lumi 16.94
Event Veto ['NoiseBurst'], Tue Sep  4 21:40:15 2018 UTC-Tue Sep  4 21:40:15 2018 UTC (0.002 )  Time stamp start 1536097215216636095 end 1536097215214887250  Run 359918, LB 176, lumi 29.61
Event Veto ['MiniNoiseBurst'], Tue Sep  4 21:40:26 2018 UTC-Tue Sep  4 21:40:26 2018 UTC (0.001 )  Time stamp start 1536097226241154255 end 1536097226240154255  Run 359918, LB 176, lumi 16.93
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Sep  4 21:42:17 2018 UTC-Tue Sep  4 21:42:17 2018 UTC (0.001 )  Time stamp start 1536097337377566685 end 1536097337376566685  Run 359918, LB 178, lumi 16.85
Event Veto ['MiniNoiseBurst'], Tue Sep  4 21:42:49 2018 UTC-Tue Sep  4 21:42:49 2018 UTC (0.001 )  Time stamp start 1536097369039769370 end 1536097369038769370  Run 359918, LB 178, lumi 16.85
Event Veto ['MiniNoiseBurst'], Tue Sep  4 21:46:51 2018 UTC-Tue Sep  4 21:46:51 2018 UTC (0.001 )  Time stamp start 1536097611354004935 end 1536097611353004935  Run 359918, LB 182, lumi 16.72
Event Veto ['MiniNoiseBurst'], Tue Sep  4 21:48:05 2018 UTC-Tue Sep  4 21:48:05 2018 UTC (0.001 )  Time stamp start 1536097685438775335 end 1536097685437775335  Run 359918, LB 184, lumi 16.67
Event Veto ['NoiseBurst'], Tue Sep  4 21:49:24 2018 UTC-Tue Sep  4 21:49:24 2018 UTC (0.001 )  Time stamp start 1536097764140127085 end 1536097764139126215  Run 359918, LB 185, lumi 16.70
Event Veto ['MiniNoiseBurst'], Tue Sep  4 21:50:29 2018 UTC-Tue Sep  4 21:50:29 2018 UTC (0.001 )  Time stamp start 1536097829024641280 end 1536097829023641280  Run 359918, LB 186, lumi 16.64
Event Veto ['MiniNoiseBurst'], Tue Sep  4 21:51:32 2018 UTC-Tue Sep  4 21:51:32 2018 UTC (0.001 )  Time stamp start 1536097892849759335 end 1536097892848759335  Run 359918, LB 187, lumi 16.60
Event Veto ['MiniNoiseBurst'], Tue Sep  4 21:55:41 2018 UTC-Tue Sep  4 21:55:41 2018 UTC (0.001 )  Time stamp start 1536098141384607750 end 1536098141383420670  Run 359918, LB 192, lumi 19.47
Event Veto ['MiniNoiseBurst'], Tue Sep  4 22:00:05 2018 UTC-Tue Sep  4 22:00:05 2018 UTC (0.001 )  Time stamp start 1536098405927415005 end 1536098405926415005  Run 359918, LB 196, lumi 16.34
Event Veto ['MiniNoiseBurst'], Tue Sep  4 22:03:15 2018 UTC-Tue Sep  4 22:03:15 2018 UTC (0.001 )  Time stamp start 1536098595641704640 end 1536098595640704640  Run 359918, LB 199, lumi 16.29
Event Veto ['NoiseBurst'], Tue Sep  4 22:03:53 2018 UTC-Tue Sep  4 22:03:53 2018 UTC (0.001 )  Time stamp start 1536098633363390335 end 1536098633362389440  Run 359918, LB 200, lumi 16.26
