Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 357821 to 357821
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 357821 to run 357821  lasting from Wed Aug  8 01:03:45 2018 UTC to Wed Aug  8 15:21:08 2018 UTC
Event Veto ['MiniNoiseBurst'], Wed Aug  8 01:43:49 2018 UTC-Wed Aug  8 01:43:49 2018 UTC (0.001 )  Time stamp start 1533692629213971235 end 1533692629212971235  Run 357821, LB 46, lumi 16.23
Event Veto ['MiniNoiseBurst'], Wed Aug  8 01:44:09 2018 UTC-Wed Aug  8 01:44:09 2018 UTC (0.001 )  Time stamp start 1533692649629354735 end 1533692649628354735  Run 357821, LB 46, lumi 16.23
Event Veto ['MiniNoiseBurst'], Wed Aug  8 01:50:29 2018 UTC-Wed Aug  8 01:50:29 2018 UTC (0.001 )  Time stamp start 1533693029664860205 end 1533693029663860205  Run 357821, LB 53, lumi 17.18
Event Veto ['NoiseBurst'], Wed Aug  8 01:52:17 2018 UTC-Wed Aug  8 01:52:17 2018 UTC (0.001 )  Time stamp start 1533693137135179210 end 1533693137134029105  Run 357821, LB 55, lumi 19.65
Event Veto ['MiniNoiseBurst'], Wed Aug  8 01:52:50 2018 UTC-Wed Aug  8 01:52:50 2018 UTC (0.001 )  Time stamp start 1533693170067273590 end 1533693170066273590  Run 357821, LB 55, lumi 17.09
Event Veto ['NoiseBurst'], Wed Aug  8 01:52:54 2018 UTC-Wed Aug  8 01:52:54 2018 UTC (0.001 )  Time stamp start 1533693174088270045 end 1533693174086793760  Run 357821, LB 56, lumi 25.19
Event Veto ['MiniNoiseBurst'], Wed Aug  8 01:58:43 2018 UTC-Wed Aug  8 01:58:43 2018 UTC (0.001 )  Time stamp start 1533693523839183535 end 1533693523838183535  Run 357821, LB 62, lumi 16.70
Event Veto ['NoiseBurst'], Wed Aug  8 02:02:06 2018 UTC-Wed Aug  8 02:02:06 2018 UTC (0.001 )  Time stamp start 1533693726517917545 end 1533693726516825480  Run 357821, LB 65, lumi 18.02
Event Veto ['MiniNoiseBurst'], Wed Aug  8 02:02:22 2018 UTC-Wed Aug  8 02:02:22 2018 UTC (0.001 )  Time stamp start 1533693742160924775 end 1533693742159924775  Run 357821, LB 65, lumi 16.50
Event Veto ['MiniNoiseBurst'], Wed Aug  8 02:03:33 2018 UTC-Wed Aug  8 02:03:33 2018 UTC (0.001 )  Time stamp start 1533693813550623610 end 1533693813549623610  Run 357821, LB 67, lumi 16.39
Event Veto ['MiniNoiseBurst'], Wed Aug  8 02:05:14 2018 UTC-Wed Aug  8 02:05:14 2018 UTC (0.001 )  Time stamp start 1533693914226201415 end 1533693914225201415  Run 357821, LB 69, lumi 16.30
Event Veto ['NoiseBurst'], Wed Aug  8 02:07:40 2018 UTC-Wed Aug  8 02:07:40 2018 UTC (0.001 )  Time stamp start 1533694060401687710 end 1533694060400631870  Run 357821, LB 71, lumi 17.34
Event Veto ['MiniNoiseBurst'], Wed Aug  8 02:07:59 2018 UTC-Wed Aug  8 02:07:59 2018 UTC (0.001 )  Time stamp start 1533694079668855050 end 1533694079667855050  Run 357821, LB 71, lumi 16.43
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  8 02:08:14 2018 UTC-Wed Aug  8 02:08:14 2018 UTC (0.001 )  Time stamp start 1533694094277273380 end 1533694094276273380  Run 357821, LB 72, lumi 16.29
Event Veto ['MiniNoiseBurst'], Wed Aug  8 02:08:52 2018 UTC-Wed Aug  8 02:08:52 2018 UTC (0.001 )  Time stamp start 1533694132889425875 end 1533694132888425875  Run 357821, LB 72, lumi 16.29
Event Veto ['NoiseBurst'], Wed Aug  8 02:11:58 2018 UTC-Wed Aug  8 02:11:58 2018 UTC (0.001 )  Time stamp start 1533694318555286245 end 1533694318554285495  Run 357821, LB 75, lumi 16.23
Event Veto ['MiniNoiseBurst'], Wed Aug  8 02:13:14 2018 UTC-Wed Aug  8 02:13:14 2018 UTC (0.001 )  Time stamp start 1533694394857253500 end 1533694394856253500  Run 357821, LB 77, lumi 16.09
Event Veto ['MiniNoiseBurst'], Wed Aug  8 02:14:39 2018 UTC-Wed Aug  8 02:14:39 2018 UTC (0.001 )  Time stamp start 1533694479942487725 end 1533694479941487725  Run 357821, LB 78, lumi 16.04
Event Veto ['MiniNoiseBurst'], Wed Aug  8 02:16:34 2018 UTC-Wed Aug  8 02:16:34 2018 UTC (0.001 )  Time stamp start 1533694594878052895 end 1533694594877052895  Run 357821, LB 80, lumi 15.87
Event Veto ['MiniNoiseBurst'], Wed Aug  8 02:17:29 2018 UTC-Wed Aug  8 02:17:29 2018 UTC (0.001 )  Time stamp start 1533694649796699665 end 1533694649795699665  Run 357821, LB 81, lumi 15.80
Event Veto ['MiniNoiseBurst'], Wed Aug  8 02:18:04 2018 UTC-Wed Aug  8 02:18:04 2018 UTC (0.001 )  Time stamp start 1533694684642018140 end 1533694684641018140  Run 357821, LB 81, lumi 15.80
