Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349977 to 349977
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349977 to run 349977  lasting from Thu May 10 11:38:04 2018 UTC to Thu May 10 15:39:35 2018 UTC
Event Veto ['MiniNoiseBurst'], Thu May 10 12:42:35 2018 UTC-Thu May 10 12:42:35 2018 UTC (0.001 )  Time stamp start 1525956155600032710 end 1525956155599032710  Run 349977, LB 73, lumi 16.22
Event Veto ['MiniNoiseBurst'], Thu May 10 12:42:40 2018 UTC-Thu May 10 12:42:40 2018 UTC (0.001 )  Time stamp start 1525956160194541850 end 1525956160193541850  Run 349977, LB 73, lumi 16.22
Event Veto ['MiniNoiseBurst'], Thu May 10 12:42:42 2018 UTC-Thu May 10 12:42:42 2018 UTC (0.001 )  Time stamp start 1525956162795618825 end 1525956162794618825  Run 349977, LB 73, lumi 16.22
Event Veto ['MiniNoiseBurst'], Thu May 10 12:42:53 2018 UTC-Thu May 10 12:42:53 2018 UTC (0.001 )  Time stamp start 1525956173126989790 end 1525956173125989790  Run 349977, LB 73, lumi 16.22
Event Veto ['MiniNoiseBurst'], Thu May 10 12:42:54 2018 UTC-Thu May 10 12:42:54 2018 UTC (0.001 )  Time stamp start 1525956174706686385 end 1525956174705686210  Run 349977, LB 73, lumi 16.22
Event Veto ['MiniNoiseBurst'], Thu May 10 12:42:56 2018 UTC-Thu May 10 12:42:56 2018 UTC (0.001 )  Time stamp start 1525956176678471320 end 1525956176677471320  Run 349977, LB 73, lumi 16.22
Event Veto ['MiniNoiseBurst'], Thu May 10 12:43:04 2018 UTC-Thu May 10 12:43:04 2018 UTC (0.001 )  Time stamp start 1525956184236482085 end 1525956184235482085  Run 349977, LB 73, lumi 16.22
Event Veto ['MiniNoiseBurst'], Thu May 10 12:43:06 2018 UTC-Thu May 10 12:43:06 2018 UTC (0.001 )  Time stamp start 1525956186928472290 end 1525956186927472290  Run 349977, LB 73, lumi 16.22
Event Veto ['MiniNoiseBurst'], Thu May 10 12:43:11 2018 UTC-Thu May 10 12:43:11 2018 UTC (0.001 )  Time stamp start 1525956191128594155 end 1525956191127594155  Run 349977, LB 74, lumi 18.90
Event Veto ['MiniNoiseBurst'], Thu May 10 12:43:12 2018 UTC-Thu May 10 12:43:12 2018 UTC (0.001 )  Time stamp start 1525956192878851060 end 1525956192877851060  Run 349977, LB 74, lumi 18.90
Event Veto ['MiniNoiseBurst'], Thu May 10 12:43:19 2018 UTC-Thu May 10 12:43:19 2018 UTC (0.001 )  Time stamp start 1525956199386985135 end 1525956199385985135  Run 349977, LB 74, lumi 18.90
Event Veto ['MiniNoiseBurst'], Thu May 10 12:43:21 2018 UTC-Thu May 10 12:43:21 2018 UTC (0.001 )  Time stamp start 1525956201527236510 end 1525956201526236510  Run 349977, LB 74, lumi 18.90
Event Veto ['MiniNoiseBurst'], Thu May 10 12:43:25 2018 UTC-Thu May 10 12:43:25 2018 UTC (0.001 )  Time stamp start 1525956205732059820 end 1525956205731059820  Run 349977, LB 74, lumi 18.90
Event Veto ['MiniNoiseBurst'], Thu May 10 12:43:26 2018 UTC-Thu May 10 12:43:26 2018 UTC (0.001 )  Time stamp start 1525956206254612425 end 1525956206253612425  Run 349977, LB 74, lumi 18.90
Event Veto ['MiniNoiseBurst'], Thu May 10 12:43:27 2018 UTC-Thu May 10 12:43:27 2018 UTC (0.001 )  Time stamp start 1525956207220482445 end 1525956207219482445  Run 349977, LB 74, lumi 18.90
Event Veto ['MiniNoiseBurst'], Thu May 10 12:43:28 2018 UTC-Thu May 10 12:43:28 2018 UTC (0.001 )  Time stamp start 1525956208485967975 end 1525956208484967975  Run 349977, LB 74, lumi 18.90
Event Veto ['MiniNoiseBurst'], Thu May 10 12:43:44 2018 UTC-Thu May 10 12:43:44 2018 UTC (0.001 )  Time stamp start 1525956224016354110 end 1525956224015354110  Run 349977, LB 74, lumi 18.90
Event Veto ['MiniNoiseBurst'], Thu May 10 12:43:47 2018 UTC-Thu May 10 12:43:47 2018 UTC (0.001 )  Time stamp start 1525956227007936120 end 1525956227006936120  Run 349977, LB 74, lumi 18.90
Event Veto ['MiniNoiseBurst'], Thu May 10 12:43:48 2018 UTC-Thu May 10 12:43:48 2018 UTC (0.001 )  Time stamp start 1525956228462628520 end 1525956228461628520  Run 349977, LB 74, lumi 18.90
Event Veto ['MiniNoiseBurst'], Thu May 10 12:43:52 2018 UTC-Thu May 10 12:43:52 2018 UTC (0.001 )  Time stamp start 1525956232199722310 end 1525956232198722310  Run 349977, LB 74, lumi 18.90
Event Veto ['MiniNoiseBurst'], Thu May 10 12:43:54 2018 UTC-Thu May 10 12:43:54 2018 UTC (0.001 )  Time stamp start 1525956234835583205 end 1525956234834583205  Run 349977, LB 74, lumi 18.90
Event Veto ['MiniNoiseBurst'], Thu May 10 12:43:56 2018 UTC-Thu May 10 12:43:56 2018 UTC (0.001 )  Time stamp start 1525956236129742225 end 1525956236128742225  Run 349977, LB 74, lumi 18.90
Event Veto ['MiniNoiseBurst'], Thu May 10 12:43:57 2018 UTC-Thu May 10 12:43:57 2018 UTC (0.001 )  Time stamp start 1525956237645180115 end 1525956237644180115  Run 349977, LB 74, lumi 18.90
Event Veto ['MiniNoiseBurst'], Thu May 10 12:44:06 2018 UTC-Thu May 10 12:44:06 2018 UTC (0.001 )  Time stamp start 1525956246304557685 end 1525956246303557685  Run 349977, LB 74, lumi 18.90
Event Veto ['MiniNoiseBurst'], Thu May 10 12:44:07 2018 UTC-Thu May 10 12:44:07 2018 UTC (0.001 )  Time stamp start 1525956247811358430 end 1525956247810358430  Run 349977, LB 74, lumi 18.90
Event Veto ['MiniNoiseBurst'], Thu May 10 12:44:13 2018 UTC-Thu May 10 12:44:13 2018 UTC (0.001 )  Time stamp start 1525956253894723865 end 1525956253893723865  Run 349977, LB 75, lumi 19.46
Event Veto ['MiniNoiseBurst'], Thu May 10 12:44:15 2018 UTC-Thu May 10 12:44:15 2018 UTC (0.001 )  Time stamp start 1525956255585696640 end 1525956255584696640  Run 349977, LB 75, lumi 19.46
Event Veto ['MiniNoiseBurst'], Thu May 10 12:44:17 2018 UTC-Thu May 10 12:44:17 2018 UTC (0.001 )  Time stamp start 1525956257611029050 end 1525956257610029050  Run 349977, LB 75, lumi 19.46
Event Veto ['MiniNoiseBurst'], Thu May 10 12:44:21 2018 UTC-Thu May 10 12:44:21 2018 UTC (0.001 )  Time stamp start 1525956261691303215 end 1525956261690303090  Run 349977, LB 75, lumi 19.47
Event Veto ['MiniNoiseBurst'], Thu May 10 12:44:23 2018 UTC-Thu May 10 12:44:23 2018 UTC (0.001 )  Time stamp start 1525956263392359505 end 1525956263391359505  Run 349977, LB 75, lumi 19.46
Event Veto ['MiniNoiseBurst'], Thu May 10 12:44:29 2018 UTC-Thu May 10 12:44:29 2018 UTC (0.001 )  Time stamp start 1525956269902367855 end 1525956269901367855  Run 349977, LB 75, lumi 19.46
Event Veto ['MiniNoiseBurst'], Thu May 10 12:44:30 2018 UTC-Thu May 10 12:44:30 2018 UTC (0.001 )  Time stamp start 1525956270706036920 end 1525956270705036920  Run 349977, LB 75, lumi 19.46
Event Veto ['MiniNoiseBurst'], Thu May 10 12:44:34 2018 UTC-Thu May 10 12:44:34 2018 UTC (0.001 )  Time stamp start 1525956274169471405 end 1525956274168471405  Run 349977, LB 75, lumi 19.46
Event Veto ['MiniNoiseBurst'], Thu May 10 12:44:36 2018 UTC-Thu May 10 12:44:36 2018 UTC (0.002 )  Time stamp start 1525956276584303990 end 1525956276582427220  Run 349977, LB 75, lumi 36.53
Event Veto ['MiniNoiseBurst'], Thu May 10 12:44:37 2018 UTC-Thu May 10 12:44:37 2018 UTC (0.001 )  Time stamp start 1525956277437577515 end 1525956277436577515  Run 349977, LB 75, lumi 19.46
Event Veto ['NoiseBurst'], Thu May 10 12:44:39 2018 UTC-Thu May 10 12:44:39 2018 UTC (0.002 )  Time stamp start 1525956279283980345 end 1525956279281825475  Run 349977, LB 75, lumi 41.94
Event Veto ['NoiseBurst'], Thu May 10 12:44:39 2018 UTC-Thu May 10 12:44:39 2018 UTC (0.001 )  Time stamp start 1525956279286986755 end 1525956279285744085  Run 349977, LB 75, lumi 24.19
Event Veto ['MiniNoiseBurst'], Thu May 10 12:44:53 2018 UTC-Thu May 10 12:44:53 2018 UTC (0.001 )  Time stamp start 1525956293052899355 end 1525956293051899355  Run 349977, LB 75, lumi 19.46
Event Veto ['MiniNoiseBurst'], Thu May 10 12:44:59 2018 UTC-Thu May 10 12:44:59 2018 UTC (0.001 )  Time stamp start 1525956299071897825 end 1525956299070897825  Run 349977, LB 75, lumi 19.46
Event Veto ['MiniNoiseBurst'], Thu May 10 12:45:04 2018 UTC-Thu May 10 12:45:04 2018 UTC (0.001 )  Time stamp start 1525956304742613645 end 1525956304741613645  Run 349977, LB 75, lumi 19.46
Event Veto ['MiniNoiseBurst'], Thu May 10 12:45:07 2018 UTC-Thu May 10 12:45:07 2018 UTC (0.001 )  Time stamp start 1525956307887322705 end 1525956307886322705  Run 349977, LB 75, lumi 19.46
Event Veto ['MiniNoiseBurst'], Thu May 10 12:45:14 2018 UTC-Thu May 10 12:45:14 2018 UTC (0.001 )  Time stamp start 1525956314489031985 end 1525956314488031985  Run 349977, LB 76, lumi 19.41
Event Veto ['MiniNoiseBurst'], Thu May 10 12:45:16 2018 UTC-Thu May 10 12:45:16 2018 UTC (0.001 )  Time stamp start 1525956316563620820 end 1525956316562620820  Run 349977, LB 76, lumi 19.41
Event Veto ['MiniNoiseBurst'], Thu May 10 12:45:17 2018 UTC-Thu May 10 12:45:17 2018 UTC (0.001 )  Time stamp start 1525956317036854695 end 1525956317035854695  Run 349977, LB 76, lumi 19.41
Event Veto ['MiniNoiseBurst'], Thu May 10 12:45:18 2018 UTC-Thu May 10 12:45:18 2018 UTC (0.001 )  Time stamp start 1525956318233924825 end 1525956318232904765  Run 349977, LB 76, lumi 19.79
Event Veto ['MiniNoiseBurst'], Thu May 10 12:45:54 2018 UTC-Thu May 10 12:45:54 2018 UTC (0.001 )  Time stamp start 1525956354184172225 end 1525956354183172225  Run 349977, LB 77, lumi 19.37
Event Veto ['MiniNoiseBurst'], Thu May 10 12:45:57 2018 UTC-Thu May 10 12:45:57 2018 UTC (0.001 )  Time stamp start 1525956357496454365 end 1525956357495454365  Run 349977, LB 77, lumi 19.37
Event Veto ['MiniNoiseBurst'], Thu May 10 12:46:04 2018 UTC-Thu May 10 12:46:04 2018 UTC (0.001 )  Time stamp start 1525956364886078630 end 1525956364885078630  Run 349977, LB 77, lumi 19.37
Event Veto ['MiniNoiseBurst'], Thu May 10 12:46:06 2018 UTC-Thu May 10 12:46:06 2018 UTC (0.001 )  Time stamp start 1525956366841950130 end 1525956366840950130  Run 349977, LB 77, lumi 19.37
Event Veto ['MiniNoiseBurst'], Thu May 10 12:46:17 2018 UTC-Thu May 10 12:46:17 2018 UTC (0.001 )  Time stamp start 1525956377887278135 end 1525956377886278010  Run 349977, LB 77, lumi 19.37
Event Veto ['MiniNoiseBurst'], Thu May 10 12:46:20 2018 UTC-Thu May 10 12:46:20 2018 UTC (0.001 )  Time stamp start 1525956380492326365 end 1525956380491326365  Run 349977, LB 77, lumi 19.37
Event Veto ['MiniNoiseBurst'], Thu May 10 12:46:24 2018 UTC-Thu May 10 12:46:24 2018 UTC (0.001 )  Time stamp start 1525956384965899425 end 1525956384964899425  Run 349977, LB 77, lumi 19.37
Event Veto ['NoiseBurst'], Thu May 10 12:46:30 2018 UTC-Thu May 10 12:46:30 2018 UTC (0.001 )  Time stamp start 1525956390949864885 end 1525956390948864690  Run 349977, LB 77, lumi 19.37
Event Veto ['MiniNoiseBurst'], Thu May 10 12:46:36 2018 UTC-Thu May 10 12:46:36 2018 UTC (0.001 )  Time stamp start 1525956396267749115 end 1525956396266748845  Run 349977, LB 78, lumi 19.33
Event Veto ['MiniNoiseBurst'], Thu May 10 12:46:40 2018 UTC-Thu May 10 12:46:40 2018 UTC (0.001 )  Time stamp start 1525956400245509855 end 1525956400244509855  Run 349977, LB 78, lumi 19.32
Event Veto ['MiniNoiseBurst'], Thu May 10 12:46:44 2018 UTC-Thu May 10 12:46:44 2018 UTC (0.001 )  Time stamp start 1525956404765254355 end 1525956404764254355  Run 349977, LB 78, lumi 19.32
Event Veto ['MiniNoiseBurst'], Thu May 10 12:46:46 2018 UTC-Thu May 10 12:46:46 2018 UTC (0.001 )  Time stamp start 1525956406535569530 end 1525956406534569530  Run 349977, LB 78, lumi 19.32
Event Veto ['MiniNoiseBurst'], Thu May 10 12:46:49 2018 UTC-Thu May 10 12:46:49 2018 UTC (0.001 )  Time stamp start 1525956409062635225 end 1525956409061635225  Run 349977, LB 78, lumi 19.32
Event Veto ['MiniNoiseBurst'], Thu May 10 12:46:55 2018 UTC-Thu May 10 12:46:55 2018 UTC (0.001 )  Time stamp start 1525956415789776580 end 1525956415788776580  Run 349977, LB 78, lumi 19.32
Event Veto ['MiniNoiseBurst'], Thu May 10 12:47:32 2018 UTC-Thu May 10 12:47:32 2018 UTC (0.001 )  Time stamp start 1525956452161776645 end 1525956452160776645  Run 349977, LB 79, lumi 19.17
Event Veto ['MiniNoiseBurst'], Thu May 10 12:47:32 2018 UTC-Thu May 10 12:47:32 2018 UTC (0.001 )  Time stamp start 1525956452900971350 end 1525956452899971350  Run 349977, LB 79, lumi 19.17
Event Veto ['MiniNoiseBurst'], Thu May 10 12:47:34 2018 UTC-Thu May 10 12:47:34 2018 UTC (0.001 )  Time stamp start 1525956454822953410 end 1525956454821953410  Run 349977, LB 79, lumi 19.17
Event Veto ['MiniNoiseBurst'], Thu May 10 12:47:41 2018 UTC-Thu May 10 12:47:41 2018 UTC (0.001 )  Time stamp start 1525956461284550045 end 1525956461283550045  Run 349977, LB 79, lumi 19.17
Event Veto ['MiniNoiseBurst'], Thu May 10 12:47:53 2018 UTC-Thu May 10 12:47:53 2018 UTC (0.001 )  Time stamp start 1525956473598607645 end 1525956473597607645  Run 349977, LB 79, lumi 19.17
Event Veto ['MiniNoiseBurst'], Thu May 10 12:48:06 2018 UTC-Thu May 10 12:48:06 2018 UTC (0.001 )  Time stamp start 1525956486227949240 end 1525956486226949240  Run 349977, LB 79, lumi 19.17
Event Veto ['MiniNoiseBurst'], Thu May 10 12:48:09 2018 UTC-Thu May 10 12:48:09 2018 UTC (0.002 )  Time stamp start 1525956489807807720 end 1525956489805808770  Run 349977, LB 79, lumi 38.33
Event Veto ['MiniNoiseBurst'], Thu May 10 12:48:12 2018 UTC-Thu May 10 12:48:12 2018 UTC (0.001 )  Time stamp start 1525956492341199275 end 1525956492340199275  Run 349977, LB 79, lumi 19.17
