Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 305723 to 305723
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 305723 to run 305723  lasting from Sat Aug  6 10:53:10 2016 UTC to Sun Aug  7 01:01:02 2016 UTC
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:00:44 2016 UTC-Sat Aug  6 13:00:44 2016 UTC (0.001 )  Time stamp start 1470488444536510750 end 1470488444535510750  Run 305723, LB 133, lumi 10.30
Event Veto ['NoiseBurst'], Sat Aug  6 13:01:04 2016 UTC-Sat Aug  6 13:01:04 2016 UTC (0.010 )  Time stamp start 1470488464685911820 end 1470488464675911400  Run 305723, LB 133, lumi 103.05
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:01:18 2016 UTC-Sat Aug  6 13:01:18 2016 UTC (0.001 )  Time stamp start 1470488478224060370 end 1470488478223060370  Run 305723, LB 133, lumi 10.30
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:02:10 2016 UTC-Sat Aug  6 13:02:10 2016 UTC (0.001 )  Time stamp start 1470488530517119885 end 1470488530516118785  Run 305723, LB 134, lumi 10.29
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:02:27 2016 UTC-Sat Aug  6 13:02:27 2016 UTC (0.001 )  Time stamp start 1470488547267137725 end 1470488547266137350  Run 305723, LB 134, lumi 10.28
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:02:55 2016 UTC-Sat Aug  6 13:02:55 2016 UTC (0.001 )  Time stamp start 1470488575513277665 end 1470488575512277265  Run 305723, LB 135, lumi 10.26
Event Veto ['NoiseBurst'], Sat Aug  6 13:03:31 2016 UTC-Sat Aug  6 13:03:31 2016 UTC (0.010 )  Time stamp start 1470488611666141985 end 1470488611656039460  Run 305723, LB 136, lumi 103.43
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:03:33 2016 UTC-Sat Aug  6 13:03:33 2016 UTC (0.001 )  Time stamp start 1470488613433606620 end 1470488613432606220  Run 305723, LB 136, lumi 10.24
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:04:18 2016 UTC-Sat Aug  6 13:04:18 2016 UTC (0.001 )  Time stamp start 1470488658376407715 end 1470488658375407715  Run 305723, LB 137, lumi 10.22
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:04:36 2016 UTC-Sat Aug  6 13:04:36 2016 UTC (0.001 )  Time stamp start 1470488676826328285 end 1470488676825328035  Run 305723, LB 137, lumi 10.22
Event Veto ['NoiseBurst'], Sat Aug  6 13:04:44 2016 UTC-Sat Aug  6 13:04:44 2016 UTC (0.010 )  Time stamp start 1470488684119099910 end 1470488684109099285  Run 305723, LB 137, lumi 102.22
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:04:45 2016 UTC-Sat Aug  6 13:04:45 2016 UTC (0.001 )  Time stamp start 1470488685973879210 end 1470488685972879210  Run 305723, LB 137, lumi 10.22
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:05:10 2016 UTC-Sat Aug  6 13:05:10 2016 UTC (0.001 )  Time stamp start 1470488710142419020 end 1470488710141419020  Run 305723, LB 138, lumi 10.20
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:05:25 2016 UTC-Sat Aug  6 13:05:25 2016 UTC (0.001 )  Time stamp start 1470488725063781070 end 1470488725062780820  Run 305723, LB 138, lumi 10.21
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:05:53 2016 UTC-Sat Aug  6 13:05:53 2016 UTC (0.001 )  Time stamp start 1470488753293629925 end 1470488753292629925  Run 305723, LB 138, lumi 10.20
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:06:02 2016 UTC-Sat Aug  6 13:06:02 2016 UTC (0.001 )  Time stamp start 1470488762638979840 end 1470488762637979590  Run 305723, LB 139, lumi 10.19
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:06:30 2016 UTC-Sat Aug  6 13:06:30 2016 UTC (0.001 )  Time stamp start 1470488790030154400 end 1470488790029153950  Run 305723, LB 139, lumi 10.19
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:06:57 2016 UTC-Sat Aug  6 13:06:57 2016 UTC (0.001 )  Time stamp start 1470488817658301555 end 1470488817657301555  Run 305723, LB 140, lumi 10.17
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:07:06 2016 UTC-Sat Aug  6 13:07:06 2016 UTC (0.001 )  Time stamp start 1470488826646789545 end 1470488826645789545  Run 305723, LB 140, lumi 10.17
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:07:30 2016 UTC-Sat Aug  6 13:07:30 2016 UTC (0.001 )  Time stamp start 1470488850623683765 end 1470488850622683765  Run 305723, LB 140, lumi 10.17
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:07:48 2016 UTC-Sat Aug  6 13:07:48 2016 UTC (0.001 )  Time stamp start 1470488868413835905 end 1470488868412835780  Run 305723, LB 140, lumi 10.17
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:07:58 2016 UTC-Sat Aug  6 13:07:58 2016 UTC (0.001 )  Time stamp start 1470488878740525550 end 1470488878739525550  Run 305723, LB 141, lumi 10.16
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:08:24 2016 UTC-Sat Aug  6 13:08:24 2016 UTC (0.001 )  Time stamp start 1470488904988000375 end 1470488904987000375  Run 305723, LB 141, lumi 10.16
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:08:42 2016 UTC-Sat Aug  6 13:08:42 2016 UTC (0.001 )  Time stamp start 1470488922062276035 end 1470488922061276035  Run 305723, LB 141, lumi 10.16
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:09:02 2016 UTC-Sat Aug  6 13:09:02 2016 UTC (0.001 )  Time stamp start 1470488942536699585 end 1470488942535699410  Run 305723, LB 142, lumi 10.12
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:09:12 2016 UTC-Sat Aug  6 13:09:12 2016 UTC (0.001 )  Time stamp start 1470488952035402040 end 1470488952034402040  Run 305723, LB 142, lumi 10.12
Event Veto ['NoiseBurst'], Sat Aug  6 13:09:18 2016 UTC-Sat Aug  6 13:09:18 2016 UTC (0.010 )  Time stamp start 1470488958992836615 end 1470488958982817030  Run 305723, LB 142, lumi 101.38
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:09:37 2016 UTC-Sat Aug  6 13:09:37 2016 UTC (0.001 )  Time stamp start 1470488977767870985 end 1470488977766870985  Run 305723, LB 142, lumi 10.12
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:09:53 2016 UTC-Sat Aug  6 13:09:53 2016 UTC (0.001 )  Time stamp start 1470488993134498055 end 1470488993133498055  Run 305723, LB 143, lumi 10.11
