Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349841 to 349841
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349841 to run 349841  lasting from Tue May  8 21:59:37 2018 UTC to Wed May  9 00:39:41 2018 UTC
Event Veto ['MiniNoiseBurst'], Tue May  8 23:32:14 2018 UTC-Tue May  8 23:32:14 2018 UTC (0.001 )  Time stamp start 1525822334755209800 end 1525822334754209800  Run 349841, LB 99, lumi 16.83
Event Veto ['MiniNoiseBurst'], Tue May  8 23:32:16 2018 UTC-Tue May  8 23:32:16 2018 UTC (0.001 )  Time stamp start 1525822336388884410 end 1525822336387884410  Run 349841, LB 99, lumi 16.83
Event Veto ['MiniNoiseBurst'], Tue May  8 23:32:22 2018 UTC-Tue May  8 23:32:22 2018 UTC (0.001 )  Time stamp start 1525822342425618270 end 1525822342424618270  Run 349841, LB 99, lumi 16.83
Event Veto ['MiniNoiseBurst'], Tue May  8 23:32:30 2018 UTC-Tue May  8 23:32:30 2018 UTC (0.001 )  Time stamp start 1525822350725241870 end 1525822350724241870  Run 349841, LB 99, lumi 16.83
Event Veto ['MiniNoiseBurst'], Tue May  8 23:32:33 2018 UTC-Tue May  8 23:32:33 2018 UTC (0.001 )  Time stamp start 1525822353195218975 end 1525822353194218975  Run 349841, LB 99, lumi 16.83
Event Veto ['MiniNoiseBurst'], Tue May  8 23:32:39 2018 UTC-Tue May  8 23:32:39 2018 UTC (0.001 )  Time stamp start 1525822359803579570 end 1525822359802579570  Run 349841, LB 99, lumi 16.83
Event Veto ['MiniNoiseBurst'], Tue May  8 23:33:15 2018 UTC-Tue May  8 23:33:15 2018 UTC (0.001 )  Time stamp start 1525822395215845420 end 1525822395214845420  Run 349841, LB 100, lumi 18.82
Event Veto ['MiniNoiseBurst'], Tue May  8 23:33:17 2018 UTC-Tue May  8 23:33:17 2018 UTC (0.001 )  Time stamp start 1525822397905295685 end 1525822397904295685  Run 349841, LB 100, lumi 18.82
Event Veto ['MiniNoiseBurst'], Tue May  8 23:33:18 2018 UTC-Tue May  8 23:33:18 2018 UTC (0.001 )  Time stamp start 1525822398573668660 end 1525822398572668660  Run 349841, LB 100, lumi 18.82
Event Veto ['MiniNoiseBurst'], Tue May  8 23:33:25 2018 UTC-Tue May  8 23:33:25 2018 UTC (0.001 )  Time stamp start 1525822405213875030 end 1525822405212875030  Run 349841, LB 100, lumi 18.82
