Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 327057 to 327057
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 327057 to run 327057  lasting from Sat Jun 17 18:12:24 2017 UTC to Sun Jun 18 05:32:11 2017 UTC
Event Veto ['NoiseBurst'], Sat Jun 17 19:20:17 2017 UTC-Sat Jun 17 19:20:17 2017 UTC (0.002 )  Time stamp start 1497727217778074220 end 1497727217776319110  Run 327057, LB 76, lumi 15.84
Event Veto ['NoiseBurst'], Sat Jun 17 19:20:17 2017 UTC-Sat Jun 17 19:20:17 2017 UTC (0.001 )  Time stamp start 1497727217787283315 end 1497727217786282315  Run 327057, LB 76, lumi 9.03
Event Veto ['NoiseBurst'], Sat Jun 17 19:20:17 2017 UTC-Sat Jun 17 19:20:17 2017 UTC (0.001 )  Time stamp start 1497727217792839270 end 1497727217791787970  Run 327057, LB 76, lumi 9.49
Event Veto ['NoiseBurst'], Sat Jun 17 19:20:17 2017 UTC-Sat Jun 17 19:20:17 2017 UTC (0.001 )  Time stamp start 1497727217797955765 end 1497727217796954195  Run 327057, LB 76, lumi 9.04
Event Veto ['NoiseBurst'], Sat Jun 17 19:20:17 2017 UTC-Sat Jun 17 19:20:17 2017 UTC (0.001 )  Time stamp start 1497727217809702350 end 1497727217808649630  Run 327057, LB 76, lumi 9.50
Event Veto ['NoiseBurst'], Sat Jun 17 19:20:17 2017 UTC-Sat Jun 17 19:20:17 2017 UTC (0.002 )  Time stamp start 1497727217823919705 end 1497727217821812320  Run 327057, LB 76, lumi 19.02
Event Veto ['NoiseBurst'], Sat Jun 17 19:20:17 2017 UTC-Sat Jun 17 19:20:17 2017 UTC (0.001 )  Time stamp start 1497727217827171410 end 1497727217826153820  Run 327057, LB 76, lumi 9.18
Event Veto ['NoiseBurst'], Sat Jun 17 19:20:17 2017 UTC-Sat Jun 17 19:20:17 2017 UTC (0.002 )  Time stamp start 1497727217833462065 end 1497727217831750095  Run 327057, LB 76, lumi 15.45
Event Veto ['NoiseBurst'], Sat Jun 17 19:20:17 2017 UTC-Sat Jun 17 19:20:17 2017 UTC (0.001 )  Time stamp start 1497727217837195045 end 1497727217836193775  Run 327057, LB 76, lumi 9.04
Event Veto ['NoiseBurst'], Sat Jun 17 19:20:17 2017 UTC-Sat Jun 17 19:20:17 2017 UTC (0.001 )  Time stamp start 1497727217851412725 end 1497727217850377695  Run 327057, LB 76, lumi 9.34
Event Veto ['NoiseBurst'], Sat Jun 17 19:20:17 2017 UTC-Sat Jun 17 19:20:17 2017 UTC (0.001 )  Time stamp start 1497727217857406545 end 1497727217856380170  Run 327057, LB 76, lumi 9.26
