Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 358115 to 358115
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 358115 to run 358115  lasting from Sat Aug 11 21:22:20 2018 UTC to Sun Aug 12 09:40:35 2018 UTC
Event Veto ['NoiseBurst'], Sat Aug 11 22:39:17 2018 UTC-Sat Aug 11 22:39:17 2018 UTC (0.001 )  Time stamp start 1534027157456111455 end 1534027157455110580  Run 358115, LB 119, lumi 17.27
Event Veto ['NoiseBurst'], Sat Aug 11 22:39:25 2018 UTC-Sat Aug 11 22:39:25 2018 UTC (0.001 )  Time stamp start 1534027165606069375 end 1534027165605068355  Run 358115, LB 120, lumi 16.47
Event Veto ['MiniNoiseBurst'], Sat Aug 11 22:40:11 2018 UTC-Sat Aug 11 22:40:11 2018 UTC (0.001 )  Time stamp start 1534027211995113565 end 1534027211994113565  Run 358115, LB 120, lumi 16.46
Event Veto ['NoiseBurst'], Sat Aug 11 22:40:32 2018 UTC-Sat Aug 11 22:40:32 2018 UTC (0.001 )  Time stamp start 1534027232034860165 end 1534027232033859665  Run 358115, LB 121, lumi 17.86
Event Veto ['NoiseBurst'], Sat Aug 11 22:41:05 2018 UTC-Sat Aug 11 22:41:05 2018 UTC (0.001 )  Time stamp start 1534027265673599565 end 1534027265672598920  Run 358115, LB 121, lumi 17.86
Event Veto ['NoiseBurst'], Sat Aug 11 22:41:11 2018 UTC-Sat Aug 11 22:41:11 2018 UTC (0.001 )  Time stamp start 1534027271534430560 end 1534027271533430310  Run 358115, LB 121, lumi 17.86
Event Veto ['NoiseBurst'], Sat Aug 11 22:41:16 2018 UTC-Sat Aug 11 22:41:16 2018 UTC (0.001 )  Time stamp start 1534027276605414870 end 1534027276604414000  Run 358115, LB 121, lumi 17.87
Event Veto ['MiniNoiseBurst'], Sat Aug 11 22:42:56 2018 UTC-Sat Aug 11 22:42:56 2018 UTC (0.001 )  Time stamp start 1534027376946741235 end 1534027376945741235  Run 358115, LB 123, lumi 17.87
Event Veto ['NoiseBurst'], Sat Aug 11 22:43:38 2018 UTC-Sat Aug 11 22:43:38 2018 UTC (0.001 )  Time stamp start 1534027418712546380 end 1534027418711545505  Run 358115, LB 125, lumi 17.85
Event Veto ['NoiseBurst'], Sat Aug 11 22:43:46 2018 UTC-Sat Aug 11 22:43:46 2018 UTC (0.001 )  Time stamp start 1534027426360005215 end 1534027426358817510  Run 358115, LB 125, lumi 21.18
Event Veto ['NoiseBurst'], Sat Aug 11 22:43:56 2018 UTC-Sat Aug 11 22:43:56 2018 UTC (0.001 )  Time stamp start 1534027436121805735 end 1534027436120805360  Run 358115, LB 125, lumi 17.84
Event Veto ['NoiseBurst'], Sat Aug 11 22:46:29 2018 UTC-Sat Aug 11 22:46:29 2018 UTC (0.001 )  Time stamp start 1534027589354552355 end 1534027589353551730  Run 358115, LB 128, lumi 18.01
