Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 357887 to 357887
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 357887 to run 357887  lasting from Thu Aug  9 01:47:26 2018 UTC to Thu Aug  9 15:34:36 2018 UTC
Event Veto ['NoiseBurst'], Thu Aug  9 03:57:15 2018 UTC-Thu Aug  9 03:57:15 2018 UTC (0.002 )  Time stamp start 1533787035580033490 end 1533787035578245795  Run 357887, LB 170, lumi 30.28
Event Veto ['MiniNoiseBurst'], Thu Aug  9 03:57:29 2018 UTC-Thu Aug  9 03:57:29 2018 UTC (0.001 )  Time stamp start 1533787049100934760 end 1533787049099934760  Run 357887, LB 170, lumi 16.94
Event Veto ['NoiseBurst'], Thu Aug  9 04:00:24 2018 UTC-Thu Aug  9 04:00:24 2018 UTC (0.002 )  Time stamp start 1533787224560880315 end 1533787224559148985  Run 357887, LB 174, lumi 29.08
Event Veto ['NoiseBurst'], Thu Aug  9 04:04:28 2018 UTC-Thu Aug  9 04:04:28 2018 UTC (0.001 )  Time stamp start 1533787468381910745 end 1533787468380787760  Run 357887, LB 178, lumi 18.69
Event Veto ['NoiseBurst'], Thu Aug  9 04:05:35 2018 UTC-Thu Aug  9 04:05:35 2018 UTC (0.002 )  Time stamp start 1533787535285320155 end 1533787535282942200  Run 357887, LB 179, lumi 39.50
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Aug  9 04:07:01 2018 UTC-Thu Aug  9 04:07:01 2018 UTC (0.001 )  Time stamp start 1533787621235227760 end 1533787621234227760  Run 357887, LB 181, lumi 16.56
Event Veto ['MiniNoiseBurst'], Thu Aug  9 04:07:17 2018 UTC-Thu Aug  9 04:07:17 2018 UTC (0.001 )  Time stamp start 1533787637375771970 end 1533787637374771970  Run 357887, LB 181, lumi 16.56
Event Veto ['DataCorruption'], Thu Aug  9 04:09:11 2018 UTC-Thu Aug  9 04:09:15 2018 UTC (4.567 )  Time stamp start 1533787755933769075 end 1533787751366653495  Run 357887, LB 183, lumi 75459.77
Event Veto ['MiniNoiseBurst'], Thu Aug  9 04:11:32 2018 UTC-Thu Aug  9 04:11:32 2018 UTC (0.001 )  Time stamp start 1533787892892896710 end 1533787892891896710  Run 357887, LB 186, lumi 16.52
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Aug  9 04:13:35 2018 UTC-Thu Aug  9 04:13:35 2018 UTC (0.001 )  Time stamp start 1533788015045500870 end 1533788015044500870  Run 357887, LB 188, lumi 16.44
