Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337263 to 337263
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337263 to run 337263  lasting from Thu Oct  5 15:35:36 2017 UTC to Fri Oct  6 07:58:59 2017 UTC
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:49:31 2017 UTC-Thu Oct  5 18:49:31 2017 UTC (0.001 )  Time stamp start 1507229371159877170 end 1507229371158877170  Run 337263, LB 200, lumi 17.18
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:49:32 2017 UTC-Thu Oct  5 18:49:32 2017 UTC (0.001 )  Time stamp start 1507229372443568675 end 1507229372442568550  Run 337263, LB 200, lumi 17.18
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:49:35 2017 UTC-Thu Oct  5 18:49:35 2017 UTC (0.001 )  Time stamp start 1507229375453620300 end 1507229375452620300  Run 337263, LB 200, lumi 17.18
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:49:37 2017 UTC-Thu Oct  5 18:49:37 2017 UTC (0.001 )  Time stamp start 1507229377183575315 end 1507229377182575315  Run 337263, LB 200, lumi 17.18
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:49:38 2017 UTC-Thu Oct  5 18:49:38 2017 UTC (0.001 )  Time stamp start 1507229378161268960 end 1507229378160268960  Run 337263, LB 200, lumi 17.18
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:49:43 2017 UTC-Thu Oct  5 18:49:43 2017 UTC (0.001 )  Time stamp start 1507229383777698960 end 1507229383776698960  Run 337263, LB 200, lumi 17.18
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:49:46 2017 UTC-Thu Oct  5 18:49:46 2017 UTC (0.001 )  Time stamp start 1507229386889742170 end 1507229386888742170  Run 337263, LB 200, lumi 17.18
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:49:53 2017 UTC-Thu Oct  5 18:49:53 2017 UTC (0.001 )  Time stamp start 1507229393655642645 end 1507229393654642645  Run 337263, LB 201, lumi 16.37
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:50:02 2017 UTC-Thu Oct  5 18:50:02 2017 UTC (0.001 )  Time stamp start 1507229402999032265 end 1507229402998032265  Run 337263, LB 201, lumi 16.37
Event Veto ['NoiseBurst'], Thu Oct  5 18:50:03 2017 UTC-Thu Oct  5 18:50:03 2017 UTC (0.001 )  Time stamp start 1507229403070516930 end 1507229403069516780  Run 337263, LB 201, lumi 16.38
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:50:31 2017 UTC-Thu Oct  5 18:50:31 2017 UTC (0.001 )  Time stamp start 1507229431650340960 end 1507229431649340960  Run 337263, LB 201, lumi 16.37
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:50:33 2017 UTC-Thu Oct  5 18:50:33 2017 UTC (0.001 )  Time stamp start 1507229433479827990 end 1507229433478827990  Run 337263, LB 201, lumi 16.37
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:50:41 2017 UTC-Thu Oct  5 18:50:41 2017 UTC (0.001 )  Time stamp start 1507229441282534310 end 1507229441281534310  Run 337263, LB 201, lumi 16.37
Event Veto ['NoiseBurst'], Thu Oct  5 18:50:44 2017 UTC-Thu Oct  5 18:50:44 2017 UTC (0.001 )  Time stamp start 1507229444555658265 end 1507229444554442890  Run 337263, LB 201, lumi 19.90
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:50:58 2017 UTC-Thu Oct  5 18:50:58 2017 UTC (0.001 )  Time stamp start 1507229458344240230 end 1507229458343240230  Run 337263, LB 202, lumi 14.59
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:50:59 2017 UTC-Thu Oct  5 18:50:59 2017 UTC (0.001 )  Time stamp start 1507229459769000375 end 1507229459767999325  Run 337263, LB 202, lumi 14.60
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:51:02 2017 UTC-Thu Oct  5 18:51:02 2017 UTC (0.001 )  Time stamp start 1507229462069974190 end 1507229462068973890  Run 337263, LB 202, lumi 14.59
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:51:03 2017 UTC-Thu Oct  5 18:51:03 2017 UTC (0.001 )  Time stamp start 1507229463793788830 end 1507229463792788830  Run 337263, LB 202, lumi 14.59
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:51:22 2017 UTC-Thu Oct  5 18:51:22 2017 UTC (0.001 )  Time stamp start 1507229482376624005 end 1507229482375624005  Run 337263, LB 202, lumi 14.59
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:52:26 2017 UTC-Thu Oct  5 18:52:26 2017 UTC (0.001 )  Time stamp start 1507229546041694460 end 1507229546040694460  Run 337263, LB 203, lumi 15.36
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:52:27 2017 UTC-Thu Oct  5 18:52:27 2017 UTC (0.001 )  Time stamp start 1507229547343073145 end 1507229547342073020  Run 337263, LB 203, lumi 15.36
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:52:29 2017 UTC-Thu Oct  5 18:52:29 2017 UTC (0.001 )  Time stamp start 1507229549209370280 end 1507229549208369605  Run 337263, LB 203, lumi 15.37
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:52:30 2017 UTC-Thu Oct  5 18:52:30 2017 UTC (0.001 )  Time stamp start 1507229550764637235 end 1507229550763637110  Run 337263, LB 203, lumi 15.36
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:52:54 2017 UTC-Thu Oct  5 18:52:54 2017 UTC (0.001 )  Time stamp start 1507229574731334825 end 1507229574730334825  Run 337263, LB 204, lumi 15.72
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:53:16 2017 UTC-Thu Oct  5 18:53:16 2017 UTC (0.001 )  Time stamp start 1507229596389420125 end 1507229596388420125  Run 337263, LB 204, lumi 15.72
Event Veto ['NoiseBurst'], Thu Oct  5 18:53:18 2017 UTC-Thu Oct  5 18:53:18 2017 UTC (0.001 )  Time stamp start 1507229598339538195 end 1507229598338537295  Run 337263, LB 204, lumi 15.73
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:53:35 2017 UTC-Thu Oct  5 18:53:35 2017 UTC (0.001 )  Time stamp start 1507229615879844730 end 1507229615878844730  Run 337263, LB 204, lumi 15.72
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:53:40 2017 UTC-Thu Oct  5 18:53:40 2017 UTC (0.001 )  Time stamp start 1507229620967727800 end 1507229620966727800  Run 337263, LB 204, lumi 15.72
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:54:23 2017 UTC-Thu Oct  5 18:54:23 2017 UTC (0.001 )  Time stamp start 1507229663121168175 end 1507229663120168175  Run 337263, LB 205, lumi 15.79
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:54:33 2017 UTC-Thu Oct  5 18:54:33 2017 UTC (0.002 )  Time stamp start 1507229673229124995 end 1507229673227578920  Run 337263, LB 205, lumi 24.41
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:54:35 2017 UTC-Thu Oct  5 18:54:35 2017 UTC (0.001 )  Time stamp start 1507229675522332845 end 1507229675521332195  Run 337263, LB 205, lumi 15.80
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:55:15 2017 UTC-Thu Oct  5 18:55:15 2017 UTC (0.001 )  Time stamp start 1507229715155666890 end 1507229715154666890  Run 337263, LB 206, lumi 15.89
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:55:15 2017 UTC-Thu Oct  5 18:55:15 2017 UTC (0.001 )  Time stamp start 1507229715439796725 end 1507229715438796230  Run 337263, LB 206, lumi 15.89
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:55:17 2017 UTC-Thu Oct  5 18:55:17 2017 UTC (0.001 )  Time stamp start 1507229717661927030 end 1507229717660927030  Run 337263, LB 206, lumi 15.89
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:55:19 2017 UTC-Thu Oct  5 18:55:19 2017 UTC (0.001 )  Time stamp start 1507229719214937620 end 1507229719213937495  Run 337263, LB 206, lumi 15.89
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:55:21 2017 UTC-Thu Oct  5 18:55:21 2017 UTC (0.001 )  Time stamp start 1507229721111607165 end 1507229721110607165  Run 337263, LB 206, lumi 15.89
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:55:22 2017 UTC-Thu Oct  5 18:55:22 2017 UTC (0.001 )  Time stamp start 1507229722704290050 end 1507229722703290050  Run 337263, LB 206, lumi 15.89
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:55:25 2017 UTC-Thu Oct  5 18:55:25 2017 UTC (0.001 )  Time stamp start 1507229725122726460 end 1507229725121725410  Run 337263, LB 206, lumi 15.90
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:55:27 2017 UTC-Thu Oct  5 18:55:27 2017 UTC (0.001 )  Time stamp start 1507229727072497660 end 1507229727071497415  Run 337263, LB 206, lumi 15.89
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:55:31 2017 UTC-Thu Oct  5 18:55:31 2017 UTC (0.001 )  Time stamp start 1507229731035135650 end 1507229731034135125  Run 337263, LB 206, lumi 15.90
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:55:32 2017 UTC-Thu Oct  5 18:55:32 2017 UTC (0.001 )  Time stamp start 1507229732746829670 end 1507229732745829545  Run 337263, LB 206, lumi 15.89
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:55:34 2017 UTC-Thu Oct  5 18:55:34 2017 UTC (0.001 )  Time stamp start 1507229734945774925 end 1507229734944774925  Run 337263, LB 206, lumi 15.89
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:55:36 2017 UTC-Thu Oct  5 18:55:36 2017 UTC (0.001 )  Time stamp start 1507229736451650920 end 1507229736450650920  Run 337263, LB 206, lumi 15.89
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:56:32 2017 UTC-Thu Oct  5 18:56:32 2017 UTC (0.001 )  Time stamp start 1507229792118041095 end 1507229792117041095  Run 337263, LB 209, lumi 16.10
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:56:40 2017 UTC-Thu Oct  5 18:56:40 2017 UTC (0.001 )  Time stamp start 1507229800966830190 end 1507229800965830190  Run 337263, LB 209, lumi 16.10
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:57:13 2017 UTC-Thu Oct  5 18:57:13 2017 UTC (0.001 )  Time stamp start 1507229833675498265 end 1507229833674498265  Run 337263, LB 211, lumi 15.73
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:57:31 2017 UTC-Thu Oct  5 18:57:31 2017 UTC (0.001 )  Time stamp start 1507229851338293370 end 1507229851337293370  Run 337263, LB 212, lumi 15.29
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:57:32 2017 UTC-Thu Oct  5 18:57:32 2017 UTC (0.001 )  Time stamp start 1507229852804396290 end 1507229852803395865  Run 337263, LB 212, lumi 15.30
