Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 356250 to 356250
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 356250 to run 356250  lasting from Sun Jul 22 06:01:09 2018 UTC to Sun Jul 22 16:34:19 2018 UTC
Event Veto ['MiniNoiseBurst'], Sun Jul 22 07:10:50 2018 UTC-Sun Jul 22 07:10:50 2018 UTC (0.001 )  Time stamp start 1532243450552330285 end 1532243450551330160  Run 356250, LB 76, lumi 19.58
Event Veto ['MiniNoiseBurst'], Sun Jul 22 07:10:52 2018 UTC-Sun Jul 22 07:10:52 2018 UTC (0.001 )  Time stamp start 1532243452053942880 end 1532243452052942880  Run 356250, LB 76, lumi 19.58
Event Veto ['MiniNoiseBurst'], Sun Jul 22 07:10:56 2018 UTC-Sun Jul 22 07:10:56 2018 UTC (0.001 )  Time stamp start 1532243456838941000 end 1532243456837940875  Run 356250, LB 76, lumi 19.58
Event Veto ['MiniNoiseBurst'], Sun Jul 22 07:11:03 2018 UTC-Sun Jul 22 07:11:03 2018 UTC (0.001 )  Time stamp start 1532243463573687160 end 1532243463572687035  Run 356250, LB 76, lumi 19.58
Event Veto ['MiniNoiseBurst'], Sun Jul 22 07:11:12 2018 UTC-Sun Jul 22 07:11:12 2018 UTC (0.001 )  Time stamp start 1532243472700185445 end 1532243472699185445  Run 356250, LB 77, lumi 19.49
Event Veto ['MiniNoiseBurst'], Sun Jul 22 07:11:13 2018 UTC-Sun Jul 22 07:11:13 2018 UTC (0.001 )  Time stamp start 1532243473060722535 end 1532243473059722410  Run 356250, LB 77, lumi 19.49
Event Veto ['MiniNoiseBurst'], Sun Jul 22 07:11:18 2018 UTC-Sun Jul 22 07:11:18 2018 UTC (0.001 )  Time stamp start 1532243478141225890 end 1532243478140225765  Run 356250, LB 77, lumi 19.49
Event Veto ['MiniNoiseBurst'], Sun Jul 22 07:11:23 2018 UTC-Sun Jul 22 07:11:23 2018 UTC (0.001 )  Time stamp start 1532243483445031005 end 1532243483444031005  Run 356250, LB 77, lumi 19.49
Event Veto ['MiniNoiseBurst'], Sun Jul 22 07:11:27 2018 UTC-Sun Jul 22 07:11:27 2018 UTC (0.001 )  Time stamp start 1532243487757565255 end 1532243487756565255  Run 356250, LB 77, lumi 19.49
Event Veto ['MiniNoiseBurst'], Sun Jul 22 07:11:28 2018 UTC-Sun Jul 22 07:11:28 2018 UTC (0.001 )  Time stamp start 1532243488858690510 end 1532243488857690385  Run 356250, LB 77, lumi 19.49
Event Veto ['MiniNoiseBurst'], Sun Jul 22 07:11:36 2018 UTC-Sun Jul 22 07:11:36 2018 UTC (0.001 )  Time stamp start 1532243496416072270 end 1532243496415072145  Run 356250, LB 77, lumi 19.49
Event Veto ['MiniNoiseBurst'], Sun Jul 22 07:11:49 2018 UTC-Sun Jul 22 07:11:49 2018 UTC (0.001 )  Time stamp start 1532243509775518510 end 1532243509774518385  Run 356250, LB 77, lumi 19.49
Event Veto ['MiniNoiseBurst'], Sun Jul 22 07:11:55 2018 UTC-Sun Jul 22 07:11:55 2018 UTC (0.001 )  Time stamp start 1532243515584105060 end 1532243515583104935  Run 356250, LB 77, lumi 19.49
Event Veto ['MiniNoiseBurst'], Sun Jul 22 07:12:09 2018 UTC-Sun Jul 22 07:12:09 2018 UTC (0.001 )  Time stamp start 1532243529856457100 end 1532243529855457100  Run 356250, LB 77, lumi 19.49
Event Veto ['MiniNoiseBurst'], Sun Jul 22 07:12:13 2018 UTC-Sun Jul 22 07:12:13 2018 UTC (0.001 )  Time stamp start 1532243533626243350 end 1532243533625243225  Run 356250, LB 78, lumi 19.45
Event Veto ['MiniNoiseBurst'], Sun Jul 22 07:12:27 2018 UTC-Sun Jul 22 07:12:27 2018 UTC (0.001 )  Time stamp start 1532243547115250095 end 1532243547114249970  Run 356250, LB 78, lumi 19.45
Event Veto ['MiniNoiseBurst'], Sun Jul 22 07:12:52 2018 UTC-Sun Jul 22 07:12:52 2018 UTC (0.001 )  Time stamp start 1532243572333389300 end 1532243572332389180  Run 356250, LB 79, lumi 19.43
Event Veto ['MiniNoiseBurst'], Sun Jul 22 07:12:58 2018 UTC-Sun Jul 22 07:12:58 2018 UTC (0.001 )  Time stamp start 1532243578305280515 end 1532243578304280390  Run 356250, LB 79, lumi 19.43
Event Veto ['MiniNoiseBurst'], Sun Jul 22 07:13:04 2018 UTC-Sun Jul 22 07:13:04 2018 UTC (0.001 )  Time stamp start 1532243584301030080 end 1532243584300029955  Run 356250, LB 79, lumi 19.43
Event Veto ['MiniNoiseBurst'], Sun Jul 22 07:13:06 2018 UTC-Sun Jul 22 07:13:06 2018 UTC (0.001 )  Time stamp start 1532243586507865730 end 1532243586506865730  Run 356250, LB 79, lumi 19.43
Event Veto ['MiniNoiseBurst'], Sun Jul 22 07:13:07 2018 UTC-Sun Jul 22 07:13:07 2018 UTC (0.001 )  Time stamp start 1532243587315503310 end 1532243587314503310  Run 356250, LB 80, lumi 19.37
Event Veto ['MiniNoiseBurst'], Sun Jul 22 07:13:09 2018 UTC-Sun Jul 22 07:13:09 2018 UTC (0.001 )  Time stamp start 1532243589679830805 end 1532243589678830680  Run 356250, LB 80, lumi 19.37
Event Veto ['MiniNoiseBurst'], Sun Jul 22 07:13:20 2018 UTC-Sun Jul 22 07:13:20 2018 UTC (0.001 )  Time stamp start 1532243600014655045 end 1532243600013654920  Run 356250, LB 80, lumi 19.37
Event Veto ['MiniNoiseBurst'], Sun Jul 22 07:13:23 2018 UTC-Sun Jul 22 07:13:23 2018 UTC (0.001 )  Time stamp start 1532243603067149240 end 1532243603066149240  Run 356250, LB 80, lumi 19.37
