Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 305543 to 305543
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 305543 to run 305543  lasting from Wed Aug  3 16:51:37 2016 UTC to Thu Aug  4 09:25:51 2016 UTC
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:32:53 2016 UTC-Wed Aug  3 18:32:53 2016 UTC (0.001 )  Time stamp start 1470249173352077295 end 1470249173351076970  Run 305543, LB 108, lumi 8.04
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:33:04 2016 UTC-Wed Aug  3 18:33:04 2016 UTC (0.001 )  Time stamp start 1470249184422847430 end 1470249184421847180  Run 305543, LB 108, lumi 8.04
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:33:16 2016 UTC-Wed Aug  3 18:33:16 2016 UTC (0.001 )  Time stamp start 1470249196026455730 end 1470249196025454680  Run 305543, LB 108, lumi 8.04
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:33:21 2016 UTC-Wed Aug  3 18:33:21 2016 UTC (0.001 )  Time stamp start 1470249201310516475 end 1470249201309516475  Run 305543, LB 108, lumi 8.04
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:33:27 2016 UTC-Wed Aug  3 18:33:27 2016 UTC (0.001 )  Time stamp start 1470249207999979105 end 1470249207998978980  Run 305543, LB 108, lumi 8.04
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:33:33 2016 UTC-Wed Aug  3 18:33:33 2016 UTC (0.001 )  Time stamp start 1470249213360003625 end 1470249213359003050  Run 305543, LB 108, lumi 8.04
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:33:45 2016 UTC-Wed Aug  3 18:33:45 2016 UTC (0.001 )  Time stamp start 1470249225304190890 end 1470249225303190890  Run 305543, LB 109, lumi 7.80
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:33:52 2016 UTC-Wed Aug  3 18:33:52 2016 UTC (0.001 )  Time stamp start 1470249232495468135 end 1470249232494466885  Run 305543, LB 109, lumi 7.81
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:33:57 2016 UTC-Wed Aug  3 18:33:57 2016 UTC (0.001 )  Time stamp start 1470249237694135350 end 1470249237693135350  Run 305543, LB 109, lumi 7.80
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:34:04 2016 UTC-Wed Aug  3 18:34:04 2016 UTC (0.001 )  Time stamp start 1470249244409115245 end 1470249244408114995  Run 305543, LB 109, lumi 7.80
