Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337176 to 337176
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337176 to run 337176  lasting from Wed Oct  4 07:13:52 2017 UTC to Wed Oct  4 21:24:48 2017 UTC
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 09:10:50 2017 UTC-Wed Oct  4 09:10:50 2017 UTC (0.001 )  Time stamp start 1507108250493883935 end 1507108250492883785  Run 337176, LB 121, lumi 13.48
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:10:50 2017 UTC-Wed Oct  4 09:10:50 2017 UTC (0.001 )  Time stamp start 1507108250857947565 end 1507108250856947565  Run 337176, LB 121, lumi 13.47
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 09:10:52 2017 UTC-Wed Oct  4 09:10:52 2017 UTC (0.001 )  Time stamp start 1507108252645739775 end 1507108252644739650  Run 337176, LB 121, lumi 13.48
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:10:54 2017 UTC-Wed Oct  4 09:10:54 2017 UTC (0.001 )  Time stamp start 1507108254877416425 end 1507108254876415950  Run 337176, LB 121, lumi 13.48
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:10:57 2017 UTC-Wed Oct  4 09:10:57 2017 UTC (0.001 )  Time stamp start 1507108257313879890 end 1507108257312878690  Run 337176, LB 121, lumi 13.49
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:10:59 2017 UTC-Wed Oct  4 09:10:59 2017 UTC (0.001 )  Time stamp start 1507108259539804020 end 1507108259538803720  Run 337176, LB 121, lumi 13.48
Event Veto ['NoiseBurst'], Wed Oct  4 09:10:59 2017 UTC-Wed Oct  4 09:10:59 2017 UTC (0.001 )  Time stamp start 1507108259685493135 end 1507108259684246675  Run 337176, LB 121, lumi 16.79
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 09:11:03 2017 UTC-Wed Oct  4 09:11:03 2017 UTC (0.001 )  Time stamp start 1507108263674344920 end 1507108263673344920  Run 337176, LB 121, lumi 13.47
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:11:05 2017 UTC-Wed Oct  4 09:11:05 2017 UTC (0.001 )  Time stamp start 1507108265688117700 end 1507108265687117330  Run 337176, LB 121, lumi 13.48
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:11:08 2017 UTC-Wed Oct  4 09:11:08 2017 UTC (0.001 )  Time stamp start 1507108268064774515 end 1507108268063773570  Run 337176, LB 121, lumi 13.49
