Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 351671 to 351671
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 351671 to run 351671  lasting from Fri Jun  1 18:28:06 2018 UTC to Sat Jun  2 08:33:56 2018 UTC
Event Veto ['MiniNoiseBurst'], Fri Jun  1 19:41:43 2018 UTC-Fri Jun  1 19:41:43 2018 UTC (0.001 )  Time stamp start 1527882103873189475 end 1527882103872189475  Run 351671, LB 79, lumi 19.42
Event Veto ['NoiseBurst'], Fri Jun  1 19:41:45 2018 UTC-Fri Jun  1 19:41:45 2018 UTC (0.001 )  Time stamp start 1527882105444873165 end 1527882105443872415  Run 351671, LB 79, lumi 19.44
Event Veto ['MiniNoiseBurst'], Fri Jun  1 19:42:38 2018 UTC-Fri Jun  1 19:42:38 2018 UTC (0.001 )  Time stamp start 1527882158205292560 end 1527882158204292560  Run 351671, LB 80, lumi 19.35
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Jun  1 19:43:54 2018 UTC-Fri Jun  1 19:43:54 2018 UTC (0.001 )  Time stamp start 1527882234656906215 end 1527882234655906215  Run 351671, LB 82, lumi 18.77
Event Veto ['NoiseBurst'], Fri Jun  1 19:43:58 2018 UTC-Fri Jun  1 19:43:58 2018 UTC (0.002 )  Time stamp start 1527882238251012835 end 1527882238249339885  Run 351671, LB 82, lumi 31.41
Event Veto ['MiniNoiseBurst'], Fri Jun  1 19:44:06 2018 UTC-Fri Jun  1 19:44:06 2018 UTC (0.001 )  Time stamp start 1527882246678715770 end 1527882246677715770  Run 351671, LB 82, lumi 18.77
Event Veto ['MiniNoiseBurst'], Fri Jun  1 19:44:11 2018 UTC-Fri Jun  1 19:44:11 2018 UTC (0.001 )  Time stamp start 1527882251766129015 end 1527882251765129015  Run 351671, LB 82, lumi 18.77
Event Veto ['MiniNoiseBurst'], Fri Jun  1 19:44:30 2018 UTC-Fri Jun  1 19:44:30 2018 UTC (0.001 )  Time stamp start 1527882270303440510 end 1527882270302440510  Run 351671, LB 82, lumi 18.77
Event Veto ['NoiseBurst'], Fri Jun  1 19:46:00 2018 UTC-Fri Jun  1 19:46:00 2018 UTC (0.001 )  Time stamp start 1527882360288112920 end 1527882360287111925  Run 351671, LB 84, lumi 19.24
Event Veto ['MiniNoiseBurst'], Fri Jun  1 19:46:38 2018 UTC-Fri Jun  1 19:46:38 2018 UTC (0.001 )  Time stamp start 1527882398333439325 end 1527882398332345510  Run 351671, LB 84, lumi 21.02
Event Veto ['MiniNoiseBurst'], Fri Jun  1 19:46:43 2018 UTC-Fri Jun  1 19:46:43 2018 UTC (0.001 )  Time stamp start 1527882403864012460 end 1527882403863012460  Run 351671, LB 84, lumi 19.22
Event Veto ['MiniNoiseBurst'], Fri Jun  1 19:47:26 2018 UTC-Fri Jun  1 19:47:26 2018 UTC (0.001 )  Time stamp start 1527882446880910320 end 1527882446879910320  Run 351671, LB 85, lumi 19.32
Event Veto ['MiniNoiseBurst'], Fri Jun  1 19:47:38 2018 UTC-Fri Jun  1 19:47:38 2018 UTC (0.001 )  Time stamp start 1527882458948825595 end 1527882458947825595  Run 351671, LB 85, lumi 19.32
Event Veto ['MiniNoiseBurst'], Fri Jun  1 19:47:53 2018 UTC-Fri Jun  1 19:47:53 2018 UTC (0.001 )  Time stamp start 1527882473155210065 end 1527882473154210065  Run 351671, LB 86, lumi 19.26
Event Veto ['MiniNoiseBurst'], Fri Jun  1 19:48:00 2018 UTC-Fri Jun  1 19:48:00 2018 UTC (0.001 )  Time stamp start 1527882480464944410 end 1527882480463944410  Run 351671, LB 86, lumi 19.26
Event Veto ['NoiseBurst'], Fri Jun  1 19:48:15 2018 UTC-Fri Jun  1 19:48:15 2018 UTC (0.001 )  Time stamp start 1527882495610732795 end 1527882495609732545  Run 351671, LB 86, lumi 19.27
Event Veto ['NoiseBurst'], Fri Jun  1 19:48:30 2018 UTC-Fri Jun  1 19:48:30 2018 UTC (0.002 )  Time stamp start 1527882510286902605 end 1527882510284589325  Run 351671, LB 86, lumi 44.56
Event Veto ['NoiseBurst'], Fri Jun  1 19:48:30 2018 UTC-Fri Jun  1 19:48:30 2018 UTC (0.009 )  Time stamp start 1527882510295617950 end 1527882510286963310  Run 351671, LB 86, lumi 166.70
