Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 355861 to 355861
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 355861 to run 355861  lasting from Wed Jul 18 03:12:43 2018 UTC to Wed Jul 18 09:18:34 2018 UTC
Event Veto ['NoiseBurst'], Wed Jul 18 04:04:24 2018 UTC-Wed Jul 18 04:04:24 2018 UTC (0.001 )  Time stamp start 1531886664981613320 end 1531886664980612570  Run 355861, LB 57, lumi 19.33
Event Veto ['MiniNoiseBurst'], Wed Jul 18 04:04:44 2018 UTC-Wed Jul 18 04:04:44 2018 UTC (0.001 )  Time stamp start 1531886684156176490 end 1531886684155176490  Run 355861, LB 57, lumi 19.31
Event Veto ['MiniNoiseBurst'], Wed Jul 18 04:05:08 2018 UTC-Wed Jul 18 04:05:08 2018 UTC (0.001 )  Time stamp start 1531886708964897885 end 1531886708963897885  Run 355861, LB 57, lumi 19.31
Event Veto ['MiniNoiseBurst'], Wed Jul 18 04:05:59 2018 UTC-Wed Jul 18 04:05:59 2018 UTC (0.001 )  Time stamp start 1531886759804250150 end 1531886759803250150  Run 355861, LB 58, lumi 19.27
Event Veto ['NoiseBurst'], Wed Jul 18 04:06:22 2018 UTC-Wed Jul 18 04:06:22 2018 UTC (0.001 )  Time stamp start 1531886782085621085 end 1531886782084620215  Run 355861, LB 59, lumi 19.23
Event Veto ['NoiseBurst'], Wed Jul 18 04:06:23 2018 UTC-Wed Jul 18 04:06:23 2018 UTC (0.001 )  Time stamp start 1531886783560305425 end 1531886783559304675  Run 355861, LB 59, lumi 19.23
Event Veto ['NoiseBurst'], Wed Jul 18 04:06:26 2018 UTC-Wed Jul 18 04:06:26 2018 UTC (0.001 )  Time stamp start 1531886786056366510 end 1531886786055365760  Run 355861, LB 59, lumi 19.23
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Jul 18 04:06:28 2018 UTC-Wed Jul 18 04:06:28 2018 UTC (0.001 )  Time stamp start 1531886788429332025 end 1531886788428332025  Run 355861, LB 59, lumi 19.21
Event Veto ['NoiseBurst'], Wed Jul 18 04:06:33 2018 UTC-Wed Jul 18 04:06:33 2018 UTC (0.001 )  Time stamp start 1531886793901650600 end 1531886793900650475  Run 355861, LB 59, lumi 19.21
Event Veto ['MiniNoiseBurst'], Wed Jul 18 04:06:48 2018 UTC-Wed Jul 18 04:06:48 2018 UTC (0.001 )  Time stamp start 1531886808390081705 end 1531886808389081705  Run 355861, LB 59, lumi 19.21
Event Veto ['MiniNoiseBurst'], Wed Jul 18 04:07:01 2018 UTC-Wed Jul 18 04:07:01 2018 UTC (0.001 )  Time stamp start 1531886821218168170 end 1531886821217168170  Run 355861, LB 59, lumi 19.21
Event Veto ['NoiseBurst'], Wed Jul 18 04:07:12 2018 UTC-Wed Jul 18 04:07:12 2018 UTC (0.001 )  Time stamp start 1531886832413191980 end 1531886832412191360  Run 355861, LB 59, lumi 19.22
Event Veto ['NoiseBurst'], Wed Jul 18 04:07:13 2018 UTC-Wed Jul 18 04:07:13 2018 UTC (0.001 )  Time stamp start 1531886833532095560 end 1531886833531095435  Run 355861, LB 59, lumi 19.21
Event Veto ['MiniNoiseBurst'], Wed Jul 18 04:07:14 2018 UTC-Wed Jul 18 04:07:14 2018 UTC (0.001 )  Time stamp start 1531886834289782215 end 1531886834288782215  Run 355861, LB 59, lumi 19.21
