Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 339590 to 339590
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 339590 to run 339590  lasting from Tue Oct 31 14:00:01 2017 UTC to Tue Oct 31 16:27:41 2017 UTC
Event Veto ['MiniNoiseBurst'], Tue Oct 31 15:22:43 2017 UTC-Tue Oct 31 15:22:43 2017 UTC (0.001 )  Time stamp start 1509463363373072180 end 1509463363372072180  Run 339590, LB 91, lumi 14.95
Event Veto ['MiniNoiseBurst'], Tue Oct 31 15:22:53 2017 UTC-Tue Oct 31 15:22:53 2017 UTC (0.001 )  Time stamp start 1509463373521683545 end 1509463373520683545  Run 339590, LB 91, lumi 14.95
Event Veto ['MiniNoiseBurst'], Tue Oct 31 15:22:54 2017 UTC-Tue Oct 31 15:22:54 2017 UTC (0.001 )  Time stamp start 1509463374714464345 end 1509463374713464345  Run 339590, LB 91, lumi 14.95
Event Veto ['MiniNoiseBurst'], Tue Oct 31 15:23:45 2017 UTC-Tue Oct 31 15:23:45 2017 UTC (0.001 )  Time stamp start 1509463425365282750 end 1509463425364282750  Run 339590, LB 92, lumi 14.83
Event Veto ['MiniNoiseBurst'], Tue Oct 31 15:28:21 2017 UTC-Tue Oct 31 15:28:21 2017 UTC (0.001 )  Time stamp start 1509463701480512325 end 1509463701479512325  Run 339590, LB 97, lumi 15.08
Event Veto ['MiniNoiseBurst'], Tue Oct 31 15:28:40 2017 UTC-Tue Oct 31 15:28:40 2017 UTC (0.001 )  Time stamp start 1509463720257857275 end 1509463720256857275  Run 339590, LB 98, lumi 15.09
Event Veto ['MiniNoiseBurst'], Tue Oct 31 15:29:54 2017 UTC-Tue Oct 31 15:29:54 2017 UTC (0.001 )  Time stamp start 1509463794042154910 end 1509463794041154910  Run 339590, LB 99, lumi 15.14
Event Veto ['MiniNoiseBurst'], Tue Oct 31 15:30:05 2017 UTC-Tue Oct 31 15:30:05 2017 UTC (0.001 )  Time stamp start 1509463805016045915 end 1509463805015045915  Run 339590, LB 99, lumi 15.14
Event Veto ['MiniNoiseBurst'], Tue Oct 31 15:30:06 2017 UTC-Tue Oct 31 15:30:06 2017 UTC (0.001 )  Time stamp start 1509463806181556155 end 1509463806180556155  Run 339590, LB 99, lumi 15.14
Event Veto ['MiniNoiseBurst'], Tue Oct 31 15:30:15 2017 UTC-Tue Oct 31 15:30:15 2017 UTC (0.001 )  Time stamp start 1509463815928337435 end 1509463815927337435  Run 339590, LB 99, lumi 15.14
