Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 340368 to 340368
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 340368 to run 340368  lasting from Thu Nov  9 00:27:52 2017 UTC to Thu Nov  9 11:08:31 2017 UTC
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:26:36 2017 UTC-Thu Nov  9 01:26:36 2017 UTC (0.001 )  Time stamp start 1510190796599465970 end 1510190796598465970  Run 340368, LB 65, lumi 15.22
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:27:05 2017 UTC-Thu Nov  9 01:27:05 2017 UTC (0.001 )  Time stamp start 1510190825974087890 end 1510190825973087890  Run 340368, LB 65, lumi 15.22
Event Veto ['NoiseBurst'], Thu Nov  9 01:28:11 2017 UTC-Thu Nov  9 01:28:11 2017 UTC (0.001 )  Time stamp start 1510190891603580305 end 1510190891602579235  Run 340368, LB 66, lumi 14.87
Event Veto ['NoiseBurst'], Thu Nov  9 01:29:12 2017 UTC-Thu Nov  9 01:29:12 2017 UTC (0.001 )  Time stamp start 1510190952199558095 end 1510190952198383390  Run 340368, LB 67, lumi 17.50
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:29:19 2017 UTC-Thu Nov  9 01:29:19 2017 UTC (0.001 )  Time stamp start 1510190959847728365 end 1510190959846728365  Run 340368, LB 67, lumi 14.90
Event Veto ['NoiseBurst'], Thu Nov  9 01:29:28 2017 UTC-Thu Nov  9 01:29:28 2017 UTC (0.001 )  Time stamp start 1510190968772489845 end 1510190968771489145  Run 340368, LB 67, lumi 14.91
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:29:32 2017 UTC-Thu Nov  9 01:29:32 2017 UTC (0.001 )  Time stamp start 1510190972252787155 end 1510190972251787155  Run 340368, LB 67, lumi 14.90
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:29:32 2017 UTC-Thu Nov  9 01:29:32 2017 UTC (0.001 )  Time stamp start 1510190972679841225 end 1510190972678841225  Run 340368, LB 67, lumi 14.90
Event Veto ['NoiseBurst'], Thu Nov  9 01:30:21 2017 UTC-Thu Nov  9 01:30:21 2017 UTC (0.001 )  Time stamp start 1510191021329423190 end 1510191021328421815  Run 340368, LB 68, lumi 15.00
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:30:57 2017 UTC-Thu Nov  9 01:30:57 2017 UTC (0.001 )  Time stamp start 1510191057156576275 end 1510191057155576275  Run 340368, LB 69, lumi 15.06
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:32:11 2017 UTC-Thu Nov  9 01:32:11 2017 UTC (0.001 )  Time stamp start 1510191131797823720 end 1510191131796823720  Run 340368, LB 71, lumi 15.11
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:32:44 2017 UTC-Thu Nov  9 01:32:44 2017 UTC (0.001 )  Time stamp start 1510191164987825330 end 1510191164986825330  Run 340368, LB 72, lumi 15.15
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:33:05 2017 UTC-Thu Nov  9 01:33:05 2017 UTC (0.001 )  Time stamp start 1510191185715448590 end 1510191185714448590  Run 340368, LB 73, lumi 15.15
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:33:06 2017 UTC-Thu Nov  9 01:33:06 2017 UTC (0.001 )  Time stamp start 1510191186613050110 end 1510191186612050110  Run 340368, LB 73, lumi 15.15
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:33:06 2017 UTC-Thu Nov  9 01:33:06 2017 UTC (0.001 )  Time stamp start 1510191186700145830 end 1510191186698719000  Run 340368, LB 73, lumi 21.62
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:33:34 2017 UTC-Thu Nov  9 01:33:34 2017 UTC (0.001 )  Time stamp start 1510191214073447280 end 1510191214072447280  Run 340368, LB 73, lumi 15.15
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:33:53 2017 UTC-Thu Nov  9 01:33:53 2017 UTC (0.001 )  Time stamp start 1510191233702720610 end 1510191233701720610  Run 340368, LB 73, lumi 15.15
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:33:59 2017 UTC-Thu Nov  9 01:33:59 2017 UTC (0.001 )  Time stamp start 1510191239575636260 end 1510191239574636260  Run 340368, LB 73, lumi 15.15
Event Veto ['NoiseBurst'], Thu Nov  9 01:34:14 2017 UTC-Thu Nov  9 01:34:14 2017 UTC (0.001 )  Time stamp start 1510191254113175130 end 1510191254112078245  Run 340368, LB 74, lumi 16.64
Event Veto ['NoiseBurst'], Thu Nov  9 01:34:14 2017 UTC-Thu Nov  9 01:34:14 2017 UTC (0.001 )  Time stamp start 1510191254117072310 end 1510191254116002375  Run 340368, LB 74, lumi 16.23
Event Veto ['NoiseBurst'], Thu Nov  9 01:34:14 2017 UTC-Thu Nov  9 01:34:14 2017 UTC (0.001 )  Time stamp start 1510191254118496375 end 1510191254117230675  Run 340368, LB 74, lumi 19.20
Event Veto ['NoiseBurst'], Thu Nov  9 01:34:14 2017 UTC-Thu Nov  9 01:34:14 2017 UTC (0.002 )  Time stamp start 1510191254235144150 end 1510191254232863005  Run 340368, LB 74, lumi 34.60
Event Veto ['NoiseBurst'], Thu Nov  9 01:34:14 2017 UTC-Thu Nov  9 01:34:14 2017 UTC (0.002 )  Time stamp start 1510191254238724235 end 1510191254237204935  Run 340368, LB 74, lumi 23.05
Event Veto ['NoiseBurst'], Thu Nov  9 01:34:14 2017 UTC-Thu Nov  9 01:34:14 2017 UTC (0.001 )  Time stamp start 1510191254240118230 end 1510191254239117335  Run 340368, LB 74, lumi 15.18
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:34:40 2017 UTC-Thu Nov  9 01:34:40 2017 UTC (0.001 )  Time stamp start 1510191280681906915 end 1510191280680906915  Run 340368, LB 76, lumi 15.23
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:34:46 2017 UTC-Thu Nov  9 01:34:46 2017 UTC (0.001 )  Time stamp start 1510191286048537920 end 1510191286047537920  Run 340368, LB 76, lumi 15.23
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:38:04 2017 UTC-Thu Nov  9 01:38:04 2017 UTC (0.001 )  Time stamp start 1510191484128212375 end 1510191484127212375  Run 340368, LB 81, lumi 15.30
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:38:04 2017 UTC-Thu Nov  9 01:38:04 2017 UTC (0.001 )  Time stamp start 1510191484499511195 end 1510191484498511195  Run 340368, LB 81, lumi 15.30
