Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 359823 to 359823
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 359823 to run 359823  lasting from Mon Sep  3 15:37:16 2018 UTC to Tue Sep  4 04:02:49 2018 UTC
Event Veto ['MiniNoiseBurst'], Mon Sep  3 17:15:31 2018 UTC-Mon Sep  3 17:15:31 2018 UTC (0.001 )  Time stamp start 1535994931978622670 end 1535994931977622670  Run 359823, LB 137, lumi 18.57
Event Veto ['NoiseBurst'], Mon Sep  3 17:21:22 2018 UTC-Mon Sep  3 17:21:22 2018 UTC (0.001 )  Time stamp start 1535995282997880115 end 1535995282996811900  Run 359823, LB 143, lumi 19.68
Event Veto ['NoiseBurst'], Mon Sep  3 17:21:22 2018 UTC-Mon Sep  3 17:21:23 2018 UTC (0.002 )  Time stamp start 1535995283000537120 end 1535995282998809555  Run 359823, LB 143, lumi 31.83
Event Veto ['MiniNoiseBurst'], Mon Sep  3 17:21:52 2018 UTC-Mon Sep  3 17:21:52 2018 UTC (0.001 )  Time stamp start 1535995312551524955 end 1535995312550524955  Run 359823, LB 143, lumi 18.43
Event Veto ['NoiseBurst'], Mon Sep  3 17:21:56 2018 UTC-Mon Sep  3 17:21:56 2018 UTC (0.001 )  Time stamp start 1535995316067626710 end 1535995316066625960  Run 359823, LB 143, lumi 18.44
Event Veto ['NoiseBurst'], Mon Sep  3 17:26:21 2018 UTC-Mon Sep  3 17:26:21 2018 UTC (0.001 )  Time stamp start 1535995581373175540 end 1535995581372174715  Run 359823, LB 148, lumi 18.21
Event Veto ['NoiseBurst'], Mon Sep  3 17:26:35 2018 UTC-Mon Sep  3 17:26:35 2018 UTC (0.001 )  Time stamp start 1535995595870775705 end 1535995595869534405  Run 359823, LB 148, lumi 22.59
Event Veto ['NoiseBurst'], Mon Sep  3 17:26:56 2018 UTC-Mon Sep  3 17:26:56 2018 UTC (0.001 )  Time stamp start 1535995616121256835 end 1535995616120255960  Run 359823, LB 148, lumi 18.21
Event Veto ['NoiseBurst'], Mon Sep  3 17:28:21 2018 UTC-Mon Sep  3 17:28:21 2018 UTC (0.001 )  Time stamp start 1535995701880296885 end 1535995701879296385  Run 359823, LB 151, lumi 18.16
Event Veto ['MiniNoiseBurst'], Mon Sep  3 17:28:22 2018 UTC-Mon Sep  3 17:28:22 2018 UTC (0.001 )  Time stamp start 1535995702918807755 end 1535995702917807755  Run 359823, LB 151, lumi 18.15
Event Veto ['NoiseBurst'], Mon Sep  3 17:32:10 2018 UTC-Mon Sep  3 17:32:10 2018 UTC (0.002 )  Time stamp start 1535995930813607225 end 1535995930811802485  Run 359823, LB 155, lumi 32.57
Event Veto ['MiniNoiseBurst'], Mon Sep  3 17:34:40 2018 UTC-Mon Sep  3 17:34:40 2018 UTC (0.001 )  Time stamp start 1535996080638990000 end 1535996080637990000  Run 359823, LB 158, lumi 17.94
Event Veto ['NoiseBurst'], Mon Sep  3 17:40:32 2018 UTC-Mon Sep  3 17:40:32 2018 UTC (0.001 )  Time stamp start 1535996432455849600 end 1535996432454828915  Run 359823, LB 164, lumi 18.05
Event Veto ['NoiseBurst'], Mon Sep  3 17:40:32 2018 UTC-Mon Sep  3 17:40:32 2018 UTC (0.002 )  Time stamp start 1535996432458844240 end 1535996432457206820  Run 359823, LB 164, lumi 28.96
Event Veto ['MiniNoiseBurst'], Mon Sep  3 17:40:42 2018 UTC-Mon Sep  3 17:40:42 2018 UTC (0.001 )  Time stamp start 1535996442127701415 end 1535996442126701415  Run 359823, LB 164, lumi 17.69
Event Veto ['MiniNoiseBurst'], Mon Sep  3 17:41:36 2018 UTC-Mon Sep  3 17:41:36 2018 UTC (0.001 )  Time stamp start 1535996496372339555 end 1535996496371338935  Run 359823, LB 165, lumi 17.64
Event Veto ['MiniNoiseBurst'], Mon Sep  3 17:42:07 2018 UTC-Mon Sep  3 17:42:07 2018 UTC (0.001 )  Time stamp start 1535996527948937470 end 1535996527947937470  Run 359823, LB 167, lumi 17.63
Event Veto ['DataCorruption'], Mon Sep  3 17:43:42 2018 UTC-Mon Sep  3 17:43:46 2018 UTC (3.730 )  Time stamp start 1535996626664325980 end 1535996622934532245  Run 359823, LB 168, lumi 65535.95
Event Veto ['MiniNoiseBurst'], Mon Sep  3 17:44:04 2018 UTC-Mon Sep  3 17:44:04 2018 UTC (0.001 )  Time stamp start 1535996644251401020 end 1535996644250401020  Run 359823, LB 169, lumi 17.55
Event Veto ['NoiseBurst'], Mon Sep  3 17:44:14 2018 UTC-Mon Sep  3 17:44:14 2018 UTC (0.001 )  Time stamp start 1535996654369017515 end 1535996654368016965  Run 359823, LB 169, lumi 17.56
Event Veto ['MiniNoiseBurst'], Mon Sep  3 17:44:45 2018 UTC-Mon Sep  3 17:44:45 2018 UTC (0.001 )  Time stamp start 1535996685315622765 end 1535996685314622765  Run 359823, LB 169, lumi 17.55
Event Veto ['NoiseBurst'], Mon Sep  3 17:45:16 2018 UTC-Mon Sep  3 17:45:16 2018 UTC (0.001 )  Time stamp start 1535996716952068375 end 1535996716951067750  Run 359823, LB 170, lumi 17.57
Event Veto ['MiniNoiseBurst'], Mon Sep  3 17:45:47 2018 UTC-Mon Sep  3 17:45:47 2018 UTC (0.001 )  Time stamp start 1535996747451485710 end 1535996747450485710  Run 359823, LB 170, lumi 17.56
Event Veto ['MiniNoiseBurst'], Mon Sep  3 17:45:48 2018 UTC-Mon Sep  3 17:45:48 2018 UTC (0.001 )  Time stamp start 1535996748560944210 end 1535996748559516830  Run 359823, LB 170, lumi 25.07
Event Veto ['NoiseBurst'], Mon Sep  3 17:46:45 2018 UTC-Mon Sep  3 17:46:45 2018 UTC (0.002 )  Time stamp start 1535996805132212120 end 1535996805129985345  Run 359823, LB 171, lumi 39.04
Event Veto ['MiniNoiseBurst'], Mon Sep  3 17:47:02 2018 UTC-Mon Sep  3 17:47:02 2018 UTC (0.002 )  Time stamp start 1535996822373514830 end 1535996822371598760  Run 359823, LB 172, lumi 33.52
Event Veto ['MiniNoiseBurst'], Mon Sep  3 17:47:32 2018 UTC-Mon Sep  3 17:47:32 2018 UTC (0.001 )  Time stamp start 1535996852222521835 end 1535996852221521835  Run 359823, LB 172, lumi 17.50
Event Veto ['MiniNoiseBurst'], Mon Sep  3 17:48:23 2018 UTC-Mon Sep  3 17:48:23 2018 UTC (0.001 )  Time stamp start 1535996903343984490 end 1535996903342984490  Run 359823, LB 173, lumi 17.44
Event Veto ['NoiseBurst'], Mon Sep  3 17:48:58 2018 UTC-Mon Sep  3 17:48:58 2018 UTC (0.001 )  Time stamp start 1535996938292040695 end 1535996938290955515  Run 359823, LB 174, lumi 18.90
Event Veto ['MiniNoiseBurst'], Mon Sep  3 17:49:51 2018 UTC-Mon Sep  3 17:49:51 2018 UTC (0.001 )  Time stamp start 1535996991594202910 end 1535996991593202910  Run 359823, LB 174, lumi 17.41
Event Veto ['MiniNoiseBurst'], Mon Sep  3 17:50:06 2018 UTC-Mon Sep  3 17:50:06 2018 UTC (0.001 )  Time stamp start 1535997006350200225 end 1535997006349200225  Run 359823, LB 175, lumi 17.36
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Sep  3 17:52:15 2018 UTC-Mon Sep  3 17:52:15 2018 UTC (0.001 )  Time stamp start 1535997135733244495 end 1535997135732070240  Run 359823, LB 177, lumi 20.30
Event Veto ['MiniNoiseBurst'], Mon Sep  3 17:54:12 2018 UTC-Mon Sep  3 17:54:12 2018 UTC (0.001 )  Time stamp start 1535997252732040490 end 1535997252731040490  Run 359823, LB 179, lumi 16.59
Event Veto ['NoiseBurst'], Mon Sep  3 17:54:21 2018 UTC-Mon Sep  3 17:54:21 2018 UTC (0.001 )  Time stamp start 1535997261520437930 end 1535997261519076795  Run 359823, LB 179, lumi 22.58
Event Veto ['NoiseBurst'], Mon Sep  3 17:56:20 2018 UTC-Mon Sep  3 17:56:20 2018 UTC (0.001 )  Time stamp start 1535997380014501640 end 1535997380013501265  Run 359823, LB 181, lumi 17.32
Event Veto ['MiniNoiseBurst'], Mon Sep  3 17:58:25 2018 UTC-Mon Sep  3 17:58:25 2018 UTC (0.001 )  Time stamp start 1535997505069566855 end 1535997505068566855  Run 359823, LB 184, lumi 17.26
Event Veto ['NoiseBurst'], Mon Sep  3 18:00:06 2018 UTC-Mon Sep  3 18:00:06 2018 UTC (0.001 )  Time stamp start 1535997606324466680 end 1535997606323443175  Run 359823, LB 186, lumi 17.59
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Sep  3 18:02:08 2018 UTC-Mon Sep  3 18:02:08 2018 UTC (0.001 )  Time stamp start 1535997728388266230 end 1535997728387266230  Run 359823, LB 188, lumi 17.18
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:03:00 2018 UTC-Mon Sep  3 18:03:00 2018 UTC (0.001 )  Time stamp start 1535997780830298670 end 1535997780829298670  Run 359823, LB 188, lumi 17.18
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:05:00 2018 UTC-Mon Sep  3 18:05:00 2018 UTC (0.001 )  Time stamp start 1535997900483220025 end 1535997900482220025  Run 359823, LB 190, lumi 17.11
Event Veto ['NoiseBurst'], Mon Sep  3 18:07:46 2018 UTC-Mon Sep  3 18:07:46 2018 UTC (0.001 )  Time stamp start 1535998066382821365 end 1535998066381820620  Run 359823, LB 193, lumi 17.02
Event Veto ['NoiseBurst'], Mon Sep  3 18:08:24 2018 UTC-Mon Sep  3 18:08:24 2018 UTC (0.001 )  Time stamp start 1535998104534726675 end 1535998104533726300  Run 359823, LB 194, lumi 17.00
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:09:10 2018 UTC-Mon Sep  3 18:09:10 2018 UTC (0.001 )  Time stamp start 1535998150709215360 end 1535998150708215360  Run 359823, LB 195, lumi 16.95
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:10:25 2018 UTC-Mon Sep  3 18:10:25 2018 UTC (0.001 )  Time stamp start 1535998225279322130 end 1535998225278322130  Run 359823, LB 196, lumi 16.92
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:11:09 2018 UTC-Mon Sep  3 18:11:09 2018 UTC (0.001 )  Time stamp start 1535998269695864795 end 1535998269694864795  Run 359823, LB 197, lumi 16.90
Event Veto ['NoiseBurst'], Mon Sep  3 18:12:19 2018 UTC-Mon Sep  3 18:12:19 2018 UTC (0.001 )  Time stamp start 1535998339235932385 end 1535998339234931885  Run 359823, LB 198, lumi 16.87
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Sep  3 18:12:31 2018 UTC-Mon Sep  3 18:12:31 2018 UTC (0.001 )  Time stamp start 1535998351443067845 end 1535998351442067845  Run 359823, LB 199, lumi 16.82
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:13:07 2018 UTC-Mon Sep  3 18:13:07 2018 UTC (0.001 )  Time stamp start 1535998387180156915 end 1535998387179156915  Run 359823, LB 199, lumi 16.82
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Sep  3 18:13:57 2018 UTC-Mon Sep  3 18:13:57 2018 UTC (0.001 )  Time stamp start 1535998437818466775 end 1535998437817466775  Run 359823, LB 200, lumi 16.79
