Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 357679 to 357679
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 357679 to run 357679  lasting from Mon Aug  6 06:42:56 2018 UTC to Mon Aug  6 23:12:01 2018 UTC
Event Veto ['MiniNoiseBurst'], Mon Aug  6 09:21:41 2018 UTC-Mon Aug  6 09:21:41 2018 UTC (0.001 )  Time stamp start 1533547301944172015 end 1533547301943171890  Run 357679, LB 163, lumi 17.88
Event Veto ['MiniNoiseBurst'], Mon Aug  6 09:21:44 2018 UTC-Mon Aug  6 09:21:44 2018 UTC (0.001 )  Time stamp start 1533547304013569975 end 1533547304012569975  Run 357679, LB 163, lumi 17.88
Event Veto ['MiniNoiseBurst'], Mon Aug  6 09:21:50 2018 UTC-Mon Aug  6 09:21:50 2018 UTC (0.001 )  Time stamp start 1533547310896997420 end 1533547310895997420  Run 357679, LB 163, lumi 17.88
Event Veto ['MiniNoiseBurst'], Mon Aug  6 09:22:00 2018 UTC-Mon Aug  6 09:22:00 2018 UTC (0.001 )  Time stamp start 1533547320039121845 end 1533547320038121845  Run 357679, LB 163, lumi 17.88
Event Veto ['MiniNoiseBurst'], Mon Aug  6 09:22:08 2018 UTC-Mon Aug  6 09:22:08 2018 UTC (0.001 )  Time stamp start 1533547328655022890 end 1533547328654022765  Run 357679, LB 164, lumi 17.78
Event Veto ['MiniNoiseBurst'], Mon Aug  6 09:22:16 2018 UTC-Mon Aug  6 09:22:16 2018 UTC (0.001 )  Time stamp start 1533547336398257550 end 1533547336397257425  Run 357679, LB 164, lumi 17.78
Event Veto ['MiniNoiseBurst'], Mon Aug  6 09:22:26 2018 UTC-Mon Aug  6 09:22:26 2018 UTC (0.001 )  Time stamp start 1533547346992467465 end 1533547346991467340  Run 357679, LB 164, lumi 17.78
Event Veto ['MiniNoiseBurst'], Mon Aug  6 09:23:15 2018 UTC-Mon Aug  6 09:23:15 2018 UTC (0.001 )  Time stamp start 1533547395024119725 end 1533547395023119600  Run 357679, LB 165, lumi 17.77
Event Veto ['MiniNoiseBurst'], Mon Aug  6 09:23:26 2018 UTC-Mon Aug  6 09:23:26 2018 UTC (0.001 )  Time stamp start 1533547406527590640 end 1533547406526590515  Run 357679, LB 165, lumi 17.77
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Aug  6 09:23:33 2018 UTC-Mon Aug  6 09:23:33 2018 UTC (0.001 )  Time stamp start 1533547413083660760 end 1533547413082660760  Run 357679, LB 165, lumi 17.77
Event Veto ['MiniNoiseBurst'], Mon Aug  6 09:23:37 2018 UTC-Mon Aug  6 09:23:37 2018 UTC (0.001 )  Time stamp start 1533547417450834920 end 1533547417449834795  Run 357679, LB 165, lumi 17.77
Event Veto ['MiniNoiseBurst'], Mon Aug  6 09:23:47 2018 UTC-Mon Aug  6 09:23:47 2018 UTC (0.001 )  Time stamp start 1533547427209545800 end 1533547427208545675  Run 357679, LB 165, lumi 17.77
Event Veto ['NoiseBurst'], Mon Aug  6 09:23:51 2018 UTC-Mon Aug  6 09:23:51 2018 UTC (0.001 )  Time stamp start 1533547431702212700 end 1533547431701211700  Run 357679, LB 165, lumi 17.79
Event Veto ['MiniNoiseBurst'], Mon Aug  6 09:24:16 2018 UTC-Mon Aug  6 09:24:16 2018 UTC (0.001 )  Time stamp start 1533547456753594065 end 1533547456752593940  Run 357679, LB 166, lumi 17.57
Event Veto ['MiniNoiseBurst'], Mon Aug  6 09:24:23 2018 UTC-Mon Aug  6 09:24:23 2018 UTC (0.001 )  Time stamp start 1533547463845564285 end 1533547463844564160  Run 357679, LB 166, lumi 17.57
Event Veto ['MiniNoiseBurst'], Mon Aug  6 09:24:38 2018 UTC-Mon Aug  6 09:24:38 2018 UTC (0.001 )  Time stamp start 1533547478216396325 end 1533547478215396325  Run 357679, LB 166, lumi 17.57
Event Veto ['MiniNoiseBurst'], Mon Aug  6 09:26:10 2018 UTC-Mon Aug  6 09:26:10 2018 UTC (0.001 )  Time stamp start 1533547570405966495 end 1533547570404966495  Run 357679, LB 168, lumi 16.74
Event Veto ['MiniNoiseBurst'], Mon Aug  6 09:26:12 2018 UTC-Mon Aug  6 09:26:12 2018 UTC (0.001 )  Time stamp start 1533547572089576010 end 1533547572088576010  Run 357679, LB 168, lumi 16.74
Event Veto ['MiniNoiseBurst'], Mon Aug  6 09:27:08 2018 UTC-Mon Aug  6 09:27:08 2018 UTC (0.001 )  Time stamp start 1533547628649975465 end 1533547628648975465  Run 357679, LB 169, lumi 17.74
Event Veto ['NoiseBurst'], Mon Aug  6 09:28:41 2018 UTC-Mon Aug  6 09:28:41 2018 UTC (0.001 )  Time stamp start 1533547721034022980 end 1533547721033021980  Run 357679, LB 170, lumi 17.73
Event Veto ['MiniNoiseBurst'], Mon Aug  6 09:29:14 2018 UTC-Mon Aug  6 09:29:14 2018 UTC (0.001 )  Time stamp start 1533547754086502975 end 1533547754085502850  Run 357679, LB 171, lumi 17.67
Event Veto ['NoiseBurst'], Mon Aug  6 09:31:37 2018 UTC-Mon Aug  6 09:31:37 2018 UTC (0.002 )  Time stamp start 1533547897905898770 end 1533547897903517100  Run 357679, LB 173, lumi 42.34
Event Veto ['MiniNoiseBurst'], Mon Aug  6 09:32:56 2018 UTC-Mon Aug  6 09:32:56 2018 UTC (0.001 )  Time stamp start 1533547976658476360 end 1533547976657476360  Run 357679, LB 174, lumi 17.72
Event Veto ['NoiseBurst'], Mon Aug  6 09:35:08 2018 UTC-Mon Aug  6 09:35:08 2018 UTC (0.222 )  Time stamp start 1533548108354379905 end 1533548108132177745  Run 357679, LB 177, lumi 3908.78
Event Veto ['MiniNoiseBurst'], Mon Aug  6 09:35:42 2018 UTC-Mon Aug  6 09:35:42 2018 UTC (0.001 )  Time stamp start 1533548142713074435 end 1533548142712074310  Run 357679, LB 177, lumi 17.59
Event Veto ['MiniNoiseBurst'], Mon Aug  6 09:35:55 2018 UTC-Mon Aug  6 09:35:55 2018 UTC (0.001 )  Time stamp start 1533548155437403915 end 1533548155436403790  Run 357679, LB 178, lumi 17.55
Event Veto ['MiniNoiseBurst'], Mon Aug  6 09:36:03 2018 UTC-Mon Aug  6 09:36:03 2018 UTC (0.001 )  Time stamp start 1533548163895827055 end 1533548163894826930  Run 357679, LB 178, lumi 17.55
Event Veto ['MiniNoiseBurst'], Mon Aug  6 09:36:29 2018 UTC-Mon Aug  6 09:36:29 2018 UTC (0.001 )  Time stamp start 1533548189841204620 end 1533548189840204495  Run 357679, LB 178, lumi 17.55
Event Veto ['MiniNoiseBurst'], Mon Aug  6 09:36:36 2018 UTC-Mon Aug  6 09:36:36 2018 UTC (0.001 )  Time stamp start 1533548196469948755 end 1533548196468948755  Run 357679, LB 178, lumi 17.55
Event Veto ['MiniNoiseBurst'], Mon Aug  6 09:36:57 2018 UTC-Mon Aug  6 09:36:57 2018 UTC (0.001 )  Time stamp start 1533548217902459725 end 1533548217901459725  Run 357679, LB 179, lumi 17.50
Event Veto ['MiniNoiseBurst'], Mon Aug  6 09:37:06 2018 UTC-Mon Aug  6 09:37:06 2018 UTC (0.001 )  Time stamp start 1533548226439766200 end 1533548226438766200  Run 357679, LB 179, lumi 17.50
