Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 307619 to 307619
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 307619 to run 307619  lasting from Thu Sep  1 21:23:25 2016 UTC to Fri Sep  2 01:31:50 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:13:45 2016 UTC-Thu Sep  1 23:13:45 2016 UTC (0.010 )  Time stamp start 1472771625134432660 end 1472771625124432535  Run 307619, LB 122, lumi 91.38
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:13:48 2016 UTC-Thu Sep  1 23:13:48 2016 UTC (0.010 )  Time stamp start 1472771628487598725 end 1472771628477598600  Run 307619, LB 122, lumi 91.38
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:13:51 2016 UTC-Thu Sep  1 23:13:52 2016 UTC (0.010 )  Time stamp start 1472771632006279245 end 1472771631996279120  Run 307619, LB 122, lumi 91.38
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:13:56 2016 UTC-Thu Sep  1 23:13:56 2016 UTC (0.010 )  Time stamp start 1472771636240615225 end 1472771636230615050  Run 307619, LB 122, lumi 91.38
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:15:29 2016 UTC-Thu Sep  1 23:15:29 2016 UTC (0.010 )  Time stamp start 1472771729342621755 end 1472771729332621755  Run 307619, LB 123, lumi 90.96
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:15:30 2016 UTC-Thu Sep  1 23:15:30 2016 UTC (0.010 )  Time stamp start 1472771730933812130 end 1472771730923812005  Run 307619, LB 123, lumi 90.96
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:15:34 2016 UTC-Thu Sep  1 23:15:34 2016 UTC (0.010 )  Time stamp start 1472771734393757360 end 1472771734383757235  Run 307619, LB 123, lumi 90.96
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Sep  1 23:15:38 2016 UTC-Thu Sep  1 23:15:38 2016 UTC (0.010 )  Time stamp start 1472771738584610165 end 1472771738574610165  Run 307619, LB 124, lumi 91.91
Event Veto ['NoiseBurst'], Thu Sep  1 23:15:38 2016 UTC-Thu Sep  1 23:15:38 2016 UTC (0.010 )  Time stamp start 1472771738966601050 end 1472771738956600030  Run 307619, LB 124, lumi 91.92
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:15:42 2016 UTC-Thu Sep  1 23:15:42 2016 UTC (0.010 )  Time stamp start 1472771742119227095 end 1472771742109226970  Run 307619, LB 124, lumi 91.91
Event Veto ['NoiseBurst'], Thu Sep  1 23:15:42 2016 UTC-Thu Sep  1 23:15:42 2016 UTC (0.010 )  Time stamp start 1472771742942454155 end 1472771742932279175  Run 307619, LB 124, lumi 93.51
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:15:45 2016 UTC-Thu Sep  1 23:15:45 2016 UTC (0.010 )  Time stamp start 1472771745805728660 end 1472771745795727535  Run 307619, LB 124, lumi 91.92
Event Veto ['NoiseBurst'], Thu Sep  1 23:15:46 2016 UTC-Thu Sep  1 23:15:46 2016 UTC (0.010 )  Time stamp start 1472771746107950835 end 1472771746097946645  Run 307619, LB 124, lumi 91.95
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:15:49 2016 UTC-Thu Sep  1 23:15:49 2016 UTC (0.010 )  Time stamp start 1472771749238461865 end 1472771749228461465  Run 307619, LB 124, lumi 91.91
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:15:53 2016 UTC-Thu Sep  1 23:15:53 2016 UTC (0.010 )  Time stamp start 1472771753379720505 end 1472771753369719505  Run 307619, LB 124, lumi 91.92
Event Veto ['NoiseBurst'], Thu Sep  1 23:15:53 2016 UTC-Thu Sep  1 23:15:53 2016 UTC (0.010 )  Time stamp start 1472771753759428575 end 1472771753749333140  Run 307619, LB 124, lumi 92.78
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:15:56 2016 UTC-Thu Sep  1 23:15:56 2016 UTC (0.010 )  Time stamp start 1472771756712082245 end 1472771756702081550  Run 307619, LB 124, lumi 91.91
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:16:00 2016 UTC-Thu Sep  1 23:16:00 2016 UTC (0.010 )  Time stamp start 1472771760338625685 end 1472771760328625560  Run 307619, LB 124, lumi 91.91
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:16:01 2016 UTC-Thu Sep  1 23:16:01 2016 UTC (0.010 )  Time stamp start 1472771761447202110 end 1472771761437202110  Run 307619, LB 124, lumi 91.91
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:16:04 2016 UTC-Thu Sep  1 23:16:04 2016 UTC (0.010 )  Time stamp start 1472771764611754780 end 1472771764601754580  Run 307619, LB 124, lumi 91.91
Event Veto ['NoiseBurst'], Thu Sep  1 23:16:05 2016 UTC-Thu Sep  1 23:16:05 2016 UTC (0.010 )  Time stamp start 1472771765447396700 end 1472771765437283775  Run 307619, LB 124, lumi 92.94
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:16:08 2016 UTC-Thu Sep  1 23:16:08 2016 UTC (0.010 )  Time stamp start 1472771768202445950 end 1472771768192444955  Run 307619, LB 124, lumi 91.92
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:16:12 2016 UTC-Thu Sep  1 23:16:12 2016 UTC (0.010 )  Time stamp start 1472771772549680935 end 1472771772539680810  Run 307619, LB 124, lumi 91.91
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:16:16 2016 UTC-Thu Sep  1 23:16:16 2016 UTC (0.010 )  Time stamp start 1472771776257154570 end 1472771776247153700  Run 307619, LB 124, lumi 91.91
Event Veto ['NoiseBurst'], Thu Sep  1 23:16:16 2016 UTC-Thu Sep  1 23:16:16 2016 UTC (0.010 )  Time stamp start 1472771776839782670 end 1472771776829781720  Run 307619, LB 124, lumi 91.92
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:16:20 2016 UTC-Thu Sep  1 23:16:20 2016 UTC (0.010 )  Time stamp start 1472771780481921145 end 1472771780471921145  Run 307619, LB 124, lumi 91.91
Event Veto ['NoiseBurst'], Thu Sep  1 23:16:23 2016 UTC-Thu Sep  1 23:16:23 2016 UTC (0.010 )  Time stamp start 1472771783160906865 end 1472771783150905995  Run 307619, LB 124, lumi 91.91
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:16:23 2016 UTC-Thu Sep  1 23:16:23 2016 UTC (0.010 )  Time stamp start 1472771783949076265 end 1472771783939076265  Run 307619, LB 124, lumi 91.91
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:16:30 2016 UTC-Thu Sep  1 23:16:30 2016 UTC (0.010 )  Time stamp start 1472771790698631790 end 1472771790688630565  Run 307619, LB 124, lumi 91.92
Event Veto ['NoiseBurst'], Thu Sep  1 23:16:31 2016 UTC-Thu Sep  1 23:16:31 2016 UTC (0.010 )  Time stamp start 1472771791898231430 end 1472771791888215660  Run 307619, LB 124, lumi 92.05
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:16:34 2016 UTC-Thu Sep  1 23:16:34 2016 UTC (0.010 )  Time stamp start 1472771794976663800 end 1472771794966663550  Run 307619, LB 124, lumi 91.91
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:16:38 2016 UTC-Thu Sep  1 23:16:38 2016 UTC (0.010 )  Time stamp start 1472771798414943900 end 1472771798404943780  Run 307619, LB 125, lumi 94.84
Event Veto ['NoiseBurst'], Thu Sep  1 23:16:38 2016 UTC-Thu Sep  1 23:16:38 2016 UTC (0.010 )  Time stamp start 1472771798611959110 end 1472771798601801400  Run 307619, LB 125, lumi 96.33
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:16:42 2016 UTC-Thu Sep  1 23:16:42 2016 UTC (0.010 )  Time stamp start 1472771802249919560 end 1472771802239918315  Run 307619, LB 125, lumi 94.85
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:16:45 2016 UTC-Thu Sep  1 23:16:45 2016 UTC (0.010 )  Time stamp start 1472771805735482890 end 1472771805725481640  Run 307619, LB 125, lumi 94.85
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Sep  1 23:16:49 2016 UTC-Thu Sep  1 23:16:49 2016 UTC (0.010 )  Time stamp start 1472771809268367240 end 1472771809258367240  Run 307619, LB 125, lumi 94.84
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:16:52 2016 UTC-Thu Sep  1 23:16:52 2016 UTC (0.010 )  Time stamp start 1472771812887287080 end 1472771812877286730  Run 307619, LB 125, lumi 94.84
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:16:56 2016 UTC-Thu Sep  1 23:16:56 2016 UTC (0.010 )  Time stamp start 1472771816608849625 end 1472771816598849500  Run 307619, LB 125, lumi 94.84
Event Veto ['NoiseBurst'], Thu Sep  1 23:16:56 2016 UTC-Thu Sep  1 23:16:56 2016 UTC (0.010 )  Time stamp start 1472771816650810955 end 1472771816640809835  Run 307619, LB 125, lumi 94.85
Event Veto ['NoiseBurst'], Thu Sep  1 23:16:58 2016 UTC-Thu Sep  1 23:16:58 2016 UTC (0.010 )  Time stamp start 1472771818369252675 end 1472771818359150425  Run 307619, LB 125, lumi 95.81
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:17:01 2016 UTC-Thu Sep  1 23:17:01 2016 UTC (0.010 )  Time stamp start 1472771821023954165 end 1472771821013953640  Run 307619, LB 125, lumi 94.84
Event Veto ['NoiseBurst'], Thu Sep  1 23:17:03 2016 UTC-Thu Sep  1 23:17:03 2016 UTC (0.010 )  Time stamp start 1472771823981673385 end 1472771823971655295  Run 307619, LB 125, lumi 95.01
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:17:04 2016 UTC-Thu Sep  1 23:17:04 2016 UTC (0.010 )  Time stamp start 1472771824365902105 end 1472771824355901980  Run 307619, LB 125, lumi 94.84
Event Veto ['NoiseBurst'], Thu Sep  1 23:17:05 2016 UTC-Thu Sep  1 23:17:05 2016 UTC (0.010 )  Time stamp start 1472771825099381330 end 1472771825089362715  Run 307619, LB 125, lumi 95.02
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:17:08 2016 UTC-Thu Sep  1 23:17:08 2016 UTC (0.010 )  Time stamp start 1472771828327767075 end 1472771828317766075  Run 307619, LB 125, lumi 94.85
Event Veto ['NoiseBurst'], Thu Sep  1 23:17:10 2016 UTC-Thu Sep  1 23:17:10 2016 UTC (0.010 )  Time stamp start 1472771830570106840 end 1472771830560105690  Run 307619, LB 125, lumi 94.85
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:17:11 2016 UTC-Thu Sep  1 23:17:11 2016 UTC (0.010 )  Time stamp start 1472771831545109420 end 1472771831535109295  Run 307619, LB 125, lumi 94.84
Event Veto ['NoiseBurst'], Thu Sep  1 23:17:12 2016 UTC-Thu Sep  1 23:17:12 2016 UTC (0.010 )  Time stamp start 1472771832081910045 end 1472771832071719245  Run 307619, LB 125, lumi 96.65
Event Veto ['NoiseBurst'], Thu Sep  1 23:17:15 2016 UTC-Thu Sep  1 23:17:15 2016 UTC (0.010 )  Time stamp start 1472771835839218290 end 1472771835829158635  Run 307619, LB 125, lumi 95.40
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:17:18 2016 UTC-Thu Sep  1 23:17:18 2016 UTC (0.010 )  Time stamp start 1472771838802657445 end 1472771838792657270  Run 307619, LB 125, lumi 94.84
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:17:22 2016 UTC-Thu Sep  1 23:17:22 2016 UTC (0.010 )  Time stamp start 1472771842346229795 end 1472771842336229295  Run 307619, LB 125, lumi 94.84
Event Veto ['NoiseBurst'], Thu Sep  1 23:17:22 2016 UTC-Thu Sep  1 23:17:22 2016 UTC (0.010 )  Time stamp start 1472771842861586180 end 1472771842851568340  Run 307619, LB 125, lumi 95.01
Event Veto ['NoiseBurst'], Thu Sep  1 23:17:28 2016 UTC-Thu Sep  1 23:17:28 2016 UTC (0.010 )  Time stamp start 1472771848860643135 end 1472771848850618930  Run 307619, LB 125, lumi 95.07
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:17:29 2016 UTC-Thu Sep  1 23:17:29 2016 UTC (0.010 )  Time stamp start 1472771849044979325 end 1472771849034979200  Run 307619, LB 125, lumi 94.84
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:17:31 2016 UTC-Thu Sep  1 23:17:31 2016 UTC (0.010 )  Time stamp start 1472771851944664275 end 1472771851934664150  Run 307619, LB 125, lumi 94.84
Event Veto ['NoiseBurst'], Thu Sep  1 23:17:32 2016 UTC-Thu Sep  1 23:17:32 2016 UTC (0.010 )  Time stamp start 1472771852779807330 end 1472771852769806830  Run 307619, LB 125, lumi 94.84
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Sep  1 23:17:35 2016 UTC-Thu Sep  1 23:17:35 2016 UTC (0.010 )  Time stamp start 1472771855336020240 end 1472771855326020240  Run 307619, LB 125, lumi 94.84
Event Veto ['NoiseBurst'], Thu Sep  1 23:17:36 2016 UTC-Thu Sep  1 23:17:36 2016 UTC (0.010 )  Time stamp start 1472771856881159410 end 1472771856871158210  Run 307619, LB 126, lumi 93.47
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:17:38 2016 UTC-Thu Sep  1 23:17:38 2016 UTC (0.010 )  Time stamp start 1472771858255286730 end 1472771858245286155  Run 307619, LB 126, lumi 93.46
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:17:41 2016 UTC-Thu Sep  1 23:17:41 2016 UTC (0.018 )  Time stamp start 1472771861150051615 end 1472771861131672610  Run 307619, LB 126, lumi 171.76
Event Veto ['NoiseBurst'], Thu Sep  1 23:17:43 2016 UTC-Thu Sep  1 23:17:43 2016 UTC (0.019 )  Time stamp start 1472771863921558475 end 1472771863902974820  Run 307619, LB 126, lumi 173.67
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:17:43 2016 UTC-Thu Sep  1 23:17:43 2016 UTC (0.010 )  Time stamp start 1472771863954442325 end 1472771863944441380  Run 307619, LB 126, lumi 93.46
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:17:47 2016 UTC-Thu Sep  1 23:17:47 2016 UTC (0.010 )  Time stamp start 1472771867472114610 end 1472771867462113565  Run 307619, LB 126, lumi 93.46
Event Veto ['NoiseBurst'], Thu Sep  1 23:17:48 2016 UTC-Thu Sep  1 23:17:48 2016 UTC (0.010 )  Time stamp start 1472771868033712125 end 1472771868023711455  Run 307619, LB 126, lumi 93.46
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:17:50 2016 UTC-Thu Sep  1 23:17:50 2016 UTC (0.010 )  Time stamp start 1472771870507942220 end 1472771870497942095  Run 307619, LB 126, lumi 93.46
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:17:54 2016 UTC-Thu Sep  1 23:17:54 2016 UTC (0.010 )  Time stamp start 1472771874185083840 end 1472771874175083420  Run 307619, LB 126, lumi 93.46
Event Veto ['NoiseBurst'], Thu Sep  1 23:17:54 2016 UTC-Thu Sep  1 23:17:54 2016 UTC (0.010 )  Time stamp start 1472771874310858750 end 1472771874300803360  Run 307619, LB 126, lumi 93.97
Event Veto ['NoiseBurst'], Thu Sep  1 23:17:56 2016 UTC-Thu Sep  1 23:17:56 2016 UTC (0.010 )  Time stamp start 1472771876555302160 end 1472771876545288090  Run 307619, LB 126, lumi 93.59
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:17:57 2016 UTC-Thu Sep  1 23:17:57 2016 UTC (0.010 )  Time stamp start 1472771877172747970 end 1472771877162746970  Run 307619, LB 126, lumi 93.46
Event Veto ['NoiseBurst'], Thu Sep  1 23:18:00 2016 UTC-Thu Sep  1 23:18:00 2016 UTC (0.010 )  Time stamp start 1472771880093042600 end 1472771880083040530  Run 307619, LB 126, lumi 93.47
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Sep  1 23:18:00 2016 UTC-Thu Sep  1 23:18:00 2016 UTC (0.010 )  Time stamp start 1472771880304399745 end 1472771880294399745  Run 307619, LB 126, lumi 93.46
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:18:03 2016 UTC-Thu Sep  1 23:18:03 2016 UTC (0.010 )  Time stamp start 1472771883701011315 end 1472771883691011190  Run 307619, LB 126, lumi 93.46
Event Veto ['NoiseBurst'], Thu Sep  1 23:18:04 2016 UTC-Thu Sep  1 23:18:04 2016 UTC (0.010 )  Time stamp start 1472771884205749760 end 1472771884195725335  Run 307619, LB 126, lumi 93.68
Event Veto ['NoiseBurst'], Thu Sep  1 23:18:04 2016 UTC-Thu Sep  1 23:18:04 2016 UTC (0.015 )  Time stamp start 1472771884564329720 end 1472771884549299225  Run 307619, LB 126, lumi 140.47
