Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 338183 to 338183
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 338183 to run 338183  lasting from Fri Oct 13 17:08:29 2017 UTC to Sat Oct 14 09:33:18 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:45:30 2017 UTC-Fri Oct 13 19:45:30 2017 UTC (0.001 )  Time stamp start 1507923930403701480 end 1507923930402701480  Run 338183, LB 168, lumi 18.06
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:45:41 2017 UTC-Fri Oct 13 19:45:41 2017 UTC (0.001 )  Time stamp start 1507923941582775285 end 1507923941581775285  Run 338183, LB 168, lumi 18.06
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:45:57 2017 UTC-Fri Oct 13 19:45:57 2017 UTC (0.001 )  Time stamp start 1507923957196114810 end 1507923957195114810  Run 338183, LB 168, lumi 18.06
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:45:59 2017 UTC-Fri Oct 13 19:45:59 2017 UTC (0.001 )  Time stamp start 1507923959503811700 end 1507923959502811700  Run 338183, LB 168, lumi 18.06
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:46:04 2017 UTC-Fri Oct 13 19:46:04 2017 UTC (0.001 )  Time stamp start 1507923964918474860 end 1507923964917474860  Run 338183, LB 168, lumi 18.06
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:46:06 2017 UTC-Fri Oct 13 19:46:06 2017 UTC (0.001 )  Time stamp start 1507923966287015465 end 1507923966286015465  Run 338183, LB 168, lumi 18.06
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:46:21 2017 UTC-Fri Oct 13 19:46:21 2017 UTC (0.001 )  Time stamp start 1507923981158692455 end 1507923981157692455  Run 338183, LB 169, lumi 16.91
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:46:24 2017 UTC-Fri Oct 13 19:46:24 2017 UTC (0.001 )  Time stamp start 1507923984626740410 end 1507923984625740410  Run 338183, LB 169, lumi 16.91
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:46:48 2017 UTC-Fri Oct 13 19:46:48 2017 UTC (0.001 )  Time stamp start 1507924008414360055 end 1507924008413360055  Run 338183, LB 169, lumi 16.91
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:47:11 2017 UTC-Fri Oct 13 19:47:11 2017 UTC (0.001 )  Time stamp start 1507924031765099935 end 1507924031764099935  Run 338183, LB 169, lumi 16.91
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:47:21 2017 UTC-Fri Oct 13 19:47:21 2017 UTC (0.001 )  Time stamp start 1507924041719560555 end 1507924041718560555  Run 338183, LB 170, lumi 16.47
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:47:23 2017 UTC-Fri Oct 13 19:47:23 2017 UTC (0.001 )  Time stamp start 1507924043687800465 end 1507924043686800465  Run 338183, LB 170, lumi 16.47
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:47:34 2017 UTC-Fri Oct 13 19:47:34 2017 UTC (0.001 )  Time stamp start 1507924054646535865 end 1507924054645535865  Run 338183, LB 170, lumi 16.47
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:47:38 2017 UTC-Fri Oct 13 19:47:38 2017 UTC (0.001 )  Time stamp start 1507924058063312765 end 1507924058062312765  Run 338183, LB 170, lumi 16.47
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:48:00 2017 UTC-Fri Oct 13 19:48:00 2017 UTC (0.001 )  Time stamp start 1507924080390055235 end 1507924080389055235  Run 338183, LB 171, lumi 15.13
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:48:10 2017 UTC-Fri Oct 13 19:48:10 2017 UTC (0.001 )  Time stamp start 1507924090612652245 end 1507924090611652245  Run 338183, LB 171, lumi 15.13
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:48:19 2017 UTC-Fri Oct 13 19:48:19 2017 UTC (0.001 )  Time stamp start 1507924099010623535 end 1507924099009623535  Run 338183, LB 171, lumi 15.13
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:48:21 2017 UTC-Fri Oct 13 19:48:21 2017 UTC (0.001 )  Time stamp start 1507924101069451745 end 1507924101068451745  Run 338183, LB 171, lumi 15.13
