Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 341312 to 341312
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 341312 to run 341312  lasting from Tue Nov 21 20:30:19 2017 UTC to Wed Nov 22 08:07:00 2017 UTC
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:33:18 2017 UTC-Tue Nov 21 21:33:18 2017 UTC (0.001 )  Time stamp start 1511299998185075550 end 1511299998184075550  Run 341312, LB 69, lumi 5.79
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:33:20 2017 UTC-Tue Nov 21 21:33:20 2017 UTC (0.001 )  Time stamp start 1511300000355615795 end 1511300000354615795  Run 341312, LB 69, lumi 5.79
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:33:20 2017 UTC-Tue Nov 21 21:33:20 2017 UTC (0.001 )  Time stamp start 1511300000653060370 end 1511300000652060370  Run 341312, LB 69, lumi 5.79
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:33:29 2017 UTC-Tue Nov 21 21:33:29 2017 UTC (0.002 )  Time stamp start 1511300009052754120 end 1511300009051026155  Run 341312, LB 69, lumi 10.00
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:33:29 2017 UTC-Tue Nov 21 21:33:29 2017 UTC (0.001 )  Time stamp start 1511300009983549210 end 1511300009982549210  Run 341312, LB 69, lumi 5.79
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:33:32 2017 UTC-Tue Nov 21 21:33:32 2017 UTC (0.001 )  Time stamp start 1511300012168580620 end 1511300012167580620  Run 341312, LB 69, lumi 5.79
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:33:32 2017 UTC-Tue Nov 21 21:33:32 2017 UTC (0.001 )  Time stamp start 1511300012189946385 end 1511300012188946385  Run 341312, LB 69, lumi 5.79
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:33:32 2017 UTC-Tue Nov 21 21:33:32 2017 UTC (0.001 )  Time stamp start 1511300012202262570 end 1511300012201262570  Run 341312, LB 69, lumi 5.79
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:33:33 2017 UTC-Tue Nov 21 21:33:33 2017 UTC (0.001 )  Time stamp start 1511300013641735220 end 1511300013640735220  Run 341312, LB 69, lumi 5.79
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:33:34 2017 UTC-Tue Nov 21 21:33:34 2017 UTC (0.003 )  Time stamp start 1511300014562278180 end 1511300014559579080  Run 341312, LB 69, lumi 15.62
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:33:35 2017 UTC-Tue Nov 21 21:33:35 2017 UTC (0.001 )  Time stamp start 1511300015046847710 end 1511300015045847710  Run 341312, LB 69, lumi 5.79
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:33:37 2017 UTC-Tue Nov 21 21:33:37 2017 UTC (0.001 )  Time stamp start 1511300017776582800 end 1511300017775115275  Run 341312, LB 69, lumi 8.49
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:34:23 2017 UTC-Tue Nov 21 21:34:23 2017 UTC (0.001 )  Time stamp start 1511300063617211385 end 1511300063616211385  Run 341312, LB 71, lumi 5.65
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:34:23 2017 UTC-Tue Nov 21 21:34:23 2017 UTC (0.001 )  Time stamp start 1511300063895070880 end 1511300063894070880  Run 341312, LB 71, lumi 5.65
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:34:27 2017 UTC-Tue Nov 21 21:34:27 2017 UTC (0.001 )  Time stamp start 1511300067255525555 end 1511300067254525555  Run 341312, LB 71, lumi 5.65
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:34:27 2017 UTC-Tue Nov 21 21:34:27 2017 UTC (0.001 )  Time stamp start 1511300067281607685 end 1511300067280607685  Run 341312, LB 71, lumi 5.65
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:34:47 2017 UTC-Tue Nov 21 21:34:47 2017 UTC (0.002 )  Time stamp start 1511300087359400230 end 1511300087357664705  Run 341312, LB 72, lumi 9.93
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:34:49 2017 UTC-Tue Nov 21 21:34:49 2017 UTC (0.001 )  Time stamp start 1511300089351141030 end 1511300089350141030  Run 341312, LB 72, lumi 5.72
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:34:49 2017 UTC-Tue Nov 21 21:34:49 2017 UTC (0.001 )  Time stamp start 1511300089709471395 end 1511300089708471395  Run 341312, LB 72, lumi 5.72
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:34:51 2017 UTC-Tue Nov 21 21:34:51 2017 UTC (0.001 )  Time stamp start 1511300091405883815 end 1511300091404883815  Run 341312, LB 72, lumi 5.72
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:34:51 2017 UTC-Tue Nov 21 21:34:51 2017 UTC (0.001 )  Time stamp start 1511300091867122835 end 1511300091866122835  Run 341312, LB 72, lumi 5.72
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:34:52 2017 UTC-Tue Nov 21 21:34:52 2017 UTC (0.001 )  Time stamp start 1511300092690483985 end 1511300092689483985  Run 341312, LB 72, lumi 5.72
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:34:52 2017 UTC-Tue Nov 21 21:34:52 2017 UTC (0.001 )  Time stamp start 1511300092922909455 end 1511300092921909455  Run 341312, LB 72, lumi 5.72
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:34:53 2017 UTC-Tue Nov 21 21:34:53 2017 UTC (0.001 )  Time stamp start 1511300093911111080 end 1511300093910111080  Run 341312, LB 72, lumi 5.72
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:34:55 2017 UTC-Tue Nov 21 21:34:55 2017 UTC (0.001 )  Time stamp start 1511300095845245040 end 1511300095844245040  Run 341312, LB 72, lumi 5.72
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:34:57 2017 UTC-Tue Nov 21 21:34:57 2017 UTC (0.001 )  Time stamp start 1511300097254741695 end 1511300097253741695  Run 341312, LB 72, lumi 5.72
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:35:00 2017 UTC-Tue Nov 21 21:35:00 2017 UTC (0.001 )  Time stamp start 1511300100195784175 end 1511300100194784175  Run 341312, LB 72, lumi 5.72
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:35:03 2017 UTC-Tue Nov 21 21:35:03 2017 UTC (0.002 )  Time stamp start 1511300103973927700 end 1511300103972074810  Run 341312, LB 72, lumi 10.60
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:35:11 2017 UTC-Tue Nov 21 21:35:11 2017 UTC (0.001 )  Time stamp start 1511300111078923345 end 1511300111077784195  Run 341312, LB 72, lumi 6.52
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:35:11 2017 UTC-Tue Nov 21 21:35:11 2017 UTC (0.001 )  Time stamp start 1511300111857774245 end 1511300111856774245  Run 341312, LB 72, lumi 5.72
