Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337451 to 337451
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337451 to run 337451  lasting from Sat Oct  7 22:03:51 2017 UTC to Sun Oct  8 13:39:09 2017 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:22:01 2017 UTC-Sun Oct  8 01:22:01 2017 UTC (0.001 )  Time stamp start 1507425721805124235 end 1507425721804123240  Run 337451, LB 206, lumi 16.63
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:22:04 2017 UTC-Sun Oct  8 01:22:04 2017 UTC (0.001 )  Time stamp start 1507425724650547765 end 1507425724649546520  Run 337451, LB 206, lumi 16.63
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:22:07 2017 UTC-Sun Oct  8 01:22:07 2017 UTC (0.001 )  Time stamp start 1507425727388916555 end 1507425727387915305  Run 337451, LB 206, lumi 16.63
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:22:10 2017 UTC-Sun Oct  8 01:22:10 2017 UTC (0.001 )  Time stamp start 1507425730729320070 end 1507425730728319775  Run 337451, LB 206, lumi 16.61
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:22:13 2017 UTC-Sun Oct  8 01:22:13 2017 UTC (0.001 )  Time stamp start 1507425733619984880 end 1507425733618983860  Run 337451, LB 206, lumi 16.63
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:22:16 2017 UTC-Sun Oct  8 01:22:16 2017 UTC (0.001 )  Time stamp start 1507425736453658410 end 1507425736452658285  Run 337451, LB 206, lumi 16.61
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:22:17 2017 UTC-Sun Oct  8 01:22:17 2017 UTC (0.001 )  Time stamp start 1507425737411621660 end 1507425737410621660  Run 337451, LB 206, lumi 16.61
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:22:44 2017 UTC-Sun Oct  8 01:22:44 2017 UTC (0.001 )  Time stamp start 1507425764097184930 end 1507425764096184805  Run 337451, LB 208, lumi 15.24
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:22:47 2017 UTC-Sun Oct  8 01:22:47 2017 UTC (0.001 )  Time stamp start 1507425767082520405 end 1507425767081520405  Run 337451, LB 208, lumi 15.24
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:22:47 2017 UTC-Sun Oct  8 01:22:47 2017 UTC (0.001 )  Time stamp start 1507425767195336050 end 1507425767194335025  Run 337451, LB 208, lumi 15.25
