Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 331742 to 331742
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 331742 to run 331742  lasting from Fri Aug  4 10:51:04 2017 UTC to Sat Aug  5 02:27:44 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:26:21 2017 UTC-Fri Aug  4 12:26:21 2017 UTC (0.001 )  Time stamp start 1501849581585789345 end 1501849581584789345  Run 331742, LB 107, lumi 14.97
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:27:07 2017 UTC-Fri Aug  4 12:27:07 2017 UTC (0.001 )  Time stamp start 1501849627851918635 end 1501849627850918635  Run 331742, LB 109, lumi 14.92
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:27:36 2017 UTC-Fri Aug  4 12:27:36 2017 UTC (0.001 )  Time stamp start 1501849656029897885 end 1501849656028897885  Run 331742, LB 109, lumi 14.92
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:27:57 2017 UTC-Fri Aug  4 12:27:57 2017 UTC (0.001 )  Time stamp start 1501849677672016825 end 1501849677671016425  Run 331742, LB 109, lumi 14.93
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:28:54 2017 UTC-Fri Aug  4 12:28:54 2017 UTC (0.001 )  Time stamp start 1501849734241071815 end 1501849734240071815  Run 331742, LB 110, lumi 14.89
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:28:58 2017 UTC-Fri Aug  4 12:28:58 2017 UTC (0.001 )  Time stamp start 1501849738690169710 end 1501849738689169710  Run 331742, LB 110, lumi 14.89
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:29:16 2017 UTC-Fri Aug  4 12:29:16 2017 UTC (0.001 )  Time stamp start 1501849756071684185 end 1501849756070684185  Run 331742, LB 111, lumi 14.85
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:30:22 2017 UTC-Fri Aug  4 12:30:22 2017 UTC (0.001 )  Time stamp start 1501849822626409015 end 1501849822625409015  Run 331742, LB 112, lumi 14.81
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:30:35 2017 UTC-Fri Aug  4 12:30:35 2017 UTC (0.001 )  Time stamp start 1501849835535913375 end 1501849835534913375  Run 331742, LB 112, lumi 14.81
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Aug  4 12:30:56 2017 UTC-Fri Aug  4 12:30:56 2017 UTC (0.001 )  Time stamp start 1501849856690227160 end 1501849856689227160  Run 331742, LB 112, lumi 14.81
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:31:13 2017 UTC-Fri Aug  4 12:31:13 2017 UTC (0.001 )  Time stamp start 1501849873998895325 end 1501849873997894825  Run 331742, LB 113, lumi 14.79
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:31:24 2017 UTC-Fri Aug  4 12:31:24 2017 UTC (0.001 )  Time stamp start 1501849884320580695 end 1501849884319580695  Run 331742, LB 113, lumi 14.79
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:31:54 2017 UTC-Fri Aug  4 12:31:54 2017 UTC (0.001 )  Time stamp start 1501849914604016150 end 1501849914603015650  Run 331742, LB 113, lumi 14.79
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:32:33 2017 UTC-Fri Aug  4 12:32:33 2017 UTC (0.001 )  Time stamp start 1501849953778996995 end 1501849953777996995  Run 331742, LB 114, lumi 14.76
Event Veto ['NoiseBurst'], Fri Aug  4 12:32:38 2017 UTC-Fri Aug  4 12:32:38 2017 UTC (0.001 )  Time stamp start 1501849958643557145 end 1501849958642556645  Run 331742, LB 114, lumi 14.77
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:32:57 2017 UTC-Fri Aug  4 12:32:57 2017 UTC (0.001 )  Time stamp start 1501849977972426925 end 1501849977971426675  Run 331742, LB 114, lumi 14.76
