Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 303560 to 303560
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 303560 to run 303560  lasting from Sat Jul  9 15:30:32 2016 UTC to Sun Jul 10 06:27:28 2016 UTC
Event Veto ['MiniNoiseBurst'], Sat Jul  9 16:30:21 2016 UTC-Sat Jul  9 16:30:21 2016 UTC (0.001 )  Time stamp start 1468081821882044995 end 1468081821881044995  Run 303560, LB 69, lumi 9.84
Event Veto ['MiniNoiseBurst'], Sat Jul  9 16:30:32 2016 UTC-Sat Jul  9 16:30:32 2016 UTC (0.001 )  Time stamp start 1468081832996287765 end 1468081832995287765  Run 303560, LB 69, lumi 9.84
Event Veto ['MiniNoiseBurst'], Sat Jul  9 16:30:38 2016 UTC-Sat Jul  9 16:30:38 2016 UTC (0.001 )  Time stamp start 1468081838750178510 end 1468081838749178185  Run 303560, LB 69, lumi 9.84
Event Veto ['NoiseBurst'], Sat Jul  9 16:30:56 2016 UTC-Sat Jul  9 16:30:56 2016 UTC (0.010 )  Time stamp start 1468081856448820995 end 1468081856438820095  Run 303560, LB 69, lumi 98.40
Event Veto ['MiniNoiseBurst'], Sat Jul  9 16:31:06 2016 UTC-Sat Jul  9 16:31:06 2016 UTC (0.001 )  Time stamp start 1468081866467306330 end 1468081866466305430  Run 303560, LB 69, lumi 9.85
Event Veto ['NoiseBurst'], Sat Jul  9 16:31:21 2016 UTC-Sat Jul  9 16:31:21 2016 UTC (0.010 )  Time stamp start 1468081881153392465 end 1468081881143319210  Run 303560, LB 70, lumi 101.01
Event Veto ['MiniNoiseBurst'], Sat Jul  9 16:31:22 2016 UTC-Sat Jul  9 16:31:22 2016 UTC (0.001 )  Time stamp start 1468081882798632000 end 1468081882797630705  Run 303560, LB 70, lumi 10.04
Event Veto ['MiniNoiseBurst'], Sat Jul  9 16:31:39 2016 UTC-Sat Jul  9 16:31:39 2016 UTC (0.001 )  Time stamp start 1468081899099190490 end 1468081899098189395  Run 303560, LB 70, lumi 10.04
Event Veto ['MiniNoiseBurst'], Sat Jul  9 16:31:55 2016 UTC-Sat Jul  9 16:31:55 2016 UTC (0.001 )  Time stamp start 1468081915822612740 end 1468081915821612465  Run 303560, LB 70, lumi 10.03
Event Veto ['MiniNoiseBurst'], Sat Jul  9 16:32:39 2016 UTC-Sat Jul  9 16:32:39 2016 UTC (0.001 )  Time stamp start 1468081959924120455 end 1468081959923120455  Run 303560, LB 71, lumi 10.02
Event Veto ['MiniNoiseBurst'], Sat Jul  9 16:32:45 2016 UTC-Sat Jul  9 16:32:45 2016 UTC (0.001 )  Time stamp start 1468081965534017370 end 1468081965533017120  Run 303560, LB 71, lumi 10.02
Event Veto ['MiniNoiseBurst'], Sat Jul  9 16:32:56 2016 UTC-Sat Jul  9 16:32:56 2016 UTC (0.001 )  Time stamp start 1468081976982847180 end 1468081976981845635  Run 303560, LB 71, lumi 10.03
Event Veto ['MiniNoiseBurst'], Sat Jul  9 16:33:08 2016 UTC-Sat Jul  9 16:33:08 2016 UTC (0.001 )  Time stamp start 1468081988186698005 end 1468081988185696560  Run 303560, LB 71, lumi 10.03
Event Veto ['MiniNoiseBurst'], Sat Jul  9 16:33:13 2016 UTC-Sat Jul  9 16:33:13 2016 UTC (0.001 )  Time stamp start 1468081993748587105 end 1468081993747587105  Run 303560, LB 72, lumi 10.01
Event Veto ['MiniNoiseBurst'], Sat Jul  9 16:33:24 2016 UTC-Sat Jul  9 16:33:24 2016 UTC (0.001 )  Time stamp start 1468082004486153975 end 1468082004485153775  Run 303560, LB 72, lumi 10.01
