Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 307306 to 307306
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 307306 to run 307306  lasting from Sat Aug 27 08:42:12 2016 UTC to Sat Aug 27 15:42:35 2016 UTC
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:08:05 2016 UTC-Sat Aug 27 09:08:05 2016 UTC (0.010 )  Time stamp start 1472288885044540250 end 1472288885034540000  Run 307306, LB 30, lumi 98.78
Event Veto ['NoiseBurst'], Sat Aug 27 09:08:13 2016 UTC-Sat Aug 27 09:08:13 2016 UTC (0.010 )  Time stamp start 1472288893910555950 end 1472288893900555100  Run 307306, LB 30, lumi 98.78
Event Veto ['NoiseBurst'], Sat Aug 27 09:08:25 2016 UTC-Sat Aug 27 09:08:25 2016 UTC (0.010 )  Time stamp start 1472288905653212855 end 1472288905643169690  Run 307306, LB 30, lumi 99.20
Event Veto ['NoiseBurst'], Sat Aug 27 09:09:02 2016 UTC-Sat Aug 27 09:09:02 2016 UTC (0.010 )  Time stamp start 1472288942722547610 end 1472288942712545390  Run 307306, LB 31, lumi 102.72
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:09:31 2016 UTC-Sat Aug 27 09:09:31 2016 UTC (0.010 )  Time stamp start 1472288971011774765 end 1472288971001774640  Run 307306, LB 32, lumi 103.69
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:10:50 2016 UTC-Sat Aug 27 09:10:50 2016 UTC (0.010 )  Time stamp start 1472289050127029250 end 1472289050117029250  Run 307306, LB 33, lumi 107.78
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:10:59 2016 UTC-Sat Aug 27 09:10:59 2016 UTC (0.010 )  Time stamp start 1472289059906216650 end 1472289059896216650  Run 307306, LB 34, lumi 108.04
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:11:03 2016 UTC-Sat Aug 27 09:11:03 2016 UTC (0.010 )  Time stamp start 1472289063121033830 end 1472289063111033830  Run 307306, LB 34, lumi 108.04
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:11:12 2016 UTC-Sat Aug 27 09:11:12 2016 UTC (0.010 )  Time stamp start 1472289072896868150 end 1472289072886868150  Run 307306, LB 34, lumi 108.04
Event Veto ['NoiseBurst'], Sat Aug 27 09:11:30 2016 UTC-Sat Aug 27 09:11:30 2016 UTC (0.010 )  Time stamp start 1472289090171708345 end 1472289090161529250  Run 307306, LB 34, lumi 109.98
Event Veto ['NoiseBurst'], Sat Aug 27 09:11:34 2016 UTC-Sat Aug 27 09:11:34 2016 UTC (0.010 )  Time stamp start 1472289094573282890 end 1472289094563132040  Run 307306, LB 34, lumi 109.67
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:11:40 2016 UTC-Sat Aug 27 09:11:40 2016 UTC (0.010 )  Time stamp start 1472289100654028695 end 1472289100644028570  Run 307306, LB 34, lumi 108.04
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:12:54 2016 UTC-Sat Aug 27 09:12:54 2016 UTC (0.010 )  Time stamp start 1472289174047562610 end 1472289174037562610  Run 307306, LB 35, lumi 107.78
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:13:11 2016 UTC-Sat Aug 27 09:13:11 2016 UTC (0.010 )  Time stamp start 1472289191140682895 end 1472289191130682895  Run 307306, LB 36, lumi 107.58
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:13:36 2016 UTC-Sat Aug 27 09:13:36 2016 UTC (0.010 )  Time stamp start 1472289216538656095 end 1472289216528655845  Run 307306, LB 36, lumi 107.58
Event Veto ['NoiseBurst'], Sat Aug 27 09:14:10 2016 UTC-Sat Aug 27 09:14:10 2016 UTC (0.010 )  Time stamp start 1472289250375152055 end 1472289250365151555  Run 307306, LB 37, lumi 107.37
Event Veto ['NoiseBurst'], Sat Aug 27 09:14:24 2016 UTC-Sat Aug 27 09:14:24 2016 UTC (0.018 )  Time stamp start 1472289264960263530 end 1472289264942031660  Run 307306, LB 37, lumi 195.74
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:14:38 2016 UTC-Sat Aug 27 09:14:38 2016 UTC (0.010 )  Time stamp start 1472289278968659900 end 1472289278958659525  Run 307306, LB 37, lumi 107.37
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:15:01 2016 UTC-Sat Aug 27 09:15:01 2016 UTC (0.010 )  Time stamp start 1472289301146503210 end 1472289301136502485  Run 307306, LB 38, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:15:10 2016 UTC-Sat Aug 27 09:15:10 2016 UTC (0.010 )  Time stamp start 1472289310776882595 end 1472289310766882595  Run 307306, LB 38, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:15:20 2016 UTC-Sat Aug 27 09:15:20 2016 UTC (0.010 )  Time stamp start 1472289320084399775 end 1472289320074399775  Run 307306, LB 38, lumi 0.00
Event Veto ['NoiseBurst'], Sat Aug 27 09:15:35 2016 UTC-Sat Aug 27 09:15:35 2016 UTC (0.010 )  Time stamp start 1472289335800106375 end 1472289335790105625  Run 307306, LB 38, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:15:46 2016 UTC-Sat Aug 27 09:15:46 2016 UTC (0.010 )  Time stamp start 1472289346154803510 end 1472289346144803510  Run 307306, LB 38, lumi 0.00
