Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 303338 to 303338
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 303338 to run 303338  lasting from Tue Jul  5 23:33:17 2016 UTC to Thu Jul  7 04:20:15 2016 UTC
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:54:50 2016 UTC-Wed Jul  6 02:54:50 2016 UTC (0.001 )  Time stamp start 1467773690235530615 end 1467773690234529165  Run 303338, LB 212, lumi 9.28
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Jul  6 02:54:56 2016 UTC-Wed Jul  6 02:54:56 2016 UTC (0.001 )  Time stamp start 1467773696093966875 end 1467773696092966875  Run 303338, LB 212, lumi 9.27
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Jul  6 02:55:02 2016 UTC-Wed Jul  6 02:55:02 2016 UTC (0.001 )  Time stamp start 1467773702344529670 end 1467773702343529670  Run 303338, LB 212, lumi 9.27
Event Veto ['NoiseBurst'], Wed Jul  6 02:55:06 2016 UTC-Wed Jul  6 02:55:06 2016 UTC (0.010 )  Time stamp start 1467773706178788200 end 1467773706168679415  Run 303338, LB 212, lumi 93.72
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:55:09 2016 UTC-Wed Jul  6 02:55:09 2016 UTC (0.001 )  Time stamp start 1467773709917437405 end 1467773709916437055  Run 303338, LB 212, lumi 9.27
Event Veto ['NoiseBurst'], Wed Jul  6 02:55:16 2016 UTC-Wed Jul  6 02:55:16 2016 UTC (0.010 )  Time stamp start 1467773716465853200 end 1467773716455852375  Run 303338, LB 212, lumi 92.72
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:55:23 2016 UTC-Wed Jul  6 02:55:23 2016 UTC (0.001 )  Time stamp start 1467773723232940715 end 1467773723231940590  Run 303338, LB 212, lumi 9.27
Event Veto ['NoiseBurst'], Wed Jul  6 02:55:31 2016 UTC-Wed Jul  6 02:55:31 2016 UTC (0.010 )  Time stamp start 1467773731798390220 end 1467773731788389100  Run 303338, LB 213, lumi 93.68
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Jul  6 02:55:36 2016 UTC-Wed Jul  6 02:55:36 2016 UTC (0.001 )  Time stamp start 1467773736310316615 end 1467773736309316465  Run 303338, LB 213, lumi 9.37
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:55:36 2016 UTC-Wed Jul  6 02:55:36 2016 UTC (0.001 )  Time stamp start 1467773736847204165 end 1467773736846204165  Run 303338, LB 213, lumi 9.37
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Jul  6 02:55:42 2016 UTC-Wed Jul  6 02:55:42 2016 UTC (0.001 )  Time stamp start 1467773742494866890 end 1467773742493866890  Run 303338, LB 213, lumi 9.37
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:55:48 2016 UTC-Wed Jul  6 02:55:48 2016 UTC (0.001 )  Time stamp start 1467773748720308910 end 1467773748719308785  Run 303338, LB 213, lumi 9.37
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:55:54 2016 UTC-Wed Jul  6 02:55:54 2016 UTC (0.001 )  Time stamp start 1467773754563193400 end 1467773754562192350  Run 303338, LB 213, lumi 9.38
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:55:57 2016 UTC-Wed Jul  6 02:55:57 2016 UTC (0.001 )  Time stamp start 1467773757692254895 end 1467773757691254570  Run 303338, LB 213, lumi 9.37
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:56:00 2016 UTC-Wed Jul  6 02:56:00 2016 UTC (0.001 )  Time stamp start 1467773760804270870 end 1467773760803270095  Run 303338, LB 213, lumi 9.37
