Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 307195 to 307195
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 307195 to run 307195  lasting from Thu Aug 25 16:41:18 2016 UTC to Fri Aug 26 04:57:00 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:54:02 2016 UTC-Thu Aug 25 20:54:02 2016 UTC (0.010 )  Time stamp start 1472158442544709430 end 1472158442534709430  Run 307195, LB 258, lumi 81.16
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:54:07 2016 UTC-Thu Aug 25 20:54:08 2016 UTC (0.010 )  Time stamp start 1472158448004427950 end 1472158447994427950  Run 307195, LB 258, lumi 81.16
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:54:13 2016 UTC-Thu Aug 25 20:54:13 2016 UTC (0.010 )  Time stamp start 1472158453708239310 end 1472158453698239310  Run 307195, LB 258, lumi 81.16
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:54:21 2016 UTC-Thu Aug 25 20:54:21 2016 UTC (0.000 )  Time stamp start 1472158461018872540 end 1472158461018872390  Run 307195, LB 259, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:54:21 2016 UTC-Thu Aug 25 20:54:21 2016 UTC (0.010 )  Time stamp start 1472158461028872540 end 1472158461018872540  Run 307195, LB 259, lumi 73.87
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:54:28 2016 UTC-Thu Aug 25 20:54:28 2016 UTC (0.000 )  Time stamp start 1472158468514689805 end 1472158468514689680  Run 307195, LB 259, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:54:28 2016 UTC-Thu Aug 25 20:54:28 2016 UTC (0.010 )  Time stamp start 1472158468524689805 end 1472158468514689805  Run 307195, LB 259, lumi 73.87
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:54:28 2016 UTC-Thu Aug 25 20:54:28 2016 UTC (0.000 )  Time stamp start 1472158468524690780 end 1472158468524689805  Run 307195, LB 259, lumi 0.01
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:54:34 2016 UTC-Thu Aug 25 20:54:34 2016 UTC (0.010 )  Time stamp start 1472158474498717480 end 1472158474488717480  Run 307195, LB 259, lumi 73.87
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:54:39 2016 UTC-Thu Aug 25 20:54:39 2016 UTC (0.010 )  Time stamp start 1472158479908265300 end 1472158479898265300  Run 307195, LB 259, lumi 73.87
