Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 304494 to 304494
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 304494 to run 304494  lasting from Mon Jul 25 17:05:03 2016 UTC to Mon Jul 25 21:41:45 2016 UTC
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:40:00 2016 UTC-Mon Jul 25 19:40:00 2016 UTC (0.001 )  Time stamp start 1469475600705572630 end 1469475600704572630  Run 304494, LB 162, lumi 11.48
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:40:05 2016 UTC-Mon Jul 25 19:40:05 2016 UTC (0.001 )  Time stamp start 1469475605006102795 end 1469475605005102795  Run 304494, LB 162, lumi 11.48
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:40:09 2016 UTC-Mon Jul 25 19:40:09 2016 UTC (0.001 )  Time stamp start 1469475609370570255 end 1469475609369570255  Run 304494, LB 162, lumi 11.48
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:40:23 2016 UTC-Mon Jul 25 19:40:23 2016 UTC (0.001 )  Time stamp start 1469475623298381715 end 1469475623297381715  Run 304494, LB 162, lumi 11.48
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:40:38 2016 UTC-Mon Jul 25 19:40:38 2016 UTC (0.001 )  Time stamp start 1469475638242751710 end 1469475638241751510  Run 304494, LB 162, lumi 11.48
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:40:51 2016 UTC-Mon Jul 25 19:40:51 2016 UTC (0.001 )  Time stamp start 1469475651931796150 end 1469475651930796150  Run 304494, LB 162, lumi 11.48
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:41:05 2016 UTC-Mon Jul 25 19:41:05 2016 UTC (0.001 )  Time stamp start 1469475665745233820 end 1469475665744233420  Run 304494, LB 163, lumi 11.31
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:41:10 2016 UTC-Mon Jul 25 19:41:10 2016 UTC (0.001 )  Time stamp start 1469475670143288740 end 1469475670142288240  Run 304494, LB 163, lumi 11.31
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:41:43 2016 UTC-Mon Jul 25 19:41:43 2016 UTC (0.001 )  Time stamp start 1469475703280623755 end 1469475703279623435  Run 304494, LB 163, lumi 11.31
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:41:52 2016 UTC-Mon Jul 25 19:41:52 2016 UTC (0.001 )  Time stamp start 1469475712454223290 end 1469475712453222040  Run 304494, LB 163, lumi 11.32
Event Veto ['NoiseBurst'], Mon Jul 25 19:41:59 2016 UTC-Mon Jul 25 19:41:59 2016 UTC (0.010 )  Time stamp start 1469475719074826570 end 1469475719064824275  Run 304494, LB 163, lumi 113.04
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:42:01 2016 UTC-Mon Jul 25 19:42:01 2016 UTC (0.001 )  Time stamp start 1469475721188707750 end 1469475721187707750  Run 304494, LB 164, lumi 11.54
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:42:10 2016 UTC-Mon Jul 25 19:42:10 2016 UTC (0.001 )  Time stamp start 1469475730862651865 end 1469475730861651865  Run 304494, LB 164, lumi 11.54
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:42:15 2016 UTC-Mon Jul 25 19:42:15 2016 UTC (0.001 )  Time stamp start 1469475735531420010 end 1469475735530420010  Run 304494, LB 164, lumi 11.54
Event Veto ['NoiseBurst'], Mon Jul 25 19:42:20 2016 UTC-Mon Jul 25 19:42:20 2016 UTC (0.010 )  Time stamp start 1469475740778627220 end 1469475740768357250  Run 304494, LB 164, lumi 118.47
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:42:24 2016 UTC-Mon Jul 25 19:42:24 2016 UTC (0.001 )  Time stamp start 1469475744862274270 end 1469475744861274270  Run 304494, LB 164, lumi 11.54
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:42:29 2016 UTC-Mon Jul 25 19:42:29 2016 UTC (0.001 )  Time stamp start 1469475749332164445 end 1469475749331164445  Run 304494, LB 164, lumi 11.54
