Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 355544 to 355544
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 355544 to run 355544  lasting from Sat Jul 14 16:53:57 2018 UTC to Sun Jul 15 04:35:14 2018 UTC
Event Veto ['MiniNoiseBurst'], Sat Jul 14 18:59:33 2018 UTC-Sat Jul 14 18:59:33 2018 UTC (0.001 )  Time stamp start 1531594773250000130 end 1531594773248999680  Run 355544, LB 139, lumi 17.72
Event Veto ['MiniNoiseBurst'], Sat Jul 14 18:59:45 2018 UTC-Sat Jul 14 18:59:45 2018 UTC (0.001 )  Time stamp start 1531594785254336445 end 1531594785253336445  Run 355544, LB 140, lumi 17.71
Event Veto ['MiniNoiseBurst'], Sat Jul 14 18:59:56 2018 UTC-Sat Jul 14 18:59:56 2018 UTC (0.001 )  Time stamp start 1531594796272401590 end 1531594796271401590  Run 355544, LB 140, lumi 17.71
Event Veto ['NoiseBurst'], Sat Jul 14 18:59:58 2018 UTC-Sat Jul 14 18:59:58 2018 UTC (0.001 )  Time stamp start 1531594798756097480 end 1531594798755096930  Run 355544, LB 140, lumi 17.72
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:00:13 2018 UTC-Sat Jul 14 19:00:13 2018 UTC (0.001 )  Time stamp start 1531594813205392265 end 1531594813204392265  Run 355544, LB 141, lumi 17.64
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:00:17 2018 UTC-Sat Jul 14 19:00:17 2018 UTC (0.001 )  Time stamp start 1531594817872502565 end 1531594817871502565  Run 355544, LB 141, lumi 17.64
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:00:51 2018 UTC-Sat Jul 14 19:00:51 2018 UTC (0.001 )  Time stamp start 1531594851151512280 end 1531594851150512280  Run 355544, LB 142, lumi 17.62
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:01:13 2018 UTC-Sat Jul 14 19:01:13 2018 UTC (0.001 )  Time stamp start 1531594873603783405 end 1531594873602783405  Run 355544, LB 142, lumi 17.62
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:01:17 2018 UTC-Sat Jul 14 19:01:17 2018 UTC (0.001 )  Time stamp start 1531594877427397730 end 1531594877426397730  Run 355544, LB 142, lumi 17.62
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:01:36 2018 UTC-Sat Jul 14 19:01:36 2018 UTC (0.001 )  Time stamp start 1531594896811453340 end 1531594896810453340  Run 355544, LB 142, lumi 17.62
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:02:19 2018 UTC-Sat Jul 14 19:02:19 2018 UTC (0.001 )  Time stamp start 1531594939134200825 end 1531594939133200825  Run 355544, LB 143, lumi 17.57
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:02:28 2018 UTC-Sat Jul 14 19:02:28 2018 UTC (0.001 )  Time stamp start 1531594948056933580 end 1531594948055933580  Run 355544, LB 143, lumi 17.57
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:03:14 2018 UTC-Sat Jul 14 19:03:14 2018 UTC (0.001 )  Time stamp start 1531594994465723875 end 1531594994464723875  Run 355544, LB 144, lumi 17.50
Event Veto ['NoiseBurst'], Sat Jul 14 19:03:18 2018 UTC-Sat Jul 14 19:03:18 2018 UTC (0.001 )  Time stamp start 1531594998595050375 end 1531594998594049505  Run 355544, LB 144, lumi 17.52
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:03:19 2018 UTC-Sat Jul 14 19:03:19 2018 UTC (0.001 )  Time stamp start 1531594999950633560 end 1531594999949633560  Run 355544, LB 144, lumi 17.50
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:03:42 2018 UTC-Sat Jul 14 19:03:42 2018 UTC (0.001 )  Time stamp start 1531595022080851315 end 1531595022079851315  Run 355544, LB 145, lumi 17.43
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:04:48 2018 UTC-Sat Jul 14 19:04:48 2018 UTC (0.001 )  Time stamp start 1531595088827046925 end 1531595088826046925  Run 355544, LB 146, lumi 17.35
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:05:34 2018 UTC-Sat Jul 14 19:05:34 2018 UTC (0.001 )  Time stamp start 1531595134307197165 end 1531595134306197165  Run 355544, LB 146, lumi 17.35
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:05:43 2018 UTC-Sat Jul 14 19:05:43 2018 UTC (0.001 )  Time stamp start 1531595143098545065 end 1531595143097545065  Run 355544, LB 147, lumi 17.23
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:05:50 2018 UTC-Sat Jul 14 19:05:50 2018 UTC (0.001 )  Time stamp start 1531595150121022735 end 1531595150120022735  Run 355544, LB 147, lumi 17.23
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:06:11 2018 UTC-Sat Jul 14 19:06:11 2018 UTC (0.001 )  Time stamp start 1531595171639288500 end 1531595171638288500  Run 355544, LB 147, lumi 17.23
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:06:40 2018 UTC-Sat Jul 14 19:06:40 2018 UTC (0.001 )  Time stamp start 1531595200323699365 end 1531595200322699365  Run 355544, LB 147, lumi 17.23
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:06:45 2018 UTC-Sat Jul 14 19:06:45 2018 UTC (0.001 )  Time stamp start 1531595205922525645 end 1531595205921525645  Run 355544, LB 148, lumi 17.24
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:07:28 2018 UTC-Sat Jul 14 19:07:28 2018 UTC (0.002 )  Time stamp start 1531595248623913670 end 1531595248621949450  Run 355544, LB 148, lumi 33.86
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:07:32 2018 UTC-Sat Jul 14 19:07:32 2018 UTC (0.001 )  Time stamp start 1531595252720026750 end 1531595252719026750  Run 355544, LB 148, lumi 17.24
Event Veto ['NoiseBurst'], Sat Jul 14 19:07:47 2018 UTC-Sat Jul 14 19:07:47 2018 UTC (0.001 )  Time stamp start 1531595267129774355 end 1531595267128774355  Run 355544, LB 149, lumi 17.17
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:14:20 2018 UTC-Sat Jul 14 19:14:20 2018 UTC (0.001 )  Time stamp start 1531595660761731680 end 1531595660760731680  Run 355544, LB 188, lumi 16.48
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:15:00 2018 UTC-Sat Jul 14 19:15:00 2018 UTC (0.001 )  Time stamp start 1531595700601124850 end 1531595700600124850  Run 355544, LB 188, lumi 16.48
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:15:27 2018 UTC-Sat Jul 14 19:15:27 2018 UTC (0.001 )  Time stamp start 1531595727480932665 end 1531595727479932665  Run 355544, LB 189, lumi 16.10
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:15:34 2018 UTC-Sat Jul 14 19:15:34 2018 UTC (0.001 )  Time stamp start 1531595734833824495 end 1531595734832824495  Run 355544, LB 189, lumi 16.10
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:16:18 2018 UTC-Sat Jul 14 19:16:18 2018 UTC (0.001 )  Time stamp start 1531595778465405185 end 1531595778464405185  Run 355544, LB 190, lumi 17.38
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:18:19 2018 UTC-Sat Jul 14 19:18:19 2018 UTC (0.001 )  Time stamp start 1531595899302142155 end 1531595899301142155  Run 355544, LB 192, lumi 17.52
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:18:21 2018 UTC-Sat Jul 14 19:18:21 2018 UTC (0.001 )  Time stamp start 1531595901208055365 end 1531595901207055365  Run 355544, LB 192, lumi 17.52
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:18:41 2018 UTC-Sat Jul 14 19:18:41 2018 UTC (0.001 )  Time stamp start 1531595921476162995 end 1531595921475162995  Run 355544, LB 192, lumi 17.52
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:18:43 2018 UTC-Sat Jul 14 19:18:43 2018 UTC (0.001 )  Time stamp start 1531595923836104860 end 1531595923835104860  Run 355544, LB 192, lumi 17.52
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:18:52 2018 UTC-Sat Jul 14 19:18:52 2018 UTC (0.001 )  Time stamp start 1531595932555338360 end 1531595932554338360  Run 355544, LB 192, lumi 17.52
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sat Jul 14 19:19:42 2018 UTC-Sat Jul 14 19:19:42 2018 UTC (0.001 )  Time stamp start 1531595982067430465 end 1531595982066430465  Run 355544, LB 193, lumi 17.65
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:19:46 2018 UTC-Sat Jul 14 19:19:46 2018 UTC (0.001 )  Time stamp start 1531595986523222220 end 1531595986522222220  Run 355544, LB 193, lumi 17.65
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:20:09 2018 UTC-Sat Jul 14 19:20:09 2018 UTC (0.001 )  Time stamp start 1531596009281810040 end 1531596009280810040  Run 355544, LB 193, lumi 17.65
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:20:24 2018 UTC-Sat Jul 14 19:20:24 2018 UTC (0.001 )  Time stamp start 1531596024636152470 end 1531596024635152470  Run 355544, LB 194, lumi 17.75
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:20:33 2018 UTC-Sat Jul 14 19:20:33 2018 UTC (0.001 )  Time stamp start 1531596033598260130 end 1531596033597260130  Run 355544, LB 194, lumi 17.75
