Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 339500 to 339500
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 339500 to run 339500  lasting from Mon Oct 30 10:56:22 2017 UTC to Mon Oct 30 15:38:55 2017 UTC
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:26:20 2017 UTC-Mon Oct 30 11:26:20 2017 UTC (0.001 )  Time stamp start 1509362780200974965 end 1509362780199974965  Run 339500, LB 43, lumi 15.09
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:26:48 2017 UTC-Mon Oct 30 11:26:48 2017 UTC (0.001 )  Time stamp start 1509362808071769120 end 1509362808070769120  Run 339500, LB 44, lumi 15.21
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:26:49 2017 UTC-Mon Oct 30 11:26:49 2017 UTC (0.001 )  Time stamp start 1509362809743274455 end 1509362809742274455  Run 339500, LB 44, lumi 15.21
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:27:07 2017 UTC-Mon Oct 30 11:27:07 2017 UTC (0.001 )  Time stamp start 1509362827317255470 end 1509362827316255470  Run 339500, LB 44, lumi 15.21
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:27:07 2017 UTC-Mon Oct 30 11:27:07 2017 UTC (0.001 )  Time stamp start 1509362827995135825 end 1509362827994135825  Run 339500, LB 44, lumi 15.21
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:29:08 2017 UTC-Mon Oct 30 11:29:08 2017 UTC (0.001 )  Time stamp start 1509362948923718345 end 1509362948922718345  Run 339500, LB 46, lumi 14.88
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:30:32 2017 UTC-Mon Oct 30 11:30:32 2017 UTC (0.001 )  Time stamp start 1509363032346268145 end 1509363032345268145  Run 339500, LB 47, lumi 14.95
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:31:54 2017 UTC-Mon Oct 30 11:31:54 2017 UTC (0.001 )  Time stamp start 1509363114079802150 end 1509363114078802150  Run 339500, LB 49, lumi 15.08
Event Veto ['DataCorruption'], Mon Oct 30 11:54:48 2017 UTC-Mon Oct 30 11:54:49 2017 UTC (0.500 )  Time stamp start 1509364489247556870 end 1509364488747143935  Run 339500, LB 89, lumi 7589.07
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:55:07 2017 UTC-Mon Oct 30 11:55:07 2017 UTC (0.001 )  Time stamp start 1509364507625358875 end 1509364507624358875  Run 339500, LB 90, lumi 15.06
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:56:11 2017 UTC-Mon Oct 30 11:56:11 2017 UTC (0.001 )  Time stamp start 1509364571595924400 end 1509364571594924400  Run 339500, LB 91, lumi 15.04
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:56:38 2017 UTC-Mon Oct 30 11:56:38 2017 UTC (0.001 )  Time stamp start 1509364598473439285 end 1509364598472439285  Run 339500, LB 91, lumi 15.04
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:57:31 2017 UTC-Mon Oct 30 11:57:31 2017 UTC (0.001 )  Time stamp start 1509364651893851245 end 1509364651892851245  Run 339500, LB 92, lumi 15.09
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:59:10 2017 UTC-Mon Oct 30 11:59:10 2017 UTC (0.001 )  Time stamp start 1509364750122221725 end 1509364750121221725  Run 339500, LB 95, lumi 15.16
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:59:27 2017 UTC-Mon Oct 30 11:59:27 2017 UTC (0.001 )  Time stamp start 1509364767424908095 end 1509364767423908095  Run 339500, LB 95, lumi 15.16
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:59:28 2017 UTC-Mon Oct 30 11:59:28 2017 UTC (0.001 )  Time stamp start 1509364768102647630 end 1509364768101647630  Run 339500, LB 95, lumi 15.16
