Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 304198 to 304198
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 304198 to run 304198  lasting from Thu Jul 21 23:43:32 2016 UTC to Fri Jul 22 07:42:17 2016 UTC
Event Veto ['MiniNoiseBurst'], Fri Jul 22 00:56:08 2016 UTC-Fri Jul 22 00:56:08 2016 UTC (0.001 )  Time stamp start 1469148968423297290 end 1469148968422297290  Run 304198, LB 75, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Jul 22 00:56:58 2016 UTC-Fri Jul 22 00:56:58 2016 UTC (0.001 )  Time stamp start 1469149018755669195 end 1469149018754669195  Run 304198, LB 76, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Jul 22 00:57:36 2016 UTC-Fri Jul 22 00:57:36 2016 UTC (0.001 )  Time stamp start 1469149056065247900 end 1469149056064247750  Run 304198, LB 77, lumi 0.00
Event Veto ['NoiseBurst'], Fri Jul 22 01:06:04 2016 UTC-Fri Jul 22 01:06:04 2016 UTC (0.010 )  Time stamp start 1469149564114299320 end 1469149564104045125  Run 304198, LB 86, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Jul 22 01:06:13 2016 UTC-Fri Jul 22 01:06:13 2016 UTC (0.001 )  Time stamp start 1469149573316250015 end 1469149573315249665  Run 304198, LB 87, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Jul 22 01:07:22 2016 UTC-Fri Jul 22 01:07:22 2016 UTC (0.001 )  Time stamp start 1469149642940635150 end 1469149642939634780  Run 304198, LB 88, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Jul 22 01:10:51 2016 UTC-Fri Jul 22 01:10:51 2016 UTC (0.001 )  Time stamp start 1469149851706431515 end 1469149851705431165  Run 304198, LB 91, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Jul 22 01:15:32 2016 UTC-Fri Jul 22 01:15:32 2016 UTC (0.001 )  Time stamp start 1469150132482594395 end 1469150132481594395  Run 304198, LB 96, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Jul 22 01:19:13 2016 UTC-Fri Jul 22 01:19:13 2016 UTC (0.001 )  Time stamp start 1469150353680379035 end 1469150353679378785  Run 304198, LB 100, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Jul 22 01:20:01 2016 UTC-Fri Jul 22 01:20:01 2016 UTC (0.001 )  Time stamp start 1469150401824153105 end 1469150401823152930  Run 304198, LB 100, lumi 0.00
