Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 351364 to 351364
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 351364 to run 351364  lasting from Mon May 28 22:09:30 2018 UTC to Tue May 29 11:27:42 2018 UTC
Event Veto ['MiniNoiseBurst'], Mon May 28 23:17:59 2018 UTC-Mon May 28 23:17:59 2018 UTC (0.001 )  Time stamp start 1527549479384703860 end 1527549479383703860  Run 351364, LB 76, lumi 19.01
Event Veto ['MiniNoiseBurst'], Mon May 28 23:18:06 2018 UTC-Mon May 28 23:18:06 2018 UTC (0.001 )  Time stamp start 1527549486682733605 end 1527549486681733605  Run 351364, LB 76, lumi 19.01
Event Veto ['NoiseBurst'], Mon May 28 23:18:09 2018 UTC-Mon May 28 23:18:09 2018 UTC (0.001 )  Time stamp start 1527549489621858450 end 1527549489620857475  Run 351364, LB 76, lumi 19.02
Event Veto ['MiniNoiseBurst'], Mon May 28 23:18:41 2018 UTC-Mon May 28 23:18:41 2018 UTC (0.002 )  Time stamp start 1527549521362700820 end 1527549521361063655  Run 351364, LB 77, lumi 31.02
Event Veto ['MiniNoiseBurst'], Mon May 28 23:19:22 2018 UTC-Mon May 28 23:19:22 2018 UTC (0.001 )  Time stamp start 1527549562998747550 end 1527549562997747550  Run 351364, LB 78, lumi 18.94
Event Veto ['MiniNoiseBurst'], Mon May 28 23:19:33 2018 UTC-Mon May 28 23:19:33 2018 UTC (0.001 )  Time stamp start 1527549573742825760 end 1527549573741825760  Run 351364, LB 78, lumi 18.94
Event Veto ['MiniNoiseBurst'], Mon May 28 23:19:44 2018 UTC-Mon May 28 23:19:44 2018 UTC (0.001 )  Time stamp start 1527549584525091500 end 1527549584524091500  Run 351364, LB 78, lumi 18.94
Event Veto ['MiniNoiseBurst'], Mon May 28 23:20:08 2018 UTC-Mon May 28 23:20:08 2018 UTC (0.001 )  Time stamp start 1527549608950879915 end 1527549608949879915  Run 351364, LB 78, lumi 18.94
Event Veto ['MiniNoiseBurst'], Mon May 28 23:20:40 2018 UTC-Mon May 28 23:20:40 2018 UTC (0.001 )  Time stamp start 1527549640897182940 end 1527549640896182940  Run 351364, LB 79, lumi 18.86
Event Veto ['MiniNoiseBurst'], Mon May 28 23:20:43 2018 UTC-Mon May 28 23:20:43 2018 UTC (0.001 )  Time stamp start 1527549643144209415 end 1527549643143209415  Run 351364, LB 79, lumi 18.86
Event Veto ['NoiseBurst'], Mon May 28 23:21:32 2018 UTC-Mon May 28 23:21:32 2018 UTC (0.009 )  Time stamp start 1527549692405971955 end 1527549692396534315  Run 351364, LB 80, lumi 177.24
Event Veto ['NoiseBurst'], Mon May 28 23:21:32 2018 UTC-Mon May 28 23:21:32 2018 UTC (0.001 )  Time stamp start 1527549692432072350 end 1527549692430943755  Run 351364, LB 80, lumi 21.20
Event Veto ['NoiseBurst'], Mon May 28 23:21:32 2018 UTC-Mon May 28 23:21:32 2018 UTC (0.002 )  Time stamp start 1527549692437080810 end 1527549692434917405  Run 351364, LB 80, lumi 40.63
Event Veto ['MiniNoiseBurst'], Mon May 28 23:21:48 2018 UTC-Mon May 28 23:21:48 2018 UTC (0.001 )  Time stamp start 1527549708951840290 end 1527549708950840290  Run 351364, LB 80, lumi 18.78
Event Veto ['NoiseBurst'], Mon May 28 23:22:19 2018 UTC-Mon May 28 23:22:19 2018 UTC (0.001 )  Time stamp start 1527549739684693135 end 1527549739683692260  Run 351364, LB 81, lumi 18.77
Event Veto ['MiniNoiseBurst'], Mon May 28 23:22:44 2018 UTC-Mon May 28 23:22:44 2018 UTC (0.001 )  Time stamp start 1527549764351737235 end 1527549764350737235  Run 351364, LB 81, lumi 18.76
Event Veto ['MiniNoiseBurst'], Mon May 28 23:22:50 2018 UTC-Mon May 28 23:22:50 2018 UTC (0.001 )  Time stamp start 1527549770437500510 end 1527549770436500510  Run 351364, LB 81, lumi 18.76
Event Veto ['MiniNoiseBurst'], Mon May 28 23:23:19 2018 UTC-Mon May 28 23:23:19 2018 UTC (0.001 )  Time stamp start 1527549799948974495 end 1527549799947974370  Run 351364, LB 82, lumi 18.66
Event Veto ['MiniNoiseBurst'], Mon May 28 23:23:34 2018 UTC-Mon May 28 23:23:34 2018 UTC (0.001 )  Time stamp start 1527549814701475315 end 1527549814700475190  Run 351364, LB 82, lumi 18.66
Event Veto ['MiniNoiseBurst'], Mon May 28 23:23:50 2018 UTC-Mon May 28 23:23:50 2018 UTC (0.001 )  Time stamp start 1527549830284452685 end 1527549830283452560  Run 351364, LB 82, lumi 18.66
Event Veto ['MiniNoiseBurst'], Mon May 28 23:23:58 2018 UTC-Mon May 28 23:23:58 2018 UTC (0.001 )  Time stamp start 1527549838518407760 end 1527549838517407760  Run 351364, LB 83, lumi 18.66
Event Veto ['MiniNoiseBurst'], Mon May 28 23:24:05 2018 UTC-Mon May 28 23:24:05 2018 UTC (0.001 )  Time stamp start 1527549845867586795 end 1527549845866586795  Run 351364, LB 83, lumi 18.66
Event Veto ['MiniNoiseBurst'], Mon May 28 23:24:20 2018 UTC-Mon May 28 23:24:20 2018 UTC (0.001 )  Time stamp start 1527549860593172655 end 1527549860592172530  Run 351364, LB 84, lumi 18.63
Event Veto ['MiniNoiseBurst'], Mon May 28 23:24:35 2018 UTC-Mon May 28 23:24:35 2018 UTC (0.001 )  Time stamp start 1527549875786269450 end 1527549875785269325  Run 351364, LB 84, lumi 18.63
Event Veto ['MiniNoiseBurst'], Mon May 28 23:24:50 2018 UTC-Mon May 28 23:24:50 2018 UTC (0.001 )  Time stamp start 1527549890278782670 end 1527549890277782545  Run 351364, LB 84, lumi 18.63
Event Veto ['MiniNoiseBurst'], Mon May 28 23:24:57 2018 UTC-Mon May 28 23:24:57 2018 UTC (0.001 )  Time stamp start 1527549897666377960 end 1527549897665377960  Run 351364, LB 84, lumi 18.63
Event Veto ['MiniNoiseBurst'], Mon May 28 23:25:05 2018 UTC-Mon May 28 23:25:05 2018 UTC (0.001 )  Time stamp start 1527549905665855270 end 1527549905664855145  Run 351364, LB 84, lumi 18.63
Event Veto ['MiniNoiseBurst'], Mon May 28 23:25:12 2018 UTC-Mon May 28 23:25:12 2018 UTC (0.001 )  Time stamp start 1527549912483965855 end 1527549912482965855  Run 351364, LB 84, lumi 18.63
Event Veto ['MiniNoiseBurst'], Mon May 28 23:25:18 2018 UTC-Mon May 28 23:25:18 2018 UTC (0.001 )  Time stamp start 1527549918835151150 end 1527549918834151025  Run 351364, LB 85, lumi 18.57
Event Veto ['MiniNoiseBurst'], Mon May 28 23:25:31 2018 UTC-Mon May 28 23:25:31 2018 UTC (0.001 )  Time stamp start 1527549931207037915 end 1527549931206037790  Run 351364, LB 85, lumi 18.57
Event Veto ['MiniNoiseBurst'], Mon May 28 23:25:34 2018 UTC-Mon May 28 23:25:34 2018 UTC (0.001 )  Time stamp start 1527549934072716445 end 1527549934071716445  Run 351364, LB 85, lumi 18.57
Event Veto ['MiniNoiseBurst'], Mon May 28 23:25:45 2018 UTC-Mon May 28 23:25:45 2018 UTC (0.001 )  Time stamp start 1527549945249077195 end 1527549945248077070  Run 351364, LB 85, lumi 18.57
Event Veto ['MiniNoiseBurst'], Mon May 28 23:25:48 2018 UTC-Mon May 28 23:25:48 2018 UTC (0.001 )  Time stamp start 1527549948793622895 end 1527549948792622895  Run 351364, LB 85, lumi 18.57
Event Veto ['MiniNoiseBurst'], Mon May 28 23:25:59 2018 UTC-Mon May 28 23:25:59 2018 UTC (0.001 )  Time stamp start 1527549959657183310 end 1527549959656183185  Run 351364, LB 85, lumi 18.57
Event Veto ['MiniNoiseBurst'], Mon May 28 23:26:18 2018 UTC-Mon May 28 23:26:18 2018 UTC (0.001 )  Time stamp start 1527549978715379705 end 1527549978714379705  Run 351364, LB 86, lumi 18.54
Event Veto ['MiniNoiseBurst'], Mon May 28 23:26:22 2018 UTC-Mon May 28 23:26:22 2018 UTC (0.001 )  Time stamp start 1527549982114630440 end 1527549982113630315  Run 351364, LB 86, lumi 18.54
Event Veto ['MiniNoiseBurst'], Mon May 28 23:26:35 2018 UTC-Mon May 28 23:26:35 2018 UTC (0.001 )  Time stamp start 1527549995145061930 end 1527549995144061805  Run 351364, LB 86, lumi 18.54
Event Veto ['MiniNoiseBurst'], Mon May 28 23:26:35 2018 UTC-Mon May 28 23:26:35 2018 UTC (0.001 )  Time stamp start 1527549995176936425 end 1527549995175936425  Run 351364, LB 86, lumi 18.54
Event Veto ['MiniNoiseBurst'], Mon May 28 23:26:45 2018 UTC-Mon May 28 23:26:45 2018 UTC (0.001 )  Time stamp start 1527550005506278005 end 1527550005505277880  Run 351364, LB 86, lumi 18.54
Event Veto ['MiniNoiseBurst'], Mon May 28 23:26:59 2018 UTC-Mon May 28 23:26:59 2018 UTC (0.001 )  Time stamp start 1527550019193957455 end 1527550019192957330  Run 351364, LB 86, lumi 18.54
Event Veto ['MiniNoiseBurst'], Mon May 28 23:27:22 2018 UTC-Mon May 28 23:27:22 2018 UTC (0.001 )  Time stamp start 1527550042805735935 end 1527550042804735810  Run 351364, LB 87, lumi 18.51
Event Veto ['MiniNoiseBurst'], Mon May 28 23:27:34 2018 UTC-Mon May 28 23:27:34 2018 UTC (0.001 )  Time stamp start 1527550054584829195 end 1527550054583829070  Run 351364, LB 87, lumi 18.51
Event Veto ['MiniNoiseBurst'], Mon May 28 23:27:59 2018 UTC-Mon May 28 23:27:59 2018 UTC (0.001 )  Time stamp start 1527550079704907360 end 1527550079703907235  Run 351364, LB 88, lumi 18.47
Event Veto ['MiniNoiseBurst'], Mon May 28 23:28:10 2018 UTC-Mon May 28 23:28:10 2018 UTC (0.001 )  Time stamp start 1527550090902777515 end 1527550090901777515  Run 351364, LB 88, lumi 18.47
Event Veto ['MiniNoiseBurst'], Mon May 28 23:28:11 2018 UTC-Mon May 28 23:28:11 2018 UTC (0.001 )  Time stamp start 1527550091555639830 end 1527550091554639705  Run 351364, LB 88, lumi 18.47
Event Veto ['MiniNoiseBurst'], Mon May 28 23:28:23 2018 UTC-Mon May 28 23:28:23 2018 UTC (0.001 )  Time stamp start 1527550103264521805 end 1527550103263521680  Run 351364, LB 88, lumi 18.47
Event Veto ['MiniNoiseBurst'], Mon May 28 23:28:47 2018 UTC-Mon May 28 23:28:47 2018 UTC (0.001 )  Time stamp start 1527550127432724185 end 1527550127431724060  Run 351364, LB 88, lumi 18.47
Event Veto ['MiniNoiseBurst'], Mon May 28 23:29:11 2018 UTC-Mon May 28 23:29:11 2018 UTC (0.001 )  Time stamp start 1527550151633012860 end 1527550151632012735  Run 351364, LB 89, lumi 18.44
Event Veto ['MiniNoiseBurst'], Mon May 28 23:29:20 2018 UTC-Mon May 28 23:29:20 2018 UTC (0.001 )  Time stamp start 1527550160443683960 end 1527550160442683960  Run 351364, LB 89, lumi 18.43
Event Veto ['MiniNoiseBurst'], Mon May 28 23:29:35 2018 UTC-Mon May 28 23:29:35 2018 UTC (0.001 )  Time stamp start 1527550175385377780 end 1527550175384093115  Run 351364, LB 89, lumi 23.68
Event Veto ['MiniNoiseBurst'], Mon May 28 23:29:48 2018 UTC-Mon May 28 23:29:48 2018 UTC (0.001 )  Time stamp start 1527550188035566865 end 1527550188034566740  Run 351364, LB 89, lumi 18.44
Event Veto ['MiniNoiseBurst'], Mon May 28 23:30:13 2018 UTC-Mon May 28 23:30:13 2018 UTC (0.001 )  Time stamp start 1527550213882288450 end 1527550213881288325  Run 351364, LB 90, lumi 18.42
Event Veto ['NoiseBurst'], Mon May 28 23:30:22 2018 UTC-Mon May 28 23:30:22 2018 UTC (0.001 )  Time stamp start 1527550222801246535 end 1527550222800245785  Run 351364, LB 91, lumi 18.34
Event Veto ['MiniNoiseBurst'], Mon May 28 23:30:26 2018 UTC-Mon May 28 23:30:26 2018 UTC (0.001 )  Time stamp start 1527550226363464770 end 1527550226362464770  Run 351364, LB 91, lumi 18.33
Event Veto ['MiniNoiseBurst'], Mon May 28 23:30:27 2018 UTC-Mon May 28 23:30:27 2018 UTC (0.001 )  Time stamp start 1527550227355391065 end 1527550227354390940  Run 351364, LB 91, lumi 18.33
Event Veto ['MiniNoiseBurst'], Mon May 28 23:30:38 2018 UTC-Mon May 28 23:30:38 2018 UTC (0.001 )  Time stamp start 1527550238972017185 end 1527550238971017185  Run 351364, LB 91, lumi 18.33
Event Veto ['MiniNoiseBurst'], Mon May 28 23:30:39 2018 UTC-Mon May 28 23:30:39 2018 UTC (0.001 )  Time stamp start 1527550239884211195 end 1527550239883211070  Run 351364, LB 91, lumi 18.33
Event Veto ['MiniNoiseBurst'], Mon May 28 23:30:40 2018 UTC-Mon May 28 23:30:40 2018 UTC (0.001 )  Time stamp start 1527550240817131285 end 1527550240816131285  Run 351364, LB 91, lumi 18.33
